CAN Message; 0x1d3:0000444b51c29054
Timestamp;Amplitude
1739209800.8612394;-45.120503652039325
1739209800.8612435;-33.981070128970906
1739209800.8612475;-45.120503652039325
1739209800.8612516;-38.13080360867914
1739209800.861256;-35.57807855764607
1739209800.86126;-38.13080360867914
1739209800.861264;-45.120503652039325
1739209800.861268;-33.981070128970906
1739209800.861272;-33.981070128970906
1739209800.8612761;-35.57807855764607
1739209800.8612802;-38.13080360867914
1739209800.8612843;-32.816014438256545
1739209800.8612883;-33.981070128970906
1739209800.8612924;-45.120503652039325
1739209800.8612967;-38.13080360867914
1739209800.8613007;-38.13080360867914
1739209800.8613048;-38.13080360867914
1739209800.8613088;-45.120503652039325
1739209800.8613129;-45.120503652039325
1739209800.861317;-45.120503652039325
1739209800.861321;-45.120503652039325
1739209800.861325;-33.981070128970906
1739209800.861329;-45.120503652039325
1739209800.8613331;-45.120503652039325
1739209800.8613374;-38.13080360867914
1739209800.8613415;-33.981070128970906
1739209800.8613455;-38.13080360867914
1739209800.8613496;-26.487275050834715
1739209800.8613536;-30.49652367304973
1739209800.8613577;-38.13080360867914
1739209800.8613617;-45.120503652039325
1739209800.8613658;-38.13080360867914
1739209800.8613698;-35.57807855764607
1739209800.8613741;-45.120503652039325
1739209800.8613782;-45.120503652039325
1739209800.8613822;-33.981070128970956
1739209800.8613863;-45.120503652039325
1739209800.8613904;-38.13080360867914
1739209800.8613944;-38.13080360867914
1739209800.8613985;-45.120503652039325
1739209800.8614025;-45.120503652039325
1739209800.8614066;-38.13080360867914
1739209800.8614106;-38.13080360867914
1739209800.861415;-29.438486411369333
1739209800.861419;-27.8777449560314
1739209800.861423;-45.120503652039325
1739209800.861427;-38.13080360867914
1739209800.8614311;-38.13080360867914
1739209800.8614352;-45.120503652039325
1739209800.8614392;-38.13080360867914
1739209800.8614433;-31.141103565318893
1739209800.8614473;-33.981070128970956
1739209800.8614514;-45.120503652039325
1739209800.8614557;-35.57807855764607
1739209800.8614597;-45.120503652039325
1739209800.8614638;-45.120503652039325
1739209800.8614678;-45.120503652039325
1739209800.861472;-32.816014438256545
1739209800.861476;-45.120503652039325
1739209800.86148;-35.57807855764607
1739209800.861484;-32.816014438256545
1739209800.861488;-45.120503652039325
1739209800.8614924;-38.13080360867914
1739209800.8614964;-35.57807855764607
1739209800.8615005;-35.57807855764607
1739209800.8615046;-45.120503652039325
1739209800.8615086;-45.120503652039325
1739209800.8615127;-45.120503652039325
1739209800.8615167;-45.120503652039325
1739209800.8615208;-38.13080360867914
1739209800.8615248;-38.13080360867914
1739209800.8615289;-45.120503652039325
1739209800.8615332;-45.120503652039325
1739209800.8615372;-38.13080360867914
1739209800.8615413;-45.120503652039325
1739209800.8615453;-35.57807855764607
1739209800.8615494;-31.141103565318893
1739209800.8615534;-45.120503652039325
1739209800.8615575;-45.120503652039325
1739209800.8615615;-33.981070128970906
1739209800.8615656;-35.57807855764607
1739209800.8615696;-45.120503652039325
1739209800.861574;-38.13080360867914
1739209800.861578;-38.13080360867914
1739209800.861582;-45.120503652039325
1739209800.861586;-45.120503652039325
1739209800.8615901;-45.120503652039325
