CAN Message; 0x1a7:0000c9c51899e06f
Timestamp;Amplitude
1739209844.447487;-38.13080360867914
1739209844.4475055;-38.13080360867914
1739209844.447524;-33.981070128970906
1739209844.4475427;-38.13080360867914
1739209844.4475613;-35.57807855764607
1739209844.4475796;-45.120503652039325
1739209844.4475982;-45.120503652039325
1739209844.4476168;-45.120503652039325
1739209844.4476354;-33.981070128970906
1739209844.4476538;-45.120503652039325
1739209844.4476724;-45.120503652039325
1739209844.447691;-45.120503652039325
1739209844.4477096;-38.13080360867914
1739209844.447728;-45.120503652039325
1739209844.4477465;-45.120503652039325
1739209844.447765;-45.120503652039325
1739209844.4477837;-38.13080360867914
1739209844.447802;-38.13080360867914
1739209844.4478207;-45.120503652039325
1739209844.4478393;-45.120503652039325
1739209844.4478579;-45.120503652039325
1739209844.4478762;-30.49652367304973
1739209844.4478948;-35.57807855764607
1739209844.4479134;-38.13080360867914
1739209844.447932;-45.120503652039325
1739209844.4479504;-32.816014438256545
1739209844.447969;-35.57807855764607
1739209844.4479876;-45.120503652039325
1739209844.4480062;-45.120503652039325
1739209844.4480245;-45.120503652039325
1739209844.448043;-45.120503652039325
1739209844.4480617;-45.120503652039325
1739209844.4480803;-45.120503652039325
1739209844.4480987;-45.120503652039325
1739209844.4481173;-45.120503652039325
1739209844.4481359;-45.120503652039325
1739209844.4481544;-45.120503652039325
1739209844.4481728;-45.120503652039325
1739209844.4481914;-45.120503652039325
1739209844.44821;-45.120503652039325
1739209844.4482286;-38.13080360867914
1739209844.448247;-35.57807855764607
1739209844.4482656;-38.13080360867914
1739209844.4482841;-35.57807855764607
1739209844.4483027;-38.13080360867914
1739209844.448321;-30.49652367304973
1739209844.4483397;-35.57807855764607
1739209844.4483583;-45.120503652039325
1739209844.448377;-38.13080360867914
1739209844.4483953;-45.120503652039325
1739209844.4484138;-38.13080360867914
1739209844.4484324;-35.57807855764607
1739209844.448451;-38.13080360867914
1739209844.4484694;-38.13080360867914
1739209844.448488;-38.13080360867914
1739209844.4485066;-38.13080360867914
1739209844.4485252;-45.120503652039325
1739209844.4485435;-45.120503652039325
1739209844.4485621;-45.120503652039325
1739209844.4485807;-38.13080360867914
1739209844.4485993;-38.13080360867914
1739209844.4486177;-32.816014438256545
1739209844.4486363;-38.13080360867914
1739209844.448655;-45.120503652039325
1739209844.4486735;-38.13080360867914
1739209844.4486918;-32.816014438256545
1739209844.4487104;-38.13080360867914
1739209844.448729;-45.120503652039325
1739209844.4487476;-45.120503652039325
1739209844.448766;-45.120503652039325
1739209844.4487846;-45.120503652039325
1739209844.4488032;-45.120503652039325
1739209844.4488218;-45.120503652039325
1739209844.4488401;-45.120503652039325
1739209844.4488587;-45.120503652039325
1739209844.4488773;-45.120503652039325
1739209844.448896;-38.13080360867914
1739209844.4489143;-35.57807855764607
1739209844.448933;-38.13080360867914
1739209844.4489515;-45.120503652039325
1739209844.44897;-38.13080360867914
1739209844.4489884;-35.57807855764607
1739209844.449007;-38.13080360867914
1739209844.4490256;-38.13080360867914
1739209844.4490442;-38.13080360867914
1739209844.4490626;-30.49652367304973
1739209844.4490812;-33.981070128970906
1739209844.4490998;-45.120503652039325
1739209844.4491181;-38.13080360867914
1739209844.4491367;-38.13080360867914
1739209844.4491553;-38.13080360867914
1739209844.449174;-45.120503652039325
1739209844.4491923;-38.13080360867914
1739209844.449211;-38.13080360867914
1739209844.4492295;-35.57807855764607
1739209844.449248;-45.120503652039325
1739209844.4492664;-45.120503652039325
1739209844.449285;-45.120503652039325
1739209844.4493036;-38.13080360867914
1739209844.4493222;-35.57807855764607
1739209844.4493406;-45.120503652039325
1739209844.4493592;-38.13080360867914
1739209844.4493778;-33.981070128970906
1739209844.4493964;-35.57807855764607
1739209844.4494147;-38.13080360867914
1739209844.4494333;-45.120503652039325
1739209844.449452;-38.13080360867914
1739209844.4494705;-35.57807855764607
1739209844.4494889;-38.13080360867914
1739209844.4495075;-45.120503652039325
1739209844.449526;-38.13080360867914
1739209844.4495447;-35.57807855764607
1739209844.449563;-38.13080360867914
1739209844.4495816;-45.120503652039325
1739209844.4496002;-38.13080360867914
1739209844.4496188;-38.13080360867914
1739209844.4496372;-45.120503652039325
1739209844.4496558;-45.120503652039325
1739209844.4496744;-38.13080360867914
1739209844.449693;-38.13080360867914
1739209844.4497113;-38.13080360867914
1739209844.44973;-45.120503652039325
1739209844.4497485;-45.120503652039325
1739209844.449767;-38.13080360867914
1739209844.4497855;-45.120503652039325
1739209844.449804;-45.120503652039325
1739209844.4498227;-33.981070128970906
1739209844.4498413;-38.13080360867914
1739209844.4498596;-45.120503652039325
1739209844.4498782;-38.13080360867914
1739209844.4498968;-35.57807855764607
1739209844.4499154;-38.13080360867914
1739209844.4499338;-38.13080360867914
1739209844.4499524;-45.120503652039325
1739209844.449971;-38.13080360867914
1739209844.4499896;-45.120503652039325
1739209844.450008;-45.120503652039325
1739209844.4500265;-32.816014438256545
1739209844.450045;-45.120503652039325
1739209844.4500637;-45.120503652039325
1739209844.450082;-38.13080360867914
1739209844.4501007;-32.816014438256545
1739209844.4501193;-33.981070128970906
1739209844.4501379;-45.120503652039325
1739209844.4501562;-38.13080360867914
1739209844.4501748;-38.13080360867914
1739209844.4501934;-38.13080360867914
1739209844.450212;-38.13080360867914
1739209844.4502304;-45.120503652039325
1739209844.450249;-38.13080360867914
1739209844.4502676;-38.13080360867914
1739209844.4502861;-45.120503652039325
1739209844.4503045;-38.13080360867914
1739209844.450323;-31.141103565318893
1739209844.4503417;-45.120503652039325
1739209844.4503603;-45.120503652039325
1739209844.4503787;-38.13080360867914
1739209844.4503973;-38.13080360867914
