CAN Message; 0x150:01008be27cf7fbe3
Timestamp;Amplitude
1739209889.317109;-45.120503652039325
1739209889.3171175;-45.120503652039325
1739209889.3171258;-45.120503652039325
1739209889.3171341;-38.13080360867914
1739209889.3171425;-38.13080360867914
1739209889.3171508;-38.13080360867914
1739209889.3171592;-38.13080360867914
1739209889.3171675;-33.981070128970906
1739209889.3171759;-33.981070128970906
1739209889.317184;-45.120503652039325
1739209889.3171923;-45.120503652039325
1739209889.3172007;-38.13080360867914
1739209889.317209;-38.13080360867914
1739209889.3172174;-45.120503652039325
1739209889.3172257;-38.13080360867914
1739209889.317234;-35.57807855764607
1739209889.3172424;-33.981070128970906
1739209889.3172507;-45.120503652039325
1739209889.317259;-45.120503652039325
1739209889.3172674;-33.981070128970906
1739209889.3172758;-38.13080360867914
1739209889.317284;-38.13080360867914
1739209889.3172925;-38.13080360867914
1739209889.3173008;-38.13080360867914
1739209889.3173091;-38.13080360867914
1739209889.3173175;-38.13080360867914
1739209889.3173258;-45.120503652039325
1739209889.317334;-38.13080360867914
1739209889.3173423;-38.13080360867914
1739209889.3173506;-45.120503652039325
1739209889.317359;-38.13080360867914
1739209889.3173673;-38.13080360867914
1739209889.3173757;-45.120503652039325
1739209889.317384;-45.120503652039325
1739209889.3173923;-45.120503652039325
1739209889.3174007;-45.120503652039325
1739209889.317409;-38.13080360867914
1739209889.3174174;-45.120503652039325
1739209889.3174257;-45.120503652039325
1739209889.317434;-33.981070128970906
1739209889.3174424;-38.13080360867914
1739209889.3174508;-45.120503652039325
1739209889.317459;-33.981070128970906
1739209889.3174675;-38.13080360867914
1739209889.3174758;-38.13080360867914
1739209889.317484;-45.120503652039325
1739209889.3174922;-45.120503652039325
1739209889.3175006;-45.120503652039325
1739209889.317509;-45.120503652039325
1739209889.3175173;-38.13080360867914
1739209889.3175256;-45.120503652039325
1739209889.317534;-45.120503652039325
1739209889.3175423;-45.120503652039325
1739209889.3175507;-38.13080360867914
1739209889.317559;-38.13080360867914
1739209889.3175673;-38.13080360867914
1739209889.3175757;-45.120503652039325
1739209889.317584;-45.120503652039325
1739209889.3175924;-45.120503652039325
1739209889.3176007;-38.13080360867914
1739209889.317609;-45.120503652039325
1739209889.3176174;-38.13080360867914
1739209889.3176258;-38.13080360867914
1739209889.317634;-35.57807855764607
1739209889.3176422;-38.13080360867914
1739209889.3176506;-38.13080360867914
1739209889.317659;-33.981070128970906
1739209889.3176672;-38.13080360867914
1739209889.3176756;-38.13080360867914
1739209889.317684;-45.120503652039325
1739209889.3176923;-38.13080360867914
1739209889.3177006;-45.120503652039325
1739209889.317709;-45.120503652039325
1739209889.3177173;-38.13080360867914
1739209889.3177257;-38.13080360867914
1739209889.317734;-45.120503652039325
1739209889.3177423;-38.13080360867914
1739209889.3177507;-38.13080360867914
1739209889.317759;-38.13080360867914
1739209889.3177674;-38.13080360867914
1739209889.3177757;-38.13080360867914
1739209889.317784;-38.13080360867914
1739209889.3177922;-45.120503652039325
1739209889.3178005;-31.141103565318915
1739209889.3178089;-38.13080360867914
1739209889.3178172;-45.120503652039325
1739209889.3178256;-38.13080360867914
1739209889.317834;-38.13080360867914
1739209889.3178422;-35.57807855764607
1739209889.3178506;-38.13080360867914
1739209889.317859;-45.120503652039325
