CAN Message; 0x1bb:000094707e8d98d3
Timestamp;Amplitude
1739209613.2987642;-45.120503652039325
1739209613.2987702;-45.120503652039325
1739209613.2987761;-45.120503652039325
1739209613.298782;-38.13080360867914
1739209613.2987883;-45.120503652039325
1739209613.2987943;-45.120503652039325
1739209613.2988002;-35.57807855764607
1739209613.2988062;-45.120503652039325
1739209613.2988124;-38.13080360867914
1739209613.2988183;-28.58837851428586
1739209613.2988243;-35.57807855764607
1739209613.2988303;-35.57807855764607
1739209613.2988365;-45.120503652039325
1739209613.2988424;-45.120503652039325
1739209613.2988484;-45.120503652039325
1739209613.2988546;-33.981070128970906
1739209613.2988605;-45.120503652039325
1739209613.2988665;-33.981070128970956
1739209613.2988725;-33.981070128970906
1739209613.2988787;-38.13080360867914
1739209613.2988846;-45.120503652039325
1739209613.2988906;-45.120503652039325
1739209613.2988966;-35.57807855764607
1739209613.2989028;-38.13080360867914
1739209613.2989087;-38.13080360867914
1739209613.2989147;-31.141103565318915
1739209613.2989206;-45.120503652039325
1739209613.2989268;-38.13080360867914
1739209613.2989328;-38.13080360867914
1739209613.2989388;-38.13080360867914
1739209613.298945;-33.981070128970906
1739209613.298951;-35.57807855764607
1739209613.2989569;-45.120503652039325
1739209613.2989628;-38.13080360867914
1739209613.298969;-35.57807855764607
1739209613.298975;-38.13080360867914
1739209613.298981;-45.120503652039325
1739209613.298987;-38.13080360867914
1739209613.298993;-38.13080360867914
1739209613.298999;-45.120503652039325
1739209613.299005;-45.120503652039325
1739209613.2990112;-45.120503652039325
1739209613.2990172;-45.120503652039325
1739209613.2990232;-45.120503652039325
1739209613.299029;-45.120503652039325
1739209613.2990353;-45.120503652039325
1739209613.2990413;-45.120503652039325
1739209613.2990472;-38.13080360867914
1739209613.2990532;-35.57807855764607
1739209613.2990594;-28.992665084841942
1739209613.2990654;-45.120503652039325
1739209613.2990713;-45.120503652039325
1739209613.2990773;-45.120503652039325
1739209613.2990835;-32.816014438256545
1739209613.2990894;-38.13080360867914
1739209613.2990954;-45.120503652039325
1739209613.2991016;-38.13080360867914
1739209613.2991076;-38.13080360867914
1739209613.2991135;-38.13080360867914
1739209613.2991195;-45.120503652039325
1739209613.2991257;-45.120503652039325
1739209613.2991316;-45.120503652039325
1739209613.2991376;-38.13080360867914
1739209613.2991436;-35.57807855764607
1739209613.2991498;-38.13080360867914
1739209613.2991557;-38.13080360867914
1739209613.2991617;-38.13080360867914
1739209613.2991676;-33.981070128970906
1739209613.2991738;-45.120503652039325
1739209613.2991798;-45.120503652039325
1739209613.2991858;-45.120503652039325
1739209613.299192;-45.120503652039325
1739209613.299198;-45.120503652039325
1739209613.2992039;-45.120503652039325
1739209613.2992098;-33.981070128970906
1739209613.299216;-45.120503652039325
1739209613.299222;-45.120503652039325
1739209613.299228;-38.13080360867914
1739209613.299234;-38.13080360867914
1739209613.29924;-38.13080360867914
1739209613.299246;-35.57807855764607
1739209613.299252;-38.13080360867914
1739209613.2992582;-45.120503652039325
1739209613.2992642;-45.120503652039325
1739209613.2992702;-38.13080360867914
1739209613.299276;-38.13080360867914
1739209613.2992823;-45.120503652039325
1739209613.2992883;-45.120503652039325
1739209613.2992942;-45.120503652039325
1739209613.2993002;-45.120503652039325
1739209613.2993064;-45.120503652039325
1739209613.2993124;-45.120503652039325
1739209613.2993183;-45.120503652039325
1739209613.2993243;-38.13080360867914
1739209613.2993305;-33.981070128970906
1739209613.2993364;-45.120503652039325
1739209613.2993424;-45.120503652039325
1739209613.2993486;-45.120503652039325
1739209613.2993546;-33.981070128970906
1739209613.2993605;-38.13080360867914
1739209613.2993665;-45.120503652039325
1739209613.2993727;-45.120503652039325
1739209613.2993786;-38.13080360867914
1739209613.2993846;-38.13080360867914
1739209613.2993906;-33.981070128970906
1739209613.2993968;-45.120503652039325
1739209613.2994027;-35.57807855764607
1739209613.2994087;-33.981070128970906
1739209613.2994149;-38.13080360867914
1739209613.2994208;-45.120503652039325
1739209613.2994268;-38.13080360867914
1739209613.2994328;-33.981070128970906
1739209613.299439;-38.13080360867914
1739209613.299445;-38.13080360867914
1739209613.2994509;-25.62660358559016
1739209613.2994568;-32.816014438256545
1739209613.299463;-45.120503652039325
1739209613.299469;-45.120503652039325
1739209613.299475;-31.141103565318915
1739209613.299481;-38.13080360867914
1739209613.299487;-45.120503652039325
1739209613.299493;-38.13080360867914
1739209613.299499;-45.120503652039325
1739209613.2995052;-45.120503652039325
1739209613.2995112;-45.120503652039325
1739209613.2995172;-45.120503652039325
1739209613.299523;-45.120503652039325
