CAN Message; 0x24:09ebbb34dd8acc94
Timestamp;Amplitude
1739209771.2828496;-45.120503652039325
1739209771.2828538;-38.13080360867914
1739209771.2828584;-45.120503652039325
1739209771.282863;-45.120503652039325
1739209771.2828672;-38.13080360867914
1739209771.2828717;-35.57807855764607
1739209771.2828763;-45.120503652039325
1739209771.2828805;-38.13080360867914
1739209771.282885;-35.57807855764607
1739209771.2828896;-45.120503652039325
1739209771.282894;-45.120503652039325
1739209771.2828984;-45.120503652039325
1739209771.282903;-38.13080360867914
1739209771.2829072;-38.13080360867914
1739209771.2829118;-38.13080360867914
1739209771.2829163;-33.981070128970906
1739209771.2829206;-45.120503652039325
1739209771.2829251;-45.120503652039325
1739209771.2829297;-45.120503652039325
1739209771.282934;-45.120503652039325
1739209771.2829385;-38.13080360867914
1739209771.282943;-45.120503652039325
1739209771.2829473;-45.120503652039325
1739209771.2829518;-38.13080360867914
1739209771.2829564;-38.13080360867914
1739209771.2829607;-38.13080360867914
1739209771.2829652;-45.120503652039325
1739209771.2829697;-38.13080360867914
1739209771.282974;-38.13080360867914
1739209771.2829785;-45.120503652039325
1739209771.282983;-45.120503652039325
1739209771.2829874;-45.120503652039325
1739209771.282992;-45.120503652039325
1739209771.2829964;-38.13080360867914
1739209771.2830007;-38.13080360867914
1739209771.2830052;-38.13080360867914
1739209771.2830098;-38.13080360867914
1739209771.283014;-45.120503652039325
1739209771.2830186;-45.120503652039325
1739209771.283023;-35.57807855764607
1739209771.2830274;-33.981070128970906
1739209771.283032;-45.120503652039325
1739209771.2830365;-45.120503652039325
1739209771.2830408;-45.120503652039325
1739209771.2830453;-38.13080360867914
1739209771.2830498;-45.120503652039325
1739209771.283054;-45.120503652039325
1739209771.2830586;-45.120503652039325
1739209771.2830632;-33.981070128970906
1739209771.2830675;-45.120503652039325
1739209771.283072;-38.13080360867914
1739209771.2830765;-35.57807855764607
1739209771.2830808;-38.13080360867914
1739209771.2830853;-45.120503652039325
1739209771.2830899;-38.13080360867914
1739209771.2830942;-38.13080360867914
1739209771.2830987;-45.120503652039325
1739209771.2831032;-45.120503652039325
1739209771.2831075;-38.13080360867914
1739209771.283112;-33.981070128970906
1739209771.2831166;-33.981070128970906
1739209771.2831209;-45.120503652039325
1739209771.2831254;-38.13080360867914
1739209771.28313;-35.57807855764607
1739209771.2831342;-38.13080360867914
1739209771.2831388;-45.120503652039325
1739209771.2831433;-33.981070128970906
1739209771.2831476;-33.981070128970906
1739209771.283152;-31.141103565318915
1739209771.2831566;-38.13080360867914
1739209771.283161;-38.13080360867914
1739209771.2831655;-38.13080360867914
1739209771.28317;-38.13080360867914
1739209771.2831743;-35.57807855764607
1739209771.2831788;-38.13080360867914
1739209771.2831833;-38.13080360867914
1739209771.2831876;-38.13080360867914
1739209771.2831922;-45.120503652039325
1739209771.2831967;-38.13080360867914
1739209771.283201;-45.120503652039325
1739209771.2832055;-45.120503652039325
1739209771.28321;-45.120503652039325
1739209771.2832143;-38.13080360867914
1739209771.2832189;-38.13080360867914
1739209771.2832234;-31.141103565318915
1739209771.2832277;-38.13080360867914
1739209771.2832322;-38.13080360867914
1739209771.2832367;-32.816014438256545
1739209771.283241;-45.120503652039325
1739209771.2832456;-45.120503652039325
1739209771.28325;-45.120503652039325
1739209771.2832544;-38.13080360867914
1739209771.283259;-31.14110356531892
1739209771.2832634;-45.120503652039325
1739209771.2832677;-45.120503652039325
1739209771.2832723;-38.13080360867914
1739209771.2832768;-35.57807855764607
1739209771.283281;-38.13080360867914
1739209771.2832856;-45.120503652039325
1739209771.2832901;-45.120503652039325
1739209771.2832944;-45.120503652039325
1739209771.283299;-32.816014438256545
1739209771.2833033;-38.13080360867914
1739209771.2833078;-38.13080360867914
1739209771.2833123;-33.981070128970906
1739209771.2833166;-38.13080360867914
1739209771.2833211;-38.13080360867914
1739209771.2833257;-38.13080360867914
1739209771.28333;-33.981070128970906
1739209771.2833345;-38.13080360867914
1739209771.283339;-45.120503652039325
1739209771.2833433;-38.13080360867914
1739209771.2833478;-45.120503652039325
1739209771.2833524;-38.13080360867914
1739209771.2833567;-38.13080360867914
1739209771.2833612;-45.120503652039325
1739209771.2833657;-38.13080360867914
1739209771.28337;-38.13080360867914
1739209771.2833745;-45.120503652039325
1739209771.283379;-45.120503652039325
1739209771.2833834;-38.13080360867914
1739209771.283388;-38.13080360867914
1739209771.2833924;-45.120503652039325
1739209771.2833967;-45.120503652039325
1739209771.2834013;-38.13080360867914
1739209771.2834058;-35.57807855764607
1739209771.28341;-38.13080360867914
1739209771.2834146;-45.120503652039325
1739209771.2834191;-45.120503652039325
1739209771.2834234;-45.120503652039325
1739209771.283428;-45.120503652039325
1739209771.2834325;-45.120503652039325
1739209771.2834368;-45.120503652039325
1739209771.2834413;-45.120503652039325
1739209771.2834458;-38.13080360867914
1739209771.2834501;-38.13080360867914
1739209771.2834547;-38.13080360867914
1739209771.2834592;-45.120503652039325
1739209771.2834635;-45.120503652039325
1739209771.283468;-45.120503652039325
1739209771.2834725;-35.57807855764607
1739209771.2834768;-31.141103565318893
1739209771.2834814;-45.120503652039325
1739209771.283486;-38.13080360867914
1739209771.2834902;-38.13080360867914
1739209771.2834947;-35.57807855764607
1739209771.2834992;-45.120503652039325
1739209771.2835035;-38.13080360867914
1739209771.283508;-45.120503652039325
1739209771.2835126;-45.120503652039325
1739209771.283517;-38.13080360867914
1739209771.2835214;-45.120503652039325
1739209771.283526;-45.120503652039325
1739209771.2835302;-45.120503652039325
1739209771.2835348;-45.120503652039325
1739209771.2835393;-35.57807855764607
1739209771.2835436;-38.13080360867914
1739209771.283548;-45.120503652039325
1739209771.2835526;-38.13080360867914
1739209771.283557;-45.120503652039325
1739209771.2835615;-45.120503652039325
1739209771.283566;-45.120503652039325
1739209771.2835703;-45.120503652039325
1739209771.2835748;-38.13080360867914
1739209771.2835793;-38.13080360867914
1739209771.2835836;-29.438486411369333
1739209771.2835882;-45.120503652039325
1739209771.2835927;-38.13080360867914
1739209771.283597;-38.13080360867914
1739209771.2836015;-38.13080360867914
1739209771.283606;-45.120503652039325
1739209771.2836103;-45.120503652039325
1739209771.2836149;-45.120503652039325
1739209771.2836194;-38.13080360867914
1739209771.2836237;-38.13080360867914
1739209771.2836282;-35.57807855764607
1739209771.2836328;-45.120503652039325
1739209771.283637;-45.120503652039325
1739209771.2836416;-45.120503652039325
1739209771.283646;-38.13080360867914
1739209771.2836504;-45.120503652039325
1739209771.283655;-38.13080360867914
1739209771.2836595;-45.120503652039325
1739209771.2836637;-38.13080360867914
1739209771.2836683;-38.13080360867914
1739209771.2836728;-45.120503652039325
1739209771.283677;-38.13080360867914
1739209771.2836816;-45.120503652039325
1739209771.2836862;-45.120503652039325
1739209771.2836905;-28.58837851428586
1739209771.283695;-38.13080360867914
1739209771.2836995;-38.13080360867914
1739209771.2837038;-38.13080360867914
1739209771.2837083;-38.13080360867914
1739209771.2837129;-38.13080360867914
1739209771.2837172;-32.816014438256545
1739209771.2837217;-45.120503652039325
1739209771.2837262;-31.141103565318943
1739209771.2837305;-45.120503652039325
1739209771.283735;-45.120503652039325
1739209771.2837396;-45.120503652039325
1739209771.2837439;-38.13080360867914
1739209771.2837484;-38.13080360867914
1739209771.283753;-45.120503652039325
1739209771.2837572;-38.13080360867914
1739209771.2837617;-45.120503652039325
1739209771.2837663;-45.120503652039325
1739209771.2837706;-45.120503652039325
1739209771.283775;-45.120503652039325
1739209771.2837796;-45.120503652039325
1739209771.283784;-45.120503652039325
1739209771.2837884;-45.120503652039325
1739209771.283793;-45.120503652039325
1739209771.2837973;-38.13080360867914
1739209771.2838018;-45.120503652039325
1739209771.2838063;-38.13080360867914
1739209771.2838106;-38.13080360867914
1739209771.2838151;-38.13080360867914
1739209771.2838197;-38.13080360867914
1739209771.283824;-45.120503652039325
1739209771.2838285;-45.120503652039325
1739209771.283833;-45.120503652039325
1739209771.2838373;-45.120503652039325
1739209771.2838418;-45.120503652039325
1739209771.2838464;-35.57807855764607
1739209771.2838507;-35.57807855764607
1739209771.2838552;-38.13080360867914
1739209771.2838597;-38.13080360867914
1739209771.283864;-38.13080360867914
1739209771.2838686;-45.120503652039325
1739209771.283873;-38.13080360867914
1739209771.2838774;-45.120503652039325
1739209771.283882;-38.13080360867914
1739209771.2838864;-38.13080360867914
1739209771.2838907;-45.120503652039325
1739209771.2838953;-45.120503652039325
1739209771.2838998;-45.120503652039325
1739209771.283904;-45.120503652039325
1739209771.2839086;-33.981070128970906
1739209771.2839131;-38.13080360867914
1739209771.2839174;-45.120503652039325
1739209771.283922;-33.981070128970906
1739209771.2839265;-38.13080360867914
1739209771.2839308;-45.120503652039325
1739209771.2839353;-32.816014438256545
1739209771.2839398;-38.13080360867914
1739209771.2839441;-38.13080360867914
1739209771.2839487;-45.120503652039325
1739209771.2839532;-45.120503652039325
1739209771.2839575;-45.120503652039325
1739209771.283962;-45.120503652039325
1739209771.2839665;-45.120503652039325
1739209771.2839708;-38.13080360867914
1739209771.2839754;-38.13080360867914
1739209771.28398;-31.141103565318915
1739209771.2839842;-35.57807855764607
1739209771.2839887;-35.57807855764607
1739209771.2839932;-35.57807855764607
1739209771.2839975;-28.992665084841942
1739209771.284002;-35.57807855764607
1739209771.2840066;-38.13080360867914
1739209771.284011;-38.13080360867914
1739209771.2840154;-45.120503652039325
1739209771.28402;-38.13080360867914
1739209771.2840242;-45.120503652039325
1739209771.2840288;-38.13080360867914
