CAN Message; 0x1a7:0000ab1667dbfdf5
Timestamp;Amplitude
1739209805.9436803;-35.57807855764607
1739209805.9436836;-38.13080360867914
1739209805.943687;-45.120503652039325
1739209805.9436903;-45.120503652039325
1739209805.9436936;-35.57807855764607
1739209805.9436972;-45.120503652039325
1739209805.9437006;-35.57807855764607
1739209805.943704;-45.120503652039325
1739209805.9437072;-38.13080360867914
1739209805.9437106;-45.120503652039325
1739209805.943714;-32.816014438256545
1739209805.9437172;-30.49652367304973
1739209805.9437206;-38.13080360867914
1739209805.943724;-38.13080360867914
1739209805.9437273;-45.120503652039325
1739209805.9437306;-32.816014438256545
1739209805.943734;-38.13080360867914
1739209805.9437375;-45.120503652039325
1739209805.9437408;-45.120503652039325
1739209805.9437442;-45.120503652039325
1739209805.9437475;-38.13080360867914
1739209805.9437509;-38.13080360867914
1739209805.9437542;-45.120503652039325
1739209805.9437575;-45.120503652039325
1739209805.9437609;-45.120503652039325
1739209805.9437642;-45.120503652039325
1739209805.9437675;-32.816014438256545
1739209805.943771;-30.49652367304973
1739209805.9437745;-45.120503652039325
1739209805.9437778;-45.120503652039325
1739209805.9437811;-32.816014438256545
1739209805.9437845;-35.57807855764607
1739209805.9437878;-45.120503652039325
1739209805.9437912;-38.13080360867914
1739209805.9437945;-38.13080360867914
1739209805.9437978;-45.120503652039325
1739209805.9438012;-45.120503652039325
1739209805.9438045;-45.120503652039325
1739209805.9438078;-45.120503652039325
1739209805.9438112;-38.13080360867914
1739209805.9438148;-45.120503652039325
1739209805.943818;-45.120503652039325
1739209805.9438214;-38.13080360867914
1739209805.9438248;-38.13080360867914
1739209805.943828;-45.120503652039325
1739209805.9438314;-38.13080360867914
1739209805.9438348;-45.120503652039325
1739209805.9438381;-45.120503652039325
1739209805.9438415;-45.120503652039325
1739209805.9438448;-38.13080360867914
1739209805.9438481;-35.57807855764607
1739209805.9438517;-28.992665084841942
1739209805.943855;-32.816014438256545
1739209805.9438584;-45.120503652039325
1739209805.9438617;-38.13080360867914
1739209805.943865;-33.981070128970906
1739209805.9438684;-38.13080360867914
1739209805.9438717;-38.13080360867914
1739209805.943875;-45.120503652039325
1739209805.9438784;-32.816014438256545
1739209805.9438818;-38.13080360867914
1739209805.943885;-45.120503652039325
