CAN Message; 0x1b8:00009f2c4d9f7313
Timestamp;Amplitude
1739209683.2098973;-45.120503652039325
1739209683.2099023;-38.13080360867914
1739209683.2099075;-38.13080360867914
1739209683.2099125;-38.13080360867914
1739209683.2099175;-38.13080360867914
1739209683.2099226;-45.120503652039325
1739209683.2099276;-45.120503652039325
1739209683.2099328;-28.58837851428586
1739209683.2099378;-35.57807855764607
1739209683.2099428;-38.13080360867914
1739209683.2099478;-45.120503652039325
1739209683.2099528;-38.13080360867914
1739209683.209958;-35.57807855764607
1739209683.209963;-45.120503652039325
1739209683.209968;-38.13080360867914
1739209683.209973;-30.49652367304973
1739209683.209978;-45.120503652039325
1739209683.2099833;-45.120503652039325
1739209683.2099884;-45.120503652039325
1739209683.2099934;-38.13080360867914
1739209683.2099984;-38.13080360867914
1739209683.2100034;-45.120503652039325
1739209683.2100086;-45.120503652039325
1739209683.2100136;-33.981070128970906
1739209683.2100186;-32.816014438256545
1739209683.2100236;-38.13080360867914
1739209683.2100286;-45.120503652039325
1739209683.210034;-33.981070128970906
1739209683.210039;-45.120503652039325
1739209683.210044;-45.120503652039325
1739209683.210049;-45.120503652039325
1739209683.210054;-33.981070128970906
1739209683.2100592;-35.57807855764607
1739209683.2100642;-35.57807855764607
1739209683.2100692;-38.13080360867914
1739209683.2100742;-33.981070128970906
1739209683.2100792;-38.13080360867914
1739209683.2100844;-38.13080360867914
1739209683.2100894;-45.120503652039325
1739209683.2100945;-38.13080360867914
1739209683.2100995;-38.13080360867914
1739209683.2101045;-38.13080360867914
1739209683.2101097;-38.13080360867914
1739209683.2101147;-38.13080360867914
1739209683.2101197;-38.13080360867914
1739209683.2101247;-45.120503652039325
1739209683.2101297;-45.120503652039325
1739209683.210135;-27.267205301931607
1739209683.21014;-33.981070128970906
1739209683.210145;-45.120503652039325
1739209683.21015;-45.120503652039325
1739209683.210155;-33.981070128970906
1739209683.2101603;-38.13080360867914
1739209683.2101653;-45.120503652039325
1739209683.2101703;-45.120503652039325
1739209683.2101753;-45.120503652039325
1739209683.2101803;-45.120503652039325
1739209683.2101853;-38.13080360867914
1739209683.2101905;-45.120503652039325
1739209683.2101955;-35.57807855764607
1739209683.2102005;-38.13080360867914
1739209683.2102056;-38.13080360867914
1739209683.2102106;-45.120503652039325
1739209683.2102158;-45.120503652039325
1739209683.2102208;-38.13080360867914
1739209683.2102258;-45.120503652039325
1739209683.2102308;-45.120503652039325
1739209683.2102358;-45.120503652039325
1739209683.210241;-38.13080360867914
1739209683.210246;-35.57807855764607
1739209683.210251;-38.13080360867914
1739209683.210256;-38.13080360867914
1739209683.210261;-38.13080360867914
1739209683.2102664;-45.120503652039325
1739209683.2102714;-45.120503652039325
1739209683.2102764;-38.13080360867914
1739209683.2102814;-45.120503652039325
1739209683.2102864;-38.13080360867914
1739209683.2102916;-35.57807855764607
1739209683.2102966;-45.120503652039325
1739209683.2103016;-45.120503652039325
1739209683.2103066;-38.13080360867914
1739209683.2103117;-45.120503652039325
1739209683.210317;-45.120503652039325
1739209683.210322;-38.13080360867914
1739209683.210327;-38.13080360867914
1739209683.210332;-35.57807855764607
1739209683.210337;-35.57807855764607
1739209683.2103422;-38.13080360867914
1739209683.2103472;-45.120503652039325
1739209683.2103522;-38.13080360867914
1739209683.2103572;-38.13080360867914
1739209683.2103622;-45.120503652039325
1739209683.2103674;-38.13080360867914
1739209683.2103724;-35.57807855764607
1739209683.2103775;-45.120503652039325
1739209683.2103825;-45.120503652039325
1739209683.2103875;-38.13080360867914
1739209683.2103927;-38.13080360867914
1739209683.2103977;-38.13080360867914
1739209683.2104027;-35.57807855764607
1739209683.2104077;-38.13080360867914
1739209683.2104127;-45.120503652039325
1739209683.210418;-35.57807855764607
1739209683.210423;-38.13080360867914
1739209683.210428;-38.13080360867914
1739209683.210433;-38.13080360867914
1739209683.210438;-45.120503652039325
1739209683.2104433;-45.120503652039325
1739209683.2104483;-45.120503652039325
1739209683.2104533;-38.13080360867914
1739209683.2104583;-38.13080360867914
1739209683.2104633;-45.120503652039325
1739209683.2104685;-38.13080360867914
1739209683.2104735;-45.120503652039325
1739209683.2104785;-33.981070128970906
1739209683.2104836;-32.816014438256545
1739209683.2104886;-45.120503652039325
1739209683.2104938;-45.120503652039325
1739209683.2104988;-38.13080360867914
1739209683.2105038;-31.141103565318915
1739209683.2105088;-35.57807855764607
1739209683.2105138;-45.120503652039325
1739209683.210519;-45.120503652039325
1739209683.210524;-33.981070128970906
1739209683.210529;-30.49652367304973
1739209683.210534;-38.13080360867914
1739209683.210539;-45.120503652039325
1739209683.2105443;-45.120503652039325
1739209683.2105494;-45.120503652039325
1739209683.2105544;-45.120503652039325
1739209683.2105594;-38.13080360867914
1739209683.2105644;-38.13080360867914
1739209683.2105696;-45.120503652039325
1739209683.2105746;-45.120503652039325
1739209683.2105796;-38.13080360867914
1739209683.2105846;-32.816014438256545
1739209683.2105896;-33.981070128970906
1739209683.210595;-45.120503652039325
1739209683.2106;-38.13080360867914
1739209683.210605;-33.981070128970906
1739209683.21061;-33.981070128970906
1739209683.210615;-45.120503652039325
1739209683.2106202;-38.13080360867914
1739209683.2106252;-45.120503652039325
1739209683.2106302;-45.120503652039325
1739209683.2106352;-45.120503652039325
1739209683.2106402;-45.120503652039325
1739209683.2106454;-45.120503652039325
1739209683.2106504;-45.120503652039325
1739209683.2106555;-45.120503652039325
1739209683.2106605;-45.120503652039325
1739209683.2106655;-38.13080360867914
1739209683.2106707;-45.120503652039325
1739209683.2106757;-45.120503652039325
1739209683.2106807;-38.13080360867914
1739209683.2106857;-31.141103565318893
1739209683.2106907;-38.13080360867914
1739209683.210696;-45.120503652039325
1739209683.210701;-38.13080360867914
1739209683.210706;-28.992665084841942
1739209683.210711;-28.992665084841942
1739209683.210716;-38.13080360867914
1739209683.2107213;-45.120503652039325
1739209683.2107263;-45.120503652039325
1739209683.2107313;-38.13080360867914
1739209683.2107363;-45.120503652039325
1739209683.2107413;-38.13080360867914
1739209683.2107465;-45.120503652039325
1739209683.2107515;-38.13080360867914
1739209683.2107565;-45.120503652039325
1739209683.2107615;-45.120503652039325
1739209683.2107666;-38.13080360867914
1739209683.2107716;-45.120503652039325
1739209683.2107768;-38.13080360867914
