CAN Message; 0x1bb:00009b45c516744f
Timestamp;Amplitude
1739209734.3320584;-45.120503652039325
1739209734.3320649;-38.13080360867914
1739209734.3320713;-45.120503652039325
1739209734.3320777;-33.981070128970906
1739209734.3320842;-45.120503652039325
1739209734.3320906;-38.13080360867914
1739209734.3320973;-38.13080360867914
1739209734.3321037;-38.13080360867914
1739209734.3321102;-38.13080360867914
1739209734.3321166;-45.120503652039325
1739209734.332123;-35.57807855764607
1739209734.3321295;-38.13080360867914
1739209734.332136;-38.13080360867914
1739209734.3321424;-38.13080360867914
1739209734.3321488;-38.13080360867914
1739209734.3321552;-31.141103565318915
1739209734.3321617;-45.120503652039325
1739209734.332168;-38.13080360867914
1739209734.3321745;-32.816014438256545
1739209734.3321812;-33.981070128970906
1739209734.3321877;-45.120503652039325
1739209734.332194;-45.120503652039325
1739209734.3322005;-38.13080360867914
1739209734.332207;-45.120503652039325
1739209734.3322134;-45.120503652039325
1739209734.3322198;-45.120503652039325
1739209734.3322263;-38.13080360867914
1739209734.3322327;-45.120503652039325
1739209734.3322392;-45.120503652039325
1739209734.3322456;-38.13080360867914
1739209734.332252;-38.13080360867914
1739209734.3322587;-45.120503652039325
1739209734.3322651;-45.120503652039325
1739209734.3322716;-45.120503652039325
1739209734.332278;-38.13080360867914
1739209734.3322845;-35.57807855764607
1739209734.332291;-45.120503652039325
1739209734.3322973;-45.120503652039325
1739209734.3323038;-45.120503652039325
1739209734.3323102;-31.141103565318915
1739209734.3323166;-45.120503652039325
1739209734.332323;-45.120503652039325
1739209734.3323295;-38.13080360867914
1739209734.332336;-45.120503652039325
1739209734.3323426;-38.13080360867914
1739209734.332349;-38.13080360867914
1739209734.3323555;-45.120503652039325
1739209734.332362;-31.14110356531892
1739209734.3323684;-38.13080360867914
1739209734.3323748;-38.13080360867914
1739209734.3323812;-45.120503652039325
1739209734.3323877;-38.13080360867914
1739209734.3323941;-38.13080360867914
1739209734.3324006;-45.120503652039325
1739209734.332407;-38.13080360867914
1739209734.3324134;-28.992665084841942
1739209734.3324199;-38.13080360867914
1739209734.3324265;-38.13080360867914
1739209734.332433;-45.120503652039325
1739209734.3324394;-45.120503652039325
1739209734.3324459;-35.57807855764607
1739209734.3324523;-38.13080360867914
1739209734.3324587;-45.120503652039325
1739209734.3324652;-29.438486411369347
1739209734.3324716;-38.13080360867914
1739209734.332478;-45.120503652039325
1739209734.3324845;-45.120503652039325
1739209734.332491;-38.13080360867914
1739209734.3324974;-45.120503652039325
1739209734.3325038;-45.120503652039325
1739209734.3325105;-35.57807855764607
1739209734.332517;-31.141103565318915
1739209734.3325233;-33.981070128970906
1739209734.3325298;-38.13080360867914
1739209734.3325362;-38.13080360867914
1739209734.3325427;-38.13080360867914
1739209734.332549;-38.13080360867914
1739209734.3325555;-45.120503652039325
1739209734.332562;-45.120503652039325
1739209734.3325684;-38.13080360867914
1739209734.3325748;-45.120503652039325
1739209734.3325813;-45.120503652039325
1739209734.3325877;-45.120503652039325
1739209734.3325944;-45.120503652039325
1739209734.3326008;-45.120503652039325
1739209734.3326073;-45.120503652039325
1739209734.3326137;-45.120503652039325
1739209734.3326201;-38.13080360867914
1739209734.3326266;-38.13080360867914
1739209734.332633;-38.13080360867914
1739209734.3326395;-38.13080360867914
1739209734.332646;-38.13080360867914
1739209734.3326523;-45.120503652039325
1739209734.3326588;-45.120503652039325
1739209734.3326652;-38.13080360867914
1739209734.3326716;-38.13080360867914
1739209734.3326783;-38.13080360867914
1739209734.3326848;-45.120503652039325
1739209734.3326912;-45.120503652039325
1739209734.3326976;-38.13080360867914
1739209734.332704;-38.13080360867914
