CAN Message; 0x77:4c8c8f501e4e9ebf
Timestamp;Amplitude
1739209700.5909164;-45.120503652039325
1739209700.5909202;-45.120503652039325
1739209700.590924;-38.13080360867914
1739209700.5909278;-45.120503652039325
1739209700.590932;-45.120503652039325
1739209700.5909357;-33.981070128970906
1739209700.5909395;-45.120503652039325
1739209700.5909433;-45.120503652039325
1739209700.5909472;-45.120503652039325
1739209700.590951;-45.120503652039325
1739209700.5909548;-45.120503652039325
1739209700.5909586;-45.120503652039325
1739209700.5909626;-38.13080360867914
1739209700.5909665;-38.13080360867914
1739209700.5909703;-38.13080360867914
1739209700.590974;-45.120503652039325
1739209700.590978;-38.13080360867914
1739209700.5909817;-26.991370085610736
1739209700.5909855;-38.13080360867914
1739209700.5909894;-38.13080360867914
1739209700.5909934;-38.13080360867914
1739209700.5909972;-38.13080360867914
1739209700.591001;-45.120503652039325
1739209700.5910048;-45.120503652039325
1739209700.5910087;-45.120503652039325
1739209700.5910125;-35.57807855764607
1739209700.5910163;-45.120503652039325
1739209700.59102;-38.13080360867914
1739209700.5910242;-45.120503652039325
1739209700.591028;-38.13080360867914
1739209700.5910318;-38.13080360867914
1739209700.5910356;-45.120503652039325
1739209700.5910394;-38.13080360867914
1739209700.5910432;-28.21854285175415
1739209700.591047;-33.981070128970906
1739209700.5910509;-38.13080360867914
1739209700.5910547;-33.981070128970906
1739209700.5910587;-45.120503652039325
1739209700.5910625;-45.120503652039325
1739209700.5910664;-32.816014438256545
1739209700.5910702;-38.13080360867914
1739209700.591074;-45.120503652039325
1739209700.5910778;-45.120503652039325
1739209700.5910816;-35.57807855764607
1739209700.5910854;-45.120503652039325
1739209700.5910895;-38.13080360867914
1739209700.5910933;-38.13080360867914
1739209700.591097;-38.13080360867914
1739209700.591101;-38.13080360867914
1739209700.5911047;-35.57807855764607
1739209700.5911086;-45.120503652039325
1739209700.5911124;-38.13080360867914
1739209700.5911162;-38.13080360867914
1739209700.5911202;-45.120503652039325
1739209700.591124;-45.120503652039325
1739209700.5911279;-35.57807855764607
1739209700.5911317;-45.120503652039325
1739209700.5911355;-38.13080360867914
1739209700.5911393;-33.981070128970906
1739209700.5911431;-45.120503652039325
1739209700.591147;-38.13080360867914
1739209700.591151;-38.13080360867914
1739209700.5911548;-45.120503652039325
1739209700.5911586;-45.120503652039325
1739209700.5911624;-38.13080360867914
1739209700.5911663;-45.120503652039325
1739209700.59117;-45.120503652039325
1739209700.591174;-45.120503652039325
1739209700.5911777;-38.13080360867914
1739209700.5911815;-45.120503652039325
1739209700.5911856;-38.13080360867914
1739209700.5911894;-38.13080360867914
1739209700.5911932;-35.57807855764607
1739209700.591197;-35.57807855764607
1739209700.5912008;-35.57807855764607
1739209700.5912046;-45.120503652039325
1739209700.5912085;-33.981070128970906
1739209700.5912123;-38.13080360867914
1739209700.5912163;-38.13080360867914
1739209700.5912201;-38.13080360867914
1739209700.591224;-45.120503652039325
1739209700.5912278;-45.120503652039325
1739209700.5912316;-45.120503652039325
1739209700.5912354;-45.120503652039325
1739209700.5912392;-45.120503652039325
1739209700.591243;-45.120503652039325
1739209700.591247;-45.120503652039325
1739209700.591251;-45.120503652039325
1739209700.5912547;-38.13080360867914
1739209700.5912585;-38.13080360867914
1739209700.5912623;-38.13080360867914
1739209700.5912662;-45.120503652039325
1739209700.59127;-38.13080360867914
1739209700.5912738;-38.13080360867914
1739209700.5912778;-45.120503652039325
1739209700.5912817;-45.120503652039325
1739209700.5912855;-38.13080360867914
1739209700.5912893;-38.13080360867914
1739209700.591293;-33.981070128970906
1739209700.591297;-38.13080360867914
1739209700.5913007;-38.13080360867914
1739209700.5913045;-38.13080360867914
1739209700.5913084;-33.981070128970906
1739209700.5913124;-45.120503652039325
1739209700.5913162;-33.981070128970906
1739209700.59132;-45.120503652039325
1739209700.5913239;-45.120503652039325
1739209700.5913277;-45.120503652039325
1739209700.5913315;-45.120503652039325
1739209700.5913353;-45.120503652039325
1739209700.591339;-38.13080360867914
1739209700.5913432;-35.57807855764607
1739209700.591347;-38.13080360867914
1739209700.5913508;-45.120503652039325
1739209700.5913546;-38.13080360867914
1739209700.5913584;-38.13080360867914
1739209700.5913622;-38.13080360867914
1739209700.591366;-38.13080360867914
1739209700.5913699;-45.120503652039325
1739209700.591374;-38.13080360867914
1739209700.5913777;-35.57807855764607
1739209700.5913815;-38.13080360867914
1739209700.5913854;-28.992665084841942
1739209700.5913892;-33.981070128970906
1739209700.591393;-45.120503652039325
1739209700.5913968;-38.13080360867914
1739209700.5914006;-35.57807855764607
1739209700.5914044;-38.13080360867914
1739209700.5914085;-45.120503652039325
1739209700.5914123;-33.981070128970906
1739209700.5914161;-30.49652367304973
1739209700.59142;-38.13080360867914
1739209700.5914237;-38.13080360867914
1739209700.5914276;-35.57807855764607
1739209700.5914314;-38.13080360867914
1739209700.5914352;-38.13080360867914
1739209700.5914392;-38.13080360867914
1739209700.591443;-45.120503652039325
1739209700.5914469;-28.992665084841942
1739209700.5914507;-31.141103565318915
1739209700.5914545;-38.13080360867914
1739209700.5914583;-30.49652367304973
1739209700.5914621;-38.13080360867914
1739209700.591466;-38.13080360867914
1739209700.59147;-38.13080360867914
1739209700.5914738;-45.120503652039325
1739209700.5914776;-38.13080360867914
1739209700.5914814;-38.13080360867914
1739209700.5914853;-38.13080360867914
1739209700.591489;-45.120503652039325
1739209700.591493;-45.120503652039325
1739209700.5914967;-38.13080360867914
1739209700.5915008;-45.120503652039325
1739209700.5915046;-45.120503652039325
1739209700.5915084;-45.120503652039325
1739209700.5915122;-38.13080360867914
1739209700.591516;-45.120503652039325
1739209700.5915198;-45.120503652039325
1739209700.5915236;-45.120503652039325
1739209700.5915275;-45.120503652039325
1739209700.5915313;-45.120503652039325
1739209700.5915353;-45.120503652039325
1739209700.5915391;-31.141103565318915
1739209700.591543;-26.991370085610722
1739209700.5915468;-38.13080360867914
1739209700.5915506;-45.120503652039325
1739209700.5915544;-38.13080360867914
1739209700.5915582;-38.13080360867914
1739209700.591562;-45.120503652039325
1739209700.591566;-38.13080360867914
1739209700.59157;-45.120503652039325
1739209700.5915737;-38.13080360867914
1739209700.5915775;-38.13080360867914
1739209700.5915813;-45.120503652039325
1739209700.5915852;-45.120503652039325
1739209700.591589;-38.13080360867914
