CAN Message; 0x150:0100ac668f1c7f90
Timestamp;Amplitude
1739209692.4766307;-45.120503652039325
1739209692.4766314;-38.13080360867914
1739209692.4766319;-45.120503652039325
1739209692.4766324;-45.120503652039325
1739209692.476633;-38.13080360867914
1739209692.4766335;-28.992665084841942
1739209692.476634;-33.981070128970906
1739209692.4766345;-35.57807855764607
1739209692.4766352;-35.57807855764607
1739209692.4766357;-38.13080360867914
1739209692.4766362;-35.57807855764607
1739209692.476637;-35.57807855764607
1739209692.4766374;-45.120503652039325
1739209692.4766378;-38.13080360867914
1739209692.4766386;-38.13080360867914
1739209692.476639;-45.120503652039325
1739209692.4766395;-45.120503652039325
1739209692.4766402;-45.120503652039325
1739209692.4766407;-38.13080360867914
1739209692.4766412;-38.13080360867914
1739209692.476642;-38.13080360867914
1739209692.4766424;-38.13080360867914
1739209692.4766428;-38.13080360867914
1739209692.4766436;-45.120503652039325
1739209692.476644;-45.120503652039325
1739209692.4766445;-45.120503652039325
1739209692.476645;-45.120503652039325
1739209692.4766457;-33.981070128970906
1739209692.4766462;-32.816014438256545
1739209692.4766467;-33.981070128970906
1739209692.4766474;-33.981070128970906
1739209692.4766479;-45.120503652039325
1739209692.4766483;-45.120503652039325
1739209692.476649;-38.13080360867914
1739209692.4766495;-33.981070128970906
1739209692.47665;-38.13080360867914
1739209692.4766507;-45.120503652039325
1739209692.4766512;-32.816014438256545
1739209692.4766517;-31.141103565318915
1739209692.4766521;-38.13080360867914
1739209692.4766529;-38.13080360867914
1739209692.4766533;-45.120503652039325
1739209692.4766538;-45.120503652039325
1739209692.4766545;-45.120503652039325
1739209692.476655;-38.13080360867914
1739209692.4766555;-38.13080360867914
1739209692.4766562;-33.981070128970906
1739209692.4766567;-38.13080360867914
1739209692.4766572;-45.120503652039325
1739209692.4766579;-45.120503652039325
1739209692.4766583;-38.13080360867914
1739209692.4766588;-38.13080360867914
1739209692.4766595;-38.13080360867914
1739209692.47666;-38.13080360867914
1739209692.4766605;-33.981070128970906
1739209692.4766612;-45.120503652039325
1739209692.4766617;-45.120503652039325
1739209692.4766622;-45.120503652039325
