CAN Message; 0x39:0f09b57d725a8fa9
Timestamp;Amplitude
1739209642.6062133;-45.120503652039325
1739209642.6062186;-45.120503652039325
1739209642.606224;-38.13080360867914
1739209642.6062295;-38.13080360867914
1739209642.6062348;-45.120503652039325
1739209642.6062403;-38.13080360867914
1739209642.6062458;-45.120503652039325
1739209642.606251;-45.120503652039325
1739209642.6062565;-45.120503652039325
1739209642.606262;-38.13080360867914
1739209642.6062672;-45.120503652039325
1739209642.6062727;-38.13080360867914
1739209642.6062782;-38.13080360867914
1739209642.6062834;-38.13080360867914
1739209642.606289;-45.120503652039325
1739209642.6062944;-38.13080360867914
1739209642.6062996;-38.13080360867914
1739209642.6063051;-35.57807855764607
1739209642.6063106;-32.816014438256545
1739209642.6063159;-45.120503652039325
1739209642.6063213;-38.13080360867914
1739209642.6063268;-38.13080360867914
1739209642.606332;-45.120503652039325
1739209642.6063375;-45.120503652039325
1739209642.606343;-38.13080360867914
1739209642.6063485;-45.120503652039325
1739209642.6063538;-38.13080360867914
1739209642.6063592;-38.13080360867914
1739209642.6063647;-45.120503652039325
1739209642.60637;-45.120503652039325
1739209642.6063755;-45.120503652039325
1739209642.606381;-38.13080360867914
1739209642.6063862;-45.120503652039325
1739209642.6063917;-32.816014438256545
1739209642.6063972;-30.49652367304973
1739209642.6064024;-45.120503652039325
1739209642.6064079;-38.13080360867914
1739209642.6064134;-45.120503652039325
1739209642.6064186;-45.120503652039325
1739209642.606424;-45.120503652039325
1739209642.6064296;-31.141103565318893
1739209642.6064348;-45.120503652039325
1739209642.6064403;-38.13080360867914
1739209642.6064458;-38.13080360867914
1739209642.606451;-38.13080360867914
1739209642.6064565;-45.120503652039325
1739209642.606462;-45.120503652039325
1739209642.6064672;-38.13080360867914
1739209642.6064727;-38.13080360867914
1739209642.6064782;-33.981070128970906
1739209642.6064835;-33.981070128970906
1739209642.606489;-38.13080360867914
1739209642.6064944;-35.57807855764607
1739209642.6064997;-33.981070128970906
1739209642.6065052;-45.120503652039325
1739209642.6065106;-45.120503652039325
1739209642.606516;-35.57807855764607
1739209642.6065214;-35.57807855764607
1739209642.6065269;-31.141103565318893
1739209642.606532;-38.13080360867914
1739209642.6065376;-38.13080360867914
1739209642.606543;-45.120503652039325
1739209642.6065483;-45.120503652039325
1739209642.6065538;-45.120503652039325
1739209642.6065593;-38.13080360867914
1739209642.6065645;-45.120503652039325
1739209642.60657;-35.57807855764607
1739209642.6065755;-45.120503652039325
1739209642.6065807;-38.13080360867914
1739209642.6065862;-45.120503652039325
1739209642.6065917;-45.120503652039325
1739209642.6065972;-38.13080360867914
1739209642.6066024;-45.120503652039325
1739209642.606608;-35.57807855764607
1739209642.6066134;-28.21854285175415
1739209642.6066186;-38.13080360867914
1739209642.6066241;-38.13080360867914
1739209642.6066296;-38.13080360867914
1739209642.6066349;-38.13080360867914
