CAN Message; 0x24:0bad7f23ae8c06c9
Timestamp;Amplitude
1739209858.9401624;-38.13080360867914
1739209858.9401672;-45.120503652039325
1739209858.9401717;-38.13080360867914
1739209858.9401765;-38.13080360867914
1739209858.9401813;-38.13080360867914
1739209858.940186;-35.57807855764607
1739209858.9401908;-35.57807855764607
1739209858.9401956;-38.13080360867914
1739209858.9402;-35.57807855764607
1739209858.9402049;-45.120503652039325
1739209858.9402096;-45.120503652039325
1739209858.9402144;-33.981070128970906
1739209858.9402192;-38.13080360867914
1739209858.940224;-38.13080360867914
1739209858.9402285;-38.13080360867914
1739209858.9402332;-38.13080360867914
1739209858.940238;-38.13080360867914
1739209858.9402428;-38.13080360867914
1739209858.9402475;-45.120503652039325
1739209858.9402523;-45.120503652039325
1739209858.9402568;-45.120503652039325
1739209858.9402616;-45.120503652039325
1739209858.9402664;-38.13080360867914
1739209858.9402711;-38.13080360867914
1739209858.940276;-45.120503652039325
1739209858.9402807;-38.13080360867914
1739209858.9402852;-38.13080360867914
1739209858.94029;-38.13080360867914
1739209858.9402947;-45.120503652039325
1739209858.9402995;-25.62660358559016
1739209858.9403043;-32.816014438256545
1739209858.940309;-45.120503652039325
1739209858.9403136;-38.13080360867914
1739209858.9403183;-45.120503652039325
1739209858.940323;-45.120503652039325
1739209858.940328;-45.120503652039325
1739209858.9403327;-32.816014438256545
1739209858.9403374;-33.981070128970956
1739209858.940342;-45.120503652039325
1739209858.9403467;-45.120503652039325
1739209858.9403515;-38.13080360867914
1739209858.9403563;-45.120503652039325
1739209858.940361;-45.120503652039325
1739209858.9403658;-33.981070128970906
1739209858.9403703;-45.120503652039325
1739209858.940375;-31.141103565318915
1739209858.9403799;-32.816014438256545
1739209858.9403846;-45.120503652039325
1739209858.9403894;-45.120503652039325
1739209858.9403942;-35.57807855764607
1739209858.9403987;-33.981070128970906
1739209858.9404035;-35.57807855764607
1739209858.9404082;-35.57807855764607
1739209858.940413;-38.13080360867914
1739209858.9404178;-35.57807855764607
1739209858.9404225;-45.120503652039325
1739209858.940427;-45.120503652039325
1739209858.9404318;-45.120503652039325
1739209858.9404366;-45.120503652039325
1739209858.9404414;-45.120503652039325
1739209858.9404461;-45.120503652039325
1739209858.940451;-45.120503652039325
1739209858.9404554;-45.120503652039325
1739209858.9404602;-45.120503652039325
1739209858.940465;-45.120503652039325
1739209858.9404697;-38.13080360867914
1739209858.9404745;-45.120503652039325
1739209858.9404793;-38.13080360867914
1739209858.9404838;-45.120503652039325
1739209858.9404886;-38.13080360867914
1739209858.9404933;-35.57807855764607
1739209858.940498;-38.13080360867914
1739209858.940503;-45.120503652039325
1739209858.9405074;-38.13080360867914
1739209858.9405122;-35.57807855764607
1739209858.940517;-45.120503652039325
1739209858.9405217;-38.13080360867914
1739209858.9405265;-45.120503652039325
1739209858.9405313;-45.120503652039325
1739209858.9405358;-38.13080360867914
1739209858.9405406;-45.120503652039325
1739209858.9405453;-45.120503652039325
1739209858.94055;-45.120503652039325
1739209858.9405549;-45.120503652039325
1739209858.9405596;-45.120503652039325
1739209858.9405642;-38.13080360867914
1739209858.940569;-32.816014438256545
1739209858.9405737;-38.13080360867914
1739209858.9405785;-45.120503652039325
1739209858.9405832;-45.120503652039325
1739209858.940588;-32.816014438256545
1739209858.9405925;-45.120503652039325
1739209858.9405973;-45.120503652039325
1739209858.940602;-38.13080360867914
1739209858.9406068;-38.13080360867914
1739209858.9406116;-38.13080360867914
1739209858.9406164;-38.13080360867914
1739209858.940621;-45.120503652039325
1739209858.9406257;-45.120503652039325
1739209858.9406304;-33.981070128970906
1739209858.9406352;-45.120503652039325
1739209858.94064;-33.981070128970906
1739209858.9406447;-32.816014438256545
1739209858.9406493;-35.57807855764607
1739209858.940654;-35.57807855764607
1739209858.9406588;-45.120503652039325
1739209858.9406636;-45.120503652039325
1739209858.9406683;-38.13080360867914
1739209858.940673;-33.981070128970906
1739209858.9406776;-45.120503652039325
1739209858.9406824;-45.120503652039325
1739209858.9406872;-45.120503652039325
1739209858.940692;-45.120503652039325
1739209858.9406967;-45.120503652039325
