CAN Message; 0x62:00295b9080e5b434
Timestamp;Amplitude
1739209778.6156456;-38.13080360867914
1739209778.6156511;-38.13080360867914
1739209778.6156569;-32.816014438256545
1739209778.6156626;-38.13080360867914
1739209778.6156683;-45.120503652039325
1739209778.6156738;-35.57807855764607
1739209778.6156795;-35.57807855764607
1739209778.6156852;-35.57807855764607
1739209778.6156907;-45.120503652039325
1739209778.6156964;-45.120503652039325
1739209778.6157022;-38.13080360867914
1739209778.6157076;-38.13080360867914
1739209778.6157134;-45.120503652039325
1739209778.615719;-38.13080360867914
1739209778.6157248;-32.816014438256545
1739209778.6157303;-38.13080360867914
1739209778.615736;-45.120503652039325
1739209778.6157417;-45.120503652039325
1739209778.6157472;-38.13080360867914
1739209778.615753;-35.57807855764607
1739209778.6157587;-38.13080360867914
1739209778.6157641;-45.120503652039325
1739209778.6157699;-45.120503652039325
1739209778.6157756;-38.13080360867914
1739209778.6157813;-35.57807855764607
1739209778.6157868;-38.13080360867914
1739209778.6157925;-45.120503652039325
1739209778.6157982;-45.120503652039325
1739209778.6158037;-45.120503652039325
1739209778.6158094;-33.981070128970906
1739209778.6158152;-45.120503652039325
1739209778.6158206;-33.981070128970906
1739209778.6158264;-45.120503652039325
1739209778.615832;-38.13080360867914
1739209778.6158378;-38.13080360867914
1739209778.6158433;-38.13080360867914
1739209778.615849;-33.981070128970906
1739209778.6158547;-45.120503652039325
1739209778.6158602;-38.13080360867914
1739209778.615866;-31.141103565318915
1739209778.6158717;-38.13080360867914
1739209778.6158772;-38.13080360867914
1739209778.6158829;-38.13080360867914
1739209778.6158886;-38.13080360867914
1739209778.6158943;-45.120503652039325
1739209778.6158998;-33.981070128970906
1739209778.6159055;-38.13080360867914
1739209778.6159112;-30.49652367304973
1739209778.6159167;-45.120503652039325
1739209778.6159225;-38.13080360867914
1739209778.6159282;-38.13080360867914
1739209778.6159337;-38.13080360867914
1739209778.6159394;-45.120503652039325
1739209778.615945;-38.13080360867914
1739209778.6159508;-38.13080360867914
1739209778.6159563;-33.981070128970906
1739209778.615962;-38.13080360867914
1739209778.6159678;-38.13080360867914
1739209778.6159732;-38.13080360867914
1739209778.615979;-35.57807855764607
1739209778.6159847;-45.120503652039325
1739209778.6159902;-38.13080360867914
1739209778.615996;-38.13080360867914
1739209778.6160016;-45.120503652039325
1739209778.6160073;-45.120503652039325
1739209778.6160128;-38.13080360867914
1739209778.6160185;-45.120503652039325
1739209778.6160243;-38.13080360867914
1739209778.6160297;-38.13080360867914
1739209778.6160355;-35.57807855764607
1739209778.6160412;-35.57807855764607
1739209778.6160467;-45.120503652039325
1739209778.6160524;-45.120503652039325
1739209778.616058;-45.120503652039325
1739209778.6160638;-45.120503652039325
1739209778.6160693;-45.120503652039325
1739209778.616075;-45.120503652039325
1739209778.6160808;-45.120503652039325
1739209778.6160862;-38.13080360867914
1739209778.616092;-38.13080360867914
1739209778.6160977;-45.120503652039325
1739209778.6161032;-33.981070128970906
1739209778.616109;-35.57807855764607
1739209778.6161146;-38.13080360867914
1739209778.6161203;-35.57807855764607
1739209778.6161258;-45.120503652039325
1739209778.6161315;-33.981070128970906
1739209778.6161373;-38.13080360867914
1739209778.6161427;-38.13080360867914
1739209778.6161485;-38.13080360867914
1739209778.6161542;-45.120503652039325
1739209778.6161597;-45.120503652039325
1739209778.6161654;-38.13080360867914
1739209778.6161711;-38.13080360867914
1739209778.6161768;-38.13080360867914
1739209778.6161823;-38.13080360867914
1739209778.616188;-45.120503652039325
1739209778.6161938;-38.13080360867914
1739209778.6161993;-45.120503652039325
