CAN Message; 0x1a7:0000cd3740541abb
Timestamp;Amplitude
1739209843.3619955;-38.13080360867914
1739209843.362004;-35.57807855764607
1739209843.3620124;-45.120503652039325
1739209843.362021;-38.13080360867914
1739209843.3620296;-35.57807855764607
1739209843.3620381;-38.13080360867914
1739209843.3620467;-38.13080360867914
1739209843.3620553;-45.120503652039325
1739209843.3620636;-45.120503652039325
1739209843.3620722;-38.13080360867914
1739209843.3620808;-38.13080360867914
1739209843.3620894;-45.120503652039325
1739209843.362098;-45.120503652039325
1739209843.3621066;-35.57807855764607
1739209843.362115;-38.13080360867914
1739209843.3621235;-45.120503652039325
1739209843.362132;-45.120503652039325
1739209843.3621407;-45.120503652039325
1739209843.3621492;-33.981070128970906
1739209843.3621576;-45.120503652039325
1739209843.3621662;-33.981070128970906
1739209843.3621747;-35.57807855764607
1739209843.3621833;-38.13080360867914
1739209843.362192;-45.120503652039325
1739209843.3622005;-38.13080360867914
1739209843.3622088;-38.13080360867914
1739209843.3622174;-38.13080360867914
1739209843.362226;-38.13080360867914
1739209843.3622346;-35.57807855764607
1739209843.3622432;-35.57807855764607
1739209843.3622518;-38.13080360867914
1739209843.36226;-38.13080360867914
1739209843.3622687;-38.13080360867914
1739209843.3622773;-38.13080360867914
1739209843.3622859;-45.120503652039325
1739209843.3622944;-38.13080360867914
1739209843.3623028;-45.120503652039325
1739209843.3623114;-45.120503652039325
1739209843.36232;-38.13080360867914
1739209843.3623285;-35.57807855764607
1739209843.362337;-38.13080360867914
1739209843.3623457;-38.13080360867914
1739209843.362354;-45.120503652039325
1739209843.3623626;-35.57807855764607
1739209843.3623712;-35.57807855764607
1739209843.3623798;-38.13080360867914
1739209843.3623884;-45.120503652039325
1739209843.362397;-38.13080360867914
1739209843.3624053;-38.13080360867914
1739209843.362414;-38.13080360867914
1739209843.3624225;-45.120503652039325
1739209843.362431;-38.13080360867914
1739209843.3624396;-38.13080360867914
1739209843.362448;-45.120503652039325
1739209843.3624566;-45.120503652039325
1739209843.3624651;-38.13080360867914
1739209843.3624737;-45.120503652039325
1739209843.3624823;-38.13080360867914
1739209843.362491;-45.120503652039325
1739209843.3624992;-45.120503652039325
1739209843.3625078;-38.13080360867914
1739209843.3625164;-38.13080360867914
1739209843.362525;-38.13080360867914
1739209843.3625336;-45.120503652039325
1739209843.3625422;-28.992665084841942
1739209843.3625505;-30.49652367304973
1739209843.362559;-33.981070128970906
1739209843.3625677;-38.13080360867914
1739209843.3625762;-35.57807855764607
1739209843.3625848;-35.57807855764607
1739209843.3625932;-38.13080360867914
1739209843.3626018;-35.57807855764607
1739209843.3626103;-35.57807855764607
1739209843.362619;-45.120503652039325
1739209843.3626275;-45.120503652039325
1739209843.362636;-45.120503652039325
1739209843.3626444;-38.13080360867914
1739209843.362653;-45.120503652039325
1739209843.3626616;-45.120503652039325
1739209843.3626702;-35.57807855764607
1739209843.3626788;-32.816014438256545
1739209843.3626873;-38.13080360867914
1739209843.3626957;-38.13080360867914
1739209843.3627043;-38.13080360867914
1739209843.3627129;-38.13080360867914
1739209843.3627214;-45.120503652039325
1739209843.36273;-33.981070128970906
1739209843.3627384;-45.120503652039325
1739209843.362747;-33.981070128970906
1739209843.3627555;-30.49652367304973
1739209843.3627641;-38.13080360867914
1739209843.3627727;-35.57807855764607
1739209843.3627813;-38.13080360867914
1739209843.3627896;-38.13080360867914
1739209843.3627982;-38.13080360867914
1739209843.3628068;-32.816014438256545
1739209843.3628154;-45.120503652039325
1739209843.362824;-38.13080360867914
1739209843.3628325;-38.13080360867914
1739209843.362841;-35.57807855764607
1739209843.3628495;-38.13080360867914
1739209843.362858;-38.13080360867914
1739209843.3628666;-38.13080360867914
1739209843.3628752;-45.120503652039325
1739209843.3628836;-31.141103565318915
1739209843.3628922;-25.077289914212862
1739209843.3629007;-38.13080360867914
1739209843.3629093;-38.13080360867914
1739209843.362918;-38.13080360867914
1739209843.3629265;-45.120503652039325
1739209843.3629348;-45.120503652039325
1739209843.3629434;-45.120503652039325
1739209843.362952;-45.120503652039325
1739209843.3629606;-45.120503652039325
1739209843.3629692;-45.120503652039325
1739209843.3629775;-45.120503652039325
1739209843.362986;-45.120503652039325
1739209843.3629947;-45.120503652039325
