CAN Message; 0x39:08a3db456c62342a
Timestamp;Amplitude
1739209820.379331;-35.57807855764607
1739209820.3793385;-38.13080360867914
1739209820.3793461;-45.120503652039325
1739209820.3793538;-33.981070128970906
1739209820.3793612;-38.13080360867914
1739209820.3793688;-38.13080360867914
1739209820.3793764;-45.120503652039325
1739209820.3793838;-38.13080360867914
1739209820.3793914;-35.57807855764607
1739209820.379399;-38.13080360867914
1739209820.3794065;-38.13080360867914
1739209820.379414;-32.816014438256545
1739209820.3794217;-38.13080360867914
1739209820.379429;-45.120503652039325
1739209820.3794367;-45.120503652039325
1739209820.3794444;-38.13080360867914
1739209820.3794518;-45.120503652039325
1739209820.3794594;-33.981070128970906
1739209820.3794668;-45.120503652039325
1739209820.3794744;-30.49652367304973
1739209820.379482;-38.13080360867914
1739209820.3794894;-45.120503652039325
1739209820.379497;-38.13080360867914
1739209820.3795047;-45.120503652039325
1739209820.379512;-32.816014438256545
1739209820.3795197;-45.120503652039325
1739209820.3795273;-45.120503652039325
1739209820.3795347;-33.981070128970906
1739209820.3795424;-33.981070128970906
1739209820.37955;-45.120503652039325
1739209820.3795574;-38.13080360867914
1739209820.379565;-38.13080360867914
1739209820.3795726;-45.120503652039325
1739209820.37958;-38.13080360867914
1739209820.3795877;-38.13080360867914
1739209820.3795953;-38.13080360867914
1739209820.3796027;-45.120503652039325
1739209820.3796103;-45.120503652039325
1739209820.379618;-35.57807855764607
1739209820.3796253;-38.13080360867914
1739209820.379633;-38.13080360867914
1739209820.3796406;-38.13080360867914
1739209820.379648;-33.981070128970906
1739209820.3796556;-38.13080360867914
1739209820.3796632;-38.13080360867914
1739209820.3796706;-38.13080360867914
1739209820.3796782;-38.13080360867914
1739209820.3796859;-38.13080360867914
1739209820.3796933;-38.13080360867914
1739209820.379701;-38.13080360867914
1739209820.3797085;-35.57807855764607
1739209820.379716;-35.57807855764607
1739209820.3797235;-38.13080360867914
1739209820.379731;-45.120503652039325
1739209820.3797386;-38.13080360867914
1739209820.3797462;-32.816014438256545
1739209820.3797536;-45.120503652039325
1739209820.3797612;-45.120503652039325
1739209820.3797688;-33.981070128970906
1739209820.3797762;-31.141103565318915
1739209820.3797839;-38.13080360867914
1739209820.3797915;-38.13080360867914
1739209820.379799;-35.57807855764607
1739209820.3798065;-38.13080360867914
1739209820.3798141;-38.13080360867914
1739209820.3798215;-38.13080360867914
1739209820.3798292;-35.57807855764607
1739209820.3798368;-35.57807855764607
1739209820.3798442;-38.13080360867914
1739209820.3798518;-45.120503652039325
1739209820.3798594;-38.13080360867914
1739209820.3798668;-45.120503652039325
1739209820.3798745;-45.120503652039325
1739209820.379882;-38.13080360867914
1739209820.3798895;-45.120503652039325
1739209820.379897;-45.120503652039325
1739209820.3799047;-45.120503652039325
1739209820.3799121;-33.981070128970906
1739209820.3799198;-45.120503652039325
1739209820.3799274;-45.120503652039325
1739209820.3799348;-38.13080360867914
1739209820.3799424;-38.13080360867914
1739209820.37995;-45.120503652039325
1739209820.3799574;-45.120503652039325
1739209820.379965;-32.816014438256545
1739209820.3799727;-35.57807855764607
1739209820.37998;-45.120503652039325
1739209820.3799877;-45.120503652039325
1739209820.379995;-38.13080360867914
1739209820.3800027;-35.57807855764607
1739209820.3800104;-38.13080360867914
1739209820.3800178;-45.120503652039325
1739209820.3800254;-45.120503652039325
1739209820.380033;-45.120503652039325
1739209820.3800404;-38.13080360867914
1739209820.380048;-38.13080360867914
1739209820.3800557;-38.13080360867914
1739209820.380063;-45.120503652039325
1739209820.3800707;-38.13080360867914
1739209820.3800783;-45.120503652039325
1739209820.3800857;-32.816014438256545
1739209820.3800933;-30.49652367304973
1739209820.380101;-45.120503652039325
1739209820.3801084;-45.120503652039325
1739209820.380116;-45.120503652039325
1739209820.3801236;-45.120503652039325
1739209820.380131;-35.57807855764607
1739209820.3801386;-38.13080360867914
1739209820.3801463;-45.120503652039325
1739209820.3801537;-45.120503652039325
1739209820.3801613;-38.13080360867914
1739209820.380169;-38.13080360867914
1739209820.3801763;-45.120503652039325
1739209820.380184;-45.120503652039325
1739209820.3801916;-32.816014438256545
1739209820.380199;-38.13080360867914
1739209820.3802066;-45.120503652039325
1739209820.3802142;-45.120503652039325
1739209820.3802216;-35.57807855764607
1739209820.3802292;-38.13080360867914
1739209820.3802369;-38.13080360867914
1739209820.3802443;-38.13080360867914
1739209820.380252;-33.981070128970906
1739209820.3802593;-38.13080360867914
1739209820.380267;-31.141103565318893
1739209820.3802745;-30.49652367304973
1739209820.380282;-38.13080360867914
1739209820.3802896;-33.981070128970906
1739209820.3802972;-45.120503652039325
1739209820.3803046;-38.13080360867914
1739209820.3803122;-35.57807855764607
1739209820.3803198;-32.816014438256545
1739209820.3803272;-45.120503652039325
1739209820.3803349;-31.141103565318943
1739209820.3803425;-35.57807855764607
1739209820.3803499;-35.57807855764607
1739209820.3803575;-45.120503652039325
1739209820.3803651;-45.120503652039325
1739209820.3803725;-35.57807855764607
1739209820.3803802;-45.120503652039325
1739209820.3803878;-33.981070128970906
1739209820.3803952;-27.267205301931607
1739209820.3804028;-45.120503652039325
1739209820.3804104;-45.120503652039325
1739209820.3804178;-38.13080360867914
1739209820.3804255;-38.13080360867914
1739209820.380433;-45.120503652039325
1739209820.3804405;-38.13080360867914
1739209820.380448;-45.120503652039325
1739209820.3804557;-38.13080360867914
1739209820.3804631;-38.13080360867914
1739209820.3804708;-38.13080360867914
1739209820.3804784;-35.57807855764607
1739209820.3804858;-38.13080360867914
1739209820.3804934;-45.120503652039325
1739209820.380501;-45.120503652039325
1739209820.3805084;-38.13080360867914
1739209820.380516;-38.13080360867914
1739209820.3805234;-38.13080360867914
1739209820.380531;-33.981070128970906
1739209820.3805387;-38.13080360867914
1739209820.380546;-45.120503652039325
1739209820.3805537;-38.13080360867914
1739209820.3805614;-45.120503652039325
1739209820.3805687;-38.13080360867914
