CAN Message; 0x77:e48886e9e33f75b9
Timestamp;Amplitude
1739209603.6824389;-45.120503652039325
1739209603.6824417;-38.13080360867914
1739209603.6824448;-45.120503652039325
1739209603.6824477;-45.120503652039325
1739209603.6824508;-38.13080360867914
1739209603.6824539;-45.120503652039325
1739209603.6824567;-38.13080360867914
1739209603.6824598;-38.13080360867914
1739209603.6824627;-35.57807855764607
1739209603.6824658;-38.13080360867914
1739209603.682469;-45.120503652039325
1739209603.6824718;-35.57807855764607
1739209603.6824749;-35.57807855764607
1739209603.6824777;-32.816014438256545
1739209603.6824808;-38.13080360867914
1739209603.682484;-33.981070128970906
1739209603.6824868;-38.13080360867914
1739209603.6824899;-45.120503652039325
1739209603.6824927;-45.120503652039325
1739209603.6824958;-35.57807855764607
1739209603.682499;-38.13080360867914
1739209603.6825018;-31.141103565318943
1739209603.682505;-45.120503652039325
1739209603.6825078;-35.57807855764607
1739209603.6825109;-38.13080360867914
1739209603.682514;-45.120503652039325
1739209603.6825168;-45.120503652039325
1739209603.68252;-38.13080360867914
1739209603.6825228;-33.981070128970906
1739209603.6825259;-30.49652367304973
1739209603.6825287;-38.13080360867914
1739209603.6825318;-45.120503652039325
1739209603.682535;-45.120503652039325
1739209603.6825378;-38.13080360867914
1739209603.682541;-45.120503652039325
1739209603.6825438;-45.120503652039325
1739209603.6825469;-45.120503652039325
1739209603.68255;-45.120503652039325
1739209603.6825528;-45.120503652039325
1739209603.682556;-38.13080360867914
1739209603.6825588;-45.120503652039325
1739209603.6825619;-45.120503652039325
1739209603.682565;-45.120503652039325
1739209603.6825678;-38.13080360867914
1739209603.682571;-38.13080360867914
1739209603.6825738;-45.120503652039325
1739209603.682577;-45.120503652039325
1739209603.68258;-35.57807855764607
1739209603.6825829;-38.13080360867914
1739209603.682586;-38.13080360867914
1739209603.6825888;-45.120503652039325
1739209603.682592;-45.120503652039325
1739209603.682595;-38.13080360867914
1739209603.6825979;-29.438486411369333
1739209603.682601;-32.816014438256545
1739209603.6826038;-45.120503652039325
1739209603.682607;-45.120503652039325
1739209603.68261;-45.120503652039325
1739209603.682613;-45.120503652039325
1739209603.682616;-45.120503652039325
1739209603.6826189;-38.13080360867914
1739209603.682622;-38.13080360867914
1739209603.682625;-45.120503652039325
1739209603.682628;-38.13080360867914
1739209603.682631;-45.120503652039325
1739209603.6826339;-45.120503652039325
1739209603.682637;-45.120503652039325
1739209603.68264;-32.816014438256545
1739209603.682643;-38.13080360867914
1739209603.682646;-29.438486411369333
1739209603.682649;-32.816014438256545
1739209603.682652;-38.13080360867914
1739209603.682655;-33.981070128970906
1739209603.682658;-38.13080360867914
1739209603.682661;-33.981070128970906
1739209603.682664;-45.120503652039325
1739209603.682667;-38.13080360867914
1739209603.68267;-45.120503652039325
1739209603.682673;-45.120503652039325
1739209603.682676;-38.13080360867914
1739209603.682679;-45.120503652039325
1739209603.682682;-38.13080360867914
1739209603.6826851;-35.57807855764607
1739209603.682688;-38.13080360867914
1739209603.682691;-38.13080360867914
1739209603.682694;-38.13080360867914
1739209603.682697;-45.120503652039325
1739209603.6827002;-38.13080360867914
1739209603.682703;-38.13080360867914
1739209603.682706;-45.120503652039325
1739209603.682709;-45.120503652039325
1739209603.682712;-38.13080360867914
1739209603.682715;-38.13080360867914
1739209603.682718;-38.13080360867914
1739209603.6827211;-35.57807855764607
1739209603.682724;-38.13080360867914
1739209603.682727;-45.120503652039325
1739209603.68273;-38.13080360867914
1739209603.682733;-38.13080360867914
1739209603.6827362;-38.13080360867914
1739209603.682739;-45.120503652039325
1739209603.682742;-45.120503652039325
1739209603.682745;-45.120503652039325
1739209603.682748;-45.120503652039325
1739209603.6827512;-38.13080360867914
1739209603.682754;-38.13080360867914
1739209603.6827571;-38.13080360867914
1739209603.68276;-38.13080360867914
1739209603.682763;-38.13080360867914
1739209603.6827662;-38.13080360867914
1739209603.682769;-33.981070128970906
1739209603.6827722;-45.120503652039325
1739209603.682775;-45.120503652039325
1739209603.6827781;-35.57807855764607
1739209603.6827812;-45.120503652039325
1739209603.682784;-38.13080360867914
1739209603.6827872;-38.13080360867914
1739209603.68279;-45.120503652039325
1739209603.6827931;-38.13080360867914
1739209603.6827962;-38.13080360867914
1739209603.682799;-38.13080360867914
1739209603.6828022;-45.120503652039325
1739209603.682805;-38.13080360867914
1739209603.6828082;-45.120503652039325
1739209603.6828113;-38.13080360867914
1739209603.6828141;-45.120503652039325
1739209603.6828172;-38.13080360867914
1739209603.68282;-38.13080360867914
1739209603.6828232;-38.13080360867914
1739209603.6828263;-45.120503652039325
1739209603.6828291;-45.120503652039325
1739209603.6828322;-45.120503652039325
1739209603.682835;-45.120503652039325
1739209603.6828382;-32.816014438256545
1739209603.6828413;-38.13080360867914
1739209603.6828442;-38.13080360867914
1739209603.6828473;-45.120503652039325
1739209603.6828501;-38.13080360867914
1739209603.6828532;-33.981070128970906
1739209603.6828563;-33.981070128970906
1739209603.6828592;-33.981070128970906
1739209603.6828623;-45.120503652039325
1739209603.6828651;-45.120503652039325
1739209603.6828682;-45.120503652039325
1739209603.6828713;-38.13080360867914
1739209603.6828742;-45.120503652039325
1739209603.6828773;-45.120503652039325
1739209603.6828802;-45.120503652039325
1739209603.6828833;-38.13080360867914
1739209603.6828864;-45.120503652039325
1739209603.6828892;-45.120503652039325
1739209603.6828923;-38.13080360867914
1739209603.6828952;-38.13080360867914
1739209603.6828983;-45.120503652039325
1739209603.6829011;-38.13080360867914
1739209603.6829042;-38.13080360867914
1739209603.6829073;-45.120503652039325
1739209603.6829102;-38.13080360867914
1739209603.6829133;-31.141103565318915
1739209603.6829162;-33.981070128970906
1739209603.6829193;-45.120503652039325
1739209603.6829224;-38.13080360867914
1739209603.6829252;-38.13080360867914
1739209603.6829283;-33.981070128970906
1739209603.6829312;-33.981070128970906
1739209603.6829343;-45.120503652039325
1739209603.6829374;-38.13080360867914
1739209603.6829402;-38.13080360867914
1739209603.6829433;-38.13080360867914
1739209603.6829462;-38.13080360867914
1739209603.6829493;-45.120503652039325
1739209603.6829524;-38.13080360867914
1739209603.6829553;-38.13080360867914
1739209603.6829584;-45.120503652039325
1739209603.6829612;-45.120503652039325
1739209603.6829643;-38.13080360867914
1739209603.6829674;-38.13080360867914
1739209603.6829703;-38.13080360867914
1739209603.6829734;-38.13080360867914
1739209603.6829762;-45.120503652039325
1739209603.6829793;-33.981070128970906
1739209603.6829824;-45.120503652039325
1739209603.6829853;-38.13080360867914
1739209603.6829884;-28.992665084841942
1739209603.6829913;-45.120503652039325
1739209603.6829944;-45.120503652039325
1739209603.6829975;-33.981070128970906
1739209603.6830003;-38.13080360867914
1739209603.6830034;-38.13080360867914
1739209603.6830063;-38.13080360867914
1739209603.6830094;-45.120503652039325
1739209603.6830125;-32.816014438256545
1739209603.6830153;-38.13080360867914
1739209603.6830184;-45.120503652039325
1739209603.6830213;-45.120503652039325
1739209603.6830244;-45.120503652039325
1739209603.6830275;-45.120503652039325
1739209603.6830304;-38.13080360867914
1739209603.6830335;-38.13080360867914
1739209603.6830363;-38.13080360867914
1739209603.6830394;-38.13080360867914
1739209603.6830425;-38.13080360867914
1739209603.6830454;-45.120503652039325
1739209603.6830485;-45.120503652039325
1739209603.6830513;-45.120503652039325
1739209603.6830544;-38.13080360867914
1739209603.6830575;-33.981070128970906
1739209603.6830604;-33.981070128970906
1739209603.6830635;-38.13080360867914
1739209603.6830664;-45.120503652039325
1739209603.6830695;-38.13080360867914
1739209603.6830723;-31.141103565318915
1739209603.6830754;-45.120503652039325
1739209603.6830785;-38.13080360867914
1739209603.6830814;-45.120503652039325
1739209603.6830845;-45.120503652039325
1739209603.6830873;-38.13080360867914
1739209603.6830904;-45.120503652039325
1739209603.6830935;-45.120503652039325
1739209603.6830964;-38.13080360867914
1739209603.6830995;-35.57807855764607
1739209603.6831024;-45.120503652039325
1739209603.6831055;-38.13080360867914
1739209603.6831086;-33.981070128970906
1739209603.6831114;-45.120503652039325
1739209603.6831145;-35.57807855764607
1739209603.6831174;-35.57807855764607
1739209603.6831205;-45.120503652039325
1739209603.6831236;-45.120503652039325
1739209603.6831264;-35.57807855764607
1739209603.6831295;-45.120503652039325
1739209603.6831324;-45.120503652039325
1739209603.6831355;-38.13080360867914
1739209603.6831386;-38.13080360867914
1739209603.6831415;-38.13080360867914
1739209603.6831446;-38.13080360867914
1739209603.6831474;-45.120503652039325
1739209603.6831505;-45.120503652039325
1739209603.6831536;-45.120503652039325
1739209603.6831565;-35.57807855764607
1739209603.6831596;-32.816014438256545
1739209603.6831625;-45.120503652039325
1739209603.6831656;-45.120503652039325
1739209603.6831686;-45.120503652039325
1739209603.6831715;-38.13080360867914
1739209603.6831746;-45.120503652039325
1739209603.6831775;-45.120503652039325
1739209603.6831806;-45.120503652039325
1739209603.6831837;-45.120503652039325
1739209603.6831865;-45.120503652039325
1739209603.6831896;-45.120503652039325
1739209603.6831925;-35.57807855764607
1739209603.6831956;-38.13080360867914
1739209603.6831987;-38.13080360867914
1739209603.6832016;-45.120503652039325
1739209603.6832047;-32.816014438256545
1739209603.6832075;-38.13080360867914
1739209603.6832106;-45.120503652039325
1739209603.6832137;-38.13080360867914
1739209603.6832166;-38.13080360867914
1739209603.6832197;-35.57807855764607
1739209603.6832225;-38.13080360867914
