CAN Message; 0x150:0500f9a1cb27e544
Timestamp;Amplitude
1739209857.3045871;-45.120503652039325
1739209857.3046007;-45.120503652039325
1739209857.3046143;-33.981070128970906
1739209857.304628;-45.120503652039325
1739209857.3046412;-45.120503652039325
1739209857.3046548;-45.120503652039325
1739209857.3046684;-33.981070128970906
1739209857.304682;-35.57807855764607
1739209857.3046956;-45.120503652039325
1739209857.3047092;-45.120503652039325
1739209857.3047228;-38.13080360867914
1739209857.3047364;-38.13080360867914
1739209857.30475;-45.120503652039325
1739209857.3047633;-38.13080360867914
1739209857.304777;-45.120503652039325
1739209857.3047905;-45.120503652039325
1739209857.304804;-35.57807855764607
1739209857.3048177;-35.57807855764607
1739209857.3048313;-45.120503652039325
1739209857.3048449;-45.120503652039325
1739209857.3048584;-38.13080360867914
1739209857.304872;-45.120503652039325
1739209857.3048854;-32.816014438256545
1739209857.304899;-32.816014438256545
1739209857.3049126;-38.13080360867914
1739209857.3049262;-45.120503652039325
1739209857.3049397;-38.13080360867914
1739209857.3049533;-38.13080360867914
1739209857.304967;-45.120503652039325
1739209857.3049805;-45.120503652039325
1739209857.304994;-45.120503652039325
1739209857.3050075;-45.120503652039325
1739209857.305021;-38.13080360867914
1739209857.3050346;-45.120503652039325
1739209857.3050482;-33.981070128970906
1739209857.3050618;-45.120503652039325
1739209857.3050754;-35.57807855764607
1739209857.305089;-38.13080360867914
1739209857.3051026;-38.13080360867914
1739209857.3051162;-32.816014438256545
1739209857.3051295;-38.13080360867914
1739209857.305143;-45.120503652039325
1739209857.3051567;-38.13080360867914
1739209857.3051703;-35.57807855764607
1739209857.305184;-38.13080360867914
1739209857.3051975;-38.13080360867914
1739209857.305211;-45.120503652039325
1739209857.3052247;-45.120503652039325
1739209857.305238;-45.120503652039325
1739209857.3052516;-45.120503652039325
1739209857.3052652;-45.120503652039325
1739209857.3052788;-45.120503652039325
1739209857.3052924;-45.120503652039325
1739209857.305306;-45.120503652039325
1739209857.3053195;-45.120503652039325
1739209857.3053331;-45.120503652039325
1739209857.3053467;-45.120503652039325
1739209857.30536;-45.120503652039325
1739209857.3053737;-33.981070128970906
1739209857.3053873;-38.13080360867914
1739209857.3054008;-45.120503652039325
1739209857.3054144;-45.120503652039325
1739209857.305428;-32.816014438256545
1739209857.3054416;-29.438486411369333
1739209857.3054552;-45.120503652039325
1739209857.3054688;-35.57807855764607
1739209857.3054821;-38.13080360867914
1739209857.3054957;-38.13080360867914
1739209857.3055093;-45.120503652039325
1739209857.305523;-38.13080360867914
