CAN Message; 0x1d3:0000c8df3a262044
Timestamp;Amplitude
1739209599.0535412;-38.13080360867914
1739209599.053545;-45.120503652039325
1739209599.0535488;-45.120503652039325
1739209599.0535526;-45.120503652039325
1739209599.0535564;-38.13080360867914
1739209599.0535603;-45.120503652039325
1739209599.053564;-38.13080360867914
1739209599.0535681;-38.13080360867914
1739209599.053572;-45.120503652039325
1739209599.0535758;-45.120503652039325
1739209599.0535796;-45.120503652039325
1739209599.0535834;-45.120503652039325
1739209599.0535872;-45.120503652039325
1739209599.053591;-32.816014438256545
1739209599.0535948;-45.120503652039325
1739209599.0535986;-38.13080360867914
1739209599.0536025;-45.120503652039325
1739209599.0536063;-27.8777449560314
1739209599.05361;-35.57807855764607
1739209599.053614;-38.13080360867914
1739209599.0536177;-45.120503652039325
1739209599.0536215;-45.120503652039325
1739209599.0536253;-38.13080360867914
1739209599.0536294;-45.120503652039325
1739209599.0536332;-38.13080360867914
1739209599.053637;-31.141103565318943
1739209599.0536408;-45.120503652039325
1739209599.0536447;-45.120503652039325
1739209599.0536485;-38.13080360867914
1739209599.0536523;-45.120503652039325
1739209599.053656;-38.13080360867914
1739209599.05366;-38.13080360867914
1739209599.0536637;-45.120503652039325
1739209599.0536675;-28.58837851428586
1739209599.0536714;-28.992665084841942
1739209599.0536752;-45.120503652039325
1739209599.053679;-38.13080360867914
1739209599.0536828;-32.816014438256545
1739209599.0536869;-35.57807855764607
1739209599.0536907;-45.120503652039325
1739209599.0536945;-35.57807855764607
1739209599.0536983;-38.13080360867914
1739209599.053702;-45.120503652039325
1739209599.053706;-38.13080360867914
1739209599.0537097;-38.13080360867914
1739209599.0537136;-45.120503652039325
1739209599.0537174;-38.13080360867914
1739209599.0537212;-38.13080360867914
1739209599.053725;-45.120503652039325
1739209599.0537288;-35.57807855764607
1739209599.0537326;-38.13080360867914
1739209599.0537364;-35.57807855764607
1739209599.0537403;-45.120503652039325
1739209599.053744;-45.120503652039325
1739209599.0537481;-35.57807855764607
1739209599.053752;-38.13080360867914
1739209599.0537558;-38.13080360867914
1739209599.0537596;-38.13080360867914
1739209599.0537634;-38.13080360867914
1739209599.0537672;-45.120503652039325
1739209599.053771;-45.120503652039325
1739209599.0537748;-38.13080360867914
1739209599.0537786;-38.13080360867914
1739209599.0537825;-38.13080360867914
1739209599.0537863;-45.120503652039325
1739209599.05379;-38.13080360867914
1739209599.053794;-38.13080360867914
1739209599.0537977;-45.120503652039325
1739209599.0538015;-38.13080360867914
1739209599.0538056;-38.13080360867914
1739209599.0538094;-45.120503652039325
1739209599.0538132;-45.120503652039325
1739209599.053817;-33.981070128970906
1739209599.0538208;-33.981070128970906
1739209599.0538247;-28.992665084841942
1739209599.0538285;-35.57807855764607
1739209599.0538323;-38.13080360867914
1739209599.053836;-45.120503652039325
1739209599.05384;-38.13080360867914
1739209599.0538437;-35.57807855764607
1739209599.0538476;-33.981070128970906
1739209599.0538514;-38.13080360867914
1739209599.0538552;-28.218542851754165
1739209599.053859;-38.13080360867914
1739209599.0538628;-38.13080360867914
1739209599.0538669;-38.13080360867914
1739209599.0538707;-45.120503652039325
1739209599.0538745;-38.13080360867914
1739209599.0538783;-38.13080360867914
1739209599.0538821;-38.13080360867914
1739209599.053886;-30.49652367304973
1739209599.0538898;-45.120503652039325
1739209599.0538936;-38.13080360867914
1739209599.0538974;-35.57807855764607
1739209599.0539012;-33.981070128970906
1739209599.053905;-45.120503652039325
1739209599.0539088;-45.120503652039325
1739209599.0539126;-38.13080360867914
1739209599.0539165;-31.141103565318915
1739209599.0539203;-38.13080360867914
1739209599.0539243;-38.13080360867914
1739209599.0539281;-32.816014438256545
1739209599.053932;-45.120503652039325
1739209599.0539358;-45.120503652039325
1739209599.0539396;-45.120503652039325
1739209599.0539434;-45.120503652039325
1739209599.0539472;-38.13080360867914
1739209599.053951;-45.120503652039325
1739209599.0539548;-45.120503652039325
1739209599.0539587;-45.120503652039325
1739209599.0539625;-38.13080360867914
1739209599.0539663;-35.57807855764607
1739209599.05397;-38.13080360867914
