CAN Message; 0x1bb:00009e923f7313ad
Timestamp;Amplitude
1739209614.7724195;-38.13080360867914
1739209614.7724273;-35.57807855764607
1739209614.7724352;-45.120503652039325
1739209614.772443;-45.120503652039325
1739209614.7724512;-38.13080360867914
1739209614.772459;-45.120503652039325
1739209614.772467;-45.120503652039325
1739209614.7724748;-45.120503652039325
1739209614.7724826;-38.13080360867914
1739209614.7724905;-45.120503652039325
1739209614.7724984;-38.13080360867914
1739209614.7725062;-45.120503652039325
1739209614.772514;-45.120503652039325
1739209614.7725222;-45.120503652039325
1739209614.77253;-38.13080360867914
1739209614.772538;-45.120503652039325
1739209614.7725458;-38.13080360867914
1739209614.7725537;-45.120503652039325
1739209614.7725616;-45.120503652039325
1739209614.7725694;-38.13080360867914
1739209614.7725773;-45.120503652039325
1739209614.7725852;-38.13080360867914
1739209614.772593;-33.981070128970906
1739209614.7726011;-38.13080360867914
1739209614.772609;-38.13080360867914
1739209614.7726169;-45.120503652039325
1739209614.7726247;-38.13080360867914
1739209614.7726326;-35.57807855764607
1739209614.7726405;-38.13080360867914
1739209614.7726483;-45.120503652039325
1739209614.7726562;-38.13080360867914
1739209614.772664;-38.13080360867914
1739209614.7726722;-38.13080360867914
1739209614.77268;-45.120503652039325
1739209614.772688;-45.120503652039325
1739209614.7726958;-38.13080360867914
1739209614.7727036;-45.120503652039325
1739209614.7727115;-35.57807855764607
1739209614.7727194;-38.13080360867914
1739209614.7727273;-45.120503652039325
1739209614.772735;-38.13080360867914
1739209614.7727432;-32.816014438256545
1739209614.772751;-33.981070128970906
1739209614.772759;-45.120503652039325
1739209614.7727668;-38.13080360867914
1739209614.7727747;-45.120503652039325
1739209614.7727826;-45.120503652039325
1739209614.7727904;-45.120503652039325
1739209614.7727983;-45.120503652039325
1739209614.7728062;-45.120503652039325
1739209614.772814;-45.120503652039325
1739209614.7728221;-38.13080360867914
1739209614.77283;-38.13080360867914
1739209614.7728379;-45.120503652039325
1739209614.7728457;-45.120503652039325
1739209614.7728536;-45.120503652039325
1739209614.7728615;-38.13080360867914
1739209614.7728693;-35.57807855764607
1739209614.7728772;-38.13080360867914
1739209614.772885;-31.141103565318893
1739209614.7728932;-38.13080360867914
1739209614.772901;-32.816014438256545
1739209614.772909;-35.57807855764607
1739209614.7729168;-38.13080360867914
1739209614.7729247;-38.13080360867914
1739209614.7729325;-45.120503652039325
1739209614.7729404;-33.981070128970906
1739209614.7729483;-32.816014438256545
1739209614.7729561;-45.120503652039325
1739209614.7729642;-31.141103565318943
1739209614.772972;-45.120503652039325
1739209614.77298;-35.57807855764607
1739209614.7729878;-45.120503652039325
1739209614.7729957;-45.120503652039325
1739209614.7730036;-38.13080360867914
1739209614.7730114;-35.57807855764607
1739209614.7730193;-38.13080360867914
1739209614.7730272;-32.816014438256545
1739209614.773035;-35.57807855764607
1739209614.7730432;-38.13080360867914
1739209614.773051;-38.13080360867914
1739209614.773059;-35.57807855764607
1739209614.7730668;-45.120503652039325
1739209614.7730746;-38.13080360867914
1739209614.7730825;-38.13080360867914
1739209614.7730904;-33.981070128970906
1739209614.7730982;-35.57807855764607
1739209614.773106;-45.120503652039325
1739209614.7731142;-45.120503652039325
1739209614.773122;-38.13080360867914
1739209614.77313;-33.981070128970906
1739209614.7731378;-45.120503652039325
1739209614.7731457;-38.13080360867914
1739209614.7731535;-38.13080360867914
1739209614.7731614;-45.120503652039325
1739209614.7731693;-38.13080360867914
1739209614.7731771;-38.13080360867914
1739209614.7731853;-45.120503652039325
1739209614.7731931;-45.120503652039325
1739209614.773201;-32.816014438256545
1739209614.7732089;-45.120503652039325
1739209614.7732167;-28.992665084841942
1739209614.7732246;-30.49652367304973
1739209614.7732325;-38.13080360867914
1739209614.7732403;-38.13080360867914
1739209614.7732482;-45.120503652039325
1739209614.773256;-38.13080360867914
1739209614.7732642;-35.57807855764607
1739209614.773272;-38.13080360867914
1739209614.77328;-45.120503652039325
1739209614.7732878;-33.981070128970906
1739209614.7732956;-45.120503652039325
1739209614.7733035;-45.120503652039325
1739209614.7733114;-45.120503652039325
1739209614.7733192;-45.120503652039325
1739209614.773327;-45.120503652039325
1739209614.7733352;-45.120503652039325
1739209614.773343;-45.120503652039325
1739209614.773351;-45.120503652039325
1739209614.7733588;-45.120503652039325
1739209614.7733667;-38.13080360867914
1739209614.7733746;-38.13080360867914
1739209614.7733824;-45.120503652039325
1739209614.7733903;-45.120503652039325
1739209614.7733982;-38.13080360867914
1739209614.7734063;-31.141103565318915
1739209614.7734141;-31.141103565318915
1739209614.773422;-38.13080360867914
1739209614.7734299;-45.120503652039325
1739209614.7734377;-38.13080360867914
1739209614.7734456;-32.816014438256545
1739209614.7734535;-38.13080360867914
1739209614.7734613;-38.13080360867914
1739209614.7734692;-45.120503652039325
1739209614.7734773;-38.13080360867914
1739209614.7734852;-35.57807855764607
1739209614.773493;-38.13080360867914
1739209614.773501;-38.13080360867914
1739209614.7735088;-38.13080360867914
1739209614.7735167;-38.13080360867914
1739209614.7735245;-38.13080360867914
1739209614.7735324;-32.816014438256545
1739209614.7735403;-45.120503652039325
1739209614.7735481;-45.120503652039325
1739209614.7735562;-45.120503652039325
1739209614.773564;-45.120503652039325
1739209614.773572;-45.120503652039325
1739209614.7735798;-45.120503652039325
1739209614.7735877;-38.13080360867914
1739209614.7735956;-38.13080360867914
1739209614.7736034;-31.141103565318915
1739209614.7736113;-32.816014438256545
1739209614.7736192;-38.13080360867914
1739209614.7736273;-45.120503652039325
1739209614.7736351;-35.57807855764607
1739209614.773643;-38.13080360867914
1739209614.773651;-45.120503652039325
1739209614.7736588;-35.57807855764607
1739209614.7736666;-45.120503652039325
1739209614.7736745;-45.120503652039325
1739209614.7736824;-45.120503652039325
1739209614.7736902;-45.120503652039325
1739209614.7736983;-45.120503652039325
1739209614.7737062;-38.13080360867914
1739209614.773714;-35.57807855764607
1739209614.773722;-38.13080360867914
1739209614.7737298;-38.13080360867914
1739209614.7737377;-38.13080360867914
1739209614.7737455;-38.13080360867914
1739209614.7737534;-45.120503652039325
1739209614.7737613;-33.981070128970906
1739209614.7737691;-33.981070128970906
1739209614.7737772;-38.13080360867914
1739209614.773785;-45.120503652039325
1739209614.773793;-31.141103565318915
1739209614.7738008;-31.141103565318893
1739209614.7738087;-38.13080360867914
1739209614.7738166;-45.120503652039325
1739209614.7738245;-45.120503652039325
1739209614.7738323;-35.57807855764607
1739209614.7738402;-45.120503652039325
1739209614.7738483;-38.13080360867914
1739209614.7738562;-38.13080360867914
1739209614.773864;-38.13080360867914
1739209614.773872;-38.13080360867914
1739209614.7738798;-35.57807855764607
1739209614.7738876;-45.120503652039325
1739209614.7738955;-38.13080360867914
1739209614.7739034;-33.981070128970906
1739209614.7739112;-38.13080360867914
1739209614.7739193;-30.49652367304973
1739209614.7739272;-33.981070128970906
1739209614.773935;-38.13080360867914
1739209614.773943;-35.57807855764607
1739209614.7739508;-38.13080360867914
1739209614.7739587;-45.120503652039325
1739209614.7739666;-38.13080360867914
1739209614.7739744;-38.13080360867914
1739209614.7739823;-35.57807855764607
1739209614.7739902;-38.13080360867914
1739209614.7739983;-38.13080360867914
1739209614.7740061;-45.120503652039325
1739209614.774014;-45.120503652039325
1739209614.7740219;-38.13080360867914
1739209614.7740297;-45.120503652039325
1739209614.7740376;-35.57807855764607
1739209614.7740455;-45.120503652039325
1739209614.7740533;-38.13080360867914
1739209614.7740612;-33.981070128970906
1739209614.7740693;-45.120503652039325
1739209614.7740772;-45.120503652039325
1739209614.774085;-35.57807855764607
