CAN Message; 0x98:000042485d17e376
Timestamp;Amplitude
1739209597.6508987;-35.57807855764607
1739209597.6509042;-35.57807855764607
1739209597.65091;-45.120503652039325
1739209597.6509154;-45.120503652039325
1739209597.650921;-38.13080360867914
1739209597.6509266;-38.13080360867914
1739209597.6509323;-45.120503652039325
1739209597.650938;-38.13080360867914
1739209597.6509435;-45.120503652039325
1739209597.6509492;-38.13080360867914
1739209597.6509547;-38.13080360867914
1739209597.6509604;-45.120503652039325
1739209597.6509662;-38.13080360867914
1739209597.6509717;-38.13080360867914
1739209597.6509774;-45.120503652039325
1739209597.6509829;-38.13080360867914
1739209597.6509886;-45.120503652039325
1739209597.650994;-33.981070128970906
1739209597.6509998;-30.49652367304973
1739209597.6510055;-45.120503652039325
1739209597.651011;-45.120503652039325
1739209597.6510167;-33.981070128970906
1739209597.6510222;-33.981070128970906
1739209597.651028;-45.120503652039325
1739209597.6510334;-32.816014438256545
1739209597.6510391;-45.120503652039325
1739209597.6510448;-33.981070128970956
1739209597.6510503;-33.981070128970906
1739209597.651056;-45.120503652039325
1739209597.6510615;-45.120503652039325
1739209597.6510673;-45.120503652039325
1739209597.6510727;-38.13080360867914
1739209597.6510785;-45.120503652039325
1739209597.6510842;-33.981070128970906
1739209597.6510897;-30.49652367304973
1739209597.6510954;-38.13080360867914
1739209597.6511009;-45.120503652039325
1739209597.6511066;-38.13080360867914
1739209597.6511123;-33.981070128970906
1739209597.6511178;-45.120503652039325
1739209597.6511235;-38.13080360867914
1739209597.651129;-45.120503652039325
1739209597.6511347;-45.120503652039325
1739209597.6511402;-45.120503652039325
1739209597.651146;-35.57807855764607
1739209597.6511517;-38.13080360867914
1739209597.6511571;-45.120503652039325
1739209597.6511629;-45.120503652039325
1739209597.6511683;-38.13080360867914
1739209597.651174;-45.120503652039325
1739209597.6511796;-38.13080360867914
1739209597.6511853;-38.13080360867914
1739209597.651191;-38.13080360867914
1739209597.6511965;-45.120503652039325
1739209597.6512022;-45.120503652039325
1739209597.6512077;-35.57807855764607
1739209597.6512134;-45.120503652039325
1739209597.651219;-38.13080360867914
1739209597.6512246;-25.826314394896354
1739209597.6512303;-38.13080360867914
1739209597.6512358;-45.120503652039325
1739209597.6512415;-45.120503652039325
1739209597.651247;-35.57807855764607
1739209597.6512527;-45.120503652039325
1739209597.6512585;-45.120503652039325
1739209597.651264;-45.120503652039325
1739209597.6512697;-38.13080360867914
1739209597.6512752;-45.120503652039325
1739209597.6512809;-45.120503652039325
1739209597.6512864;-45.120503652039325
1739209597.651292;-45.120503652039325
1739209597.6512978;-45.120503652039325
1739209597.6513033;-45.120503652039325
1739209597.651309;-33.981070128970906
1739209597.6513145;-29.438486411369333
1739209597.6513202;-45.120503652039325
1739209597.6513257;-45.120503652039325
1739209597.6513314;-45.120503652039325
1739209597.6513371;-38.13080360867914
1739209597.6513426;-45.120503652039325
1739209597.6513484;-45.120503652039325
1739209597.6513538;-45.120503652039325
1739209597.6513596;-45.120503652039325
1739209597.651365;-45.120503652039325
1739209597.6513708;-45.120503652039325
1739209597.6513765;-45.120503652039325
1739209597.651382;-38.13080360867914
1739209597.6513877;-38.13080360867914
1739209597.6513932;-45.120503652039325
1739209597.651399;-38.13080360867914
1739209597.6514046;-38.13080360867914
1739209597.65141;-45.120503652039325
1739209597.6514158;-38.13080360867914
1739209597.6514213;-38.13080360867914
1739209597.651427;-45.120503652039325
1739209597.6514325;-45.120503652039325
1739209597.6514382;-45.120503652039325
1739209597.651444;-38.13080360867914
1739209597.6514494;-45.120503652039325
1739209597.6514552;-38.13080360867914
1739209597.6514606;-38.13080360867914
1739209597.6514664;-38.13080360867914
1739209597.6514719;-35.57807855764607
1739209597.6514776;-38.13080360867914
1739209597.6514833;-38.13080360867914
1739209597.6514888;-33.981070128970906
1739209597.6514945;-45.120503652039325
1739209597.6515;-45.120503652039325
1739209597.6515057;-38.13080360867914
1739209597.6515112;-45.120503652039325
1739209597.651517;-45.120503652039325
1739209597.6515226;-33.981070128970906
1739209597.6515281;-38.13080360867914
1739209597.6515338;-45.120503652039325
1739209597.6515393;-32.816014438256545
1739209597.651545;-31.141103565318915
1739209597.6515508;-45.120503652039325
1739209597.6515563;-38.13080360867914
1739209597.651562;-38.13080360867914
1739209597.6515675;-45.120503652039325
1739209597.6515732;-45.120503652039325
1739209597.6515787;-38.13080360867914
1739209597.6515844;-38.13080360867914
