CAN Message; 0x77:43213c10328c689e
Timestamp;Amplitude
1739209666.2046673;-38.13080360867914
1739209666.204675;-35.57807855764607
1739209666.2046826;-32.816014438256545
1739209666.20469;-45.120503652039325
1739209666.2046976;-45.120503652039325
1739209666.2047052;-38.13080360867914
1739209666.2047129;-35.57807855764607
1739209666.2047205;-38.13080360867914
1739209666.2047281;-45.120503652039325
1739209666.2047355;-45.120503652039325
1739209666.2047431;-45.120503652039325
1739209666.2047508;-45.120503652039325
1739209666.2047584;-45.120503652039325
1739209666.204766;-45.120503652039325
1739209666.2047737;-45.120503652039325
1739209666.204781;-38.13080360867914
1739209666.2047887;-38.13080360867914
1739209666.2047963;-45.120503652039325
1739209666.204804;-45.120503652039325
1739209666.2048116;-45.120503652039325
1739209666.2048192;-45.120503652039325
1739209666.2048268;-38.13080360867914
1739209666.2048342;-32.816014438256545
1739209666.2048419;-45.120503652039325
1739209666.2048495;-45.120503652039325
1739209666.204857;-45.120503652039325
1739209666.2048647;-28.21854285175415
1739209666.2048724;-35.57807855764607
1739209666.2048798;-35.57807855764607
1739209666.2048874;-35.57807855764607
1739209666.204895;-45.120503652039325
1739209666.2049026;-45.120503652039325
1739209666.2049103;-45.120503652039325
1739209666.204918;-38.13080360867914
1739209666.2049253;-32.81601443825658
1739209666.204933;-45.120503652039325
1739209666.2049406;-45.120503652039325
1739209666.2049482;-45.120503652039325
1739209666.2049558;-45.120503652039325
1739209666.2049634;-38.13080360867914
1739209666.204971;-45.120503652039325
1739209666.2049785;-38.13080360867914
1739209666.204986;-28.21854285175415
1739209666.2049937;-33.981070128970906
1739209666.2050014;-45.120503652039325
1739209666.205009;-38.13080360867914
1739209666.2050166;-32.816014438256545
1739209666.205024;-38.13080360867914
1739209666.2050316;-38.13080360867914
1739209666.2050393;-35.57807855764607
1739209666.205047;-45.120503652039325
1739209666.2050545;-45.120503652039325
1739209666.2050622;-38.13080360867914
1739209666.2050695;-45.120503652039325
1739209666.2050772;-45.120503652039325
1739209666.2050848;-38.13080360867914
1739209666.2050924;-45.120503652039325
1739209666.2051;-38.13080360867914
1739209666.2051077;-33.981070128970906
1739209666.2051153;-38.13080360867914
1739209666.2051227;-38.13080360867914
1739209666.2051303;-38.13080360867914
1739209666.205138;-38.13080360867914
1739209666.2051456;-45.120503652039325
1739209666.2051532;-35.57807855764607
1739209666.2051609;-45.120503652039325
1739209666.2051682;-28.58837851428586
1739209666.2051759;-28.58837851428586
1739209666.2051835;-45.120503652039325
1739209666.2051911;-38.13080360867914
1739209666.2051988;-32.816014438256545
1739209666.2052064;-38.13080360867914
1739209666.2052138;-45.120503652039325
1739209666.2052214;-38.13080360867914
1739209666.205229;-45.120503652039325
1739209666.2052367;-38.13080360867914
1739209666.2052443;-38.13080360867914
1739209666.205252;-45.120503652039325
1739209666.2052596;-45.120503652039325
1739209666.205267;-45.120503652039325
1739209666.2052746;-35.57807855764607
1739209666.2052822;-38.13080360867914
1739209666.2052898;-33.981070128970906
1739209666.2052975;-28.992665084841942
1739209666.205305;-45.120503652039325
1739209666.2053125;-45.120503652039325
1739209666.2053201;-38.13080360867914
1739209666.2053277;-45.120503652039325
1739209666.2053354;-45.120503652039325
1739209666.205343;-38.13080360867914
1739209666.2053506;-38.13080360867914
1739209666.205358;-45.120503652039325
1739209666.2053657;-45.120503652039325
1739209666.2053733;-45.120503652039325
1739209666.205381;-45.120503652039325
1739209666.2053885;-38.13080360867914
1739209666.2053962;-45.120503652039325
1739209666.2054036;-38.13080360867914
1739209666.2054112;-38.13080360867914
1739209666.2054188;-45.120503652039325
1739209666.2054265;-45.120503652039325
1739209666.205434;-38.13080360867914
1739209666.2054417;-38.13080360867914
1739209666.2054493;-45.120503652039325
1739209666.2054567;-45.120503652039325
1739209666.2054644;-45.120503652039325
1739209666.205472;-38.13080360867914
1739209666.2054796;-33.981070128970906
1739209666.2054873;-45.120503652039325
1739209666.2054949;-45.120503652039325
1739209666.2055023;-38.13080360867914
1739209666.20551;-35.57807855764607
1739209666.2055175;-38.13080360867914
1739209666.2055252;-45.120503652039325
1739209666.2055328;-38.13080360867914
1739209666.2055404;-38.13080360867914
1739209666.2055478;-45.120503652039325
1739209666.2055554;-45.120503652039325
1739209666.205563;-38.13080360867914
1739209666.2055707;-45.120503652039325
1739209666.2055783;-38.13080360867914
1739209666.205586;-38.13080360867914
1739209666.2055936;-38.13080360867914
1739209666.205601;-38.13080360867914
1739209666.2056086;-45.120503652039325
1739209666.2056162;-45.120503652039325
1739209666.2056239;-45.120503652039325
1739209666.2056315;-35.57807855764607
1739209666.2056391;-38.13080360867914
1739209666.2056465;-45.120503652039325
1739209666.2056541;-38.13080360867914
1739209666.2056618;-45.120503652039325
1739209666.2056694;-45.120503652039325
1739209666.205677;-45.120503652039325
1739209666.2056847;-45.120503652039325
1739209666.205692;-45.120503652039325
1739209666.2056997;-45.120503652039325
1739209666.2057073;-38.13080360867914
1739209666.205715;-38.13080360867914
1739209666.2057226;-38.13080360867914
1739209666.2057302;-38.13080360867914
1739209666.2057378;-45.120503652039325
1739209666.2057452;-45.120503652039325
1739209666.2057528;-38.13080360867914
1739209666.2057605;-38.13080360867914
1739209666.205768;-38.13080360867914
1739209666.2057757;-45.120503652039325
1739209666.2057834;-38.13080360867914
1739209666.2057908;-35.57807855764607
1739209666.2057984;-45.120503652039325
1739209666.205806;-45.120503652039325
1739209666.2058136;-38.13080360867914
1739209666.2058213;-32.816014438256545
1739209666.205829;-45.120503652039325
1739209666.2058363;-45.120503652039325
1739209666.205844;-38.13080360867914
1739209666.2058516;-45.120503652039325
1739209666.2058592;-45.120503652039325
1739209666.2058668;-45.120503652039325
1739209666.2058744;-38.13080360867914
1739209666.205882;-33.981070128970906
1739209666.2058895;-38.13080360867914
1739209666.205897;-45.120503652039325
1739209666.2059047;-38.13080360867914
1739209666.2059124;-32.816014438256545
1739209666.20592;-35.57807855764607
1739209666.2059276;-38.13080360867914
1739209666.205935;-38.13080360867914
1739209666.2059426;-35.57807855764607
1739209666.2059503;-45.120503652039325
1739209666.205958;-38.13080360867914
1739209666.2059655;-38.13080360867914
1739209666.2059731;-45.120503652039325
1739209666.2059805;-33.981070128970906
1739209666.2059882;-45.120503652039325
1739209666.2059958;-38.13080360867914
1739209666.2060034;-45.120503652039325
1739209666.206011;-38.13080360867914
