CAN Message; 0x1b8:030029e1caa79eb2
Timestamp;Amplitude
1739209730.1919813;-33.981070128970906
1739209730.1919878;-33.981070128970906
1739209730.1919942;-45.120503652039325
1739209730.1920006;-38.13080360867914
1739209730.192007;-45.120503652039325
1739209730.1920135;-45.120503652039325
1739209730.1920197;-45.120503652039325
1739209730.1920261;-38.13080360867914
1739209730.1920326;-45.120503652039325
1739209730.192039;-45.120503652039325
1739209730.1920455;-45.120503652039325
1739209730.192052;-45.120503652039325
1739209730.1920583;-38.13080360867914
1739209730.1920648;-38.13080360867914
1739209730.1920712;-45.120503652039325
1739209730.1920776;-38.13080360867914
1739209730.192084;-33.981070128970906
1739209730.1920905;-38.13080360867914
1739209730.1920967;-45.120503652039325
1739209730.1921031;-38.13080360867914
1739209730.1921096;-33.981070128970906
1739209730.192116;-45.120503652039325
1739209730.1921225;-45.120503652039325
1739209730.192129;-45.120503652039325
1739209730.1921353;-38.13080360867914
1739209730.1921418;-38.13080360867914
1739209730.1921482;-45.120503652039325
1739209730.1921546;-38.13080360867914
1739209730.192161;-38.13080360867914
1739209730.1921675;-38.13080360867914
1739209730.1921737;-45.120503652039325
1739209730.1921802;-38.13080360867914
1739209730.1921866;-38.13080360867914
1739209730.192193;-45.120503652039325
1739209730.1921995;-45.120503652039325
1739209730.192206;-38.13080360867914
1739209730.1922123;-45.120503652039325
1739209730.1922188;-45.120503652039325
1739209730.1922252;-45.120503652039325
1739209730.1922317;-33.981070128970906
1739209730.192238;-31.141103565318915
1739209730.1922445;-38.13080360867914
1739209730.1922507;-45.120503652039325
1739209730.1922572;-38.13080360867914
1739209730.1922636;-45.120503652039325
1739209730.19227;-45.120503652039325
1739209730.1922765;-38.13080360867914
1739209730.192283;-45.120503652039325
1739209730.1922894;-33.981070128970906
1739209730.1922958;-38.13080360867914
1739209730.1923022;-45.120503652039325
1739209730.1923087;-38.13080360867914
1739209730.192315;-45.120503652039325
1739209730.1923215;-38.13080360867914
1739209730.1923277;-45.120503652039325
1739209730.1923342;-31.141103565318915
1739209730.1923406;-27.267205301931607
1739209730.192347;-45.120503652039325
1739209730.1923535;-45.120503652039325
1739209730.19236;-38.13080360867914
1739209730.1923664;-38.13080360867914
1739209730.1923728;-45.120503652039325
1739209730.1923792;-45.120503652039325
