CAN Message; 0x1a7:000019f315632641
Timestamp;Amplitude
1739209676.3178146;-45.120503652039325
1739209676.317823;-45.120503652039325
1739209676.317831;-45.120503652039325
1739209676.3178394;-26.991370085610722
1739209676.3178477;-38.13080360867914
1739209676.317856;-45.120503652039325
1739209676.3178644;-38.13080360867914
1739209676.3178728;-35.57807855764607
1739209676.3178809;-38.13080360867914
1739209676.3178892;-45.120503652039325
1739209676.3178976;-45.120503652039325
1739209676.317906;-38.13080360867914
1739209676.3179142;-45.120503652039325
1739209676.3179226;-45.120503652039325
1739209676.3179307;-45.120503652039325
1739209676.317939;-45.120503652039325
1739209676.3179474;-38.13080360867914
1739209676.3179557;-45.120503652039325
1739209676.317964;-33.981070128970906
1739209676.3179722;-27.8777449560314
1739209676.3179805;-32.816014438256545
1739209676.3179889;-38.13080360867914
1739209676.3179972;-45.120503652039325
1739209676.3180056;-32.816014438256545
1739209676.318014;-38.13080360867914
1739209676.318022;-45.120503652039325
1739209676.3180304;-38.13080360867914
1739209676.3180387;-38.13080360867914
1739209676.318047;-45.120503652039325
1739209676.3180554;-45.120503652039325
1739209676.3180637;-33.981070128970906
1739209676.3180718;-45.120503652039325
1739209676.3180802;-45.120503652039325
1739209676.3180885;-45.120503652039325
1739209676.3180969;-45.120503652039325
1739209676.3181052;-33.981070128970906
1739209676.3181133;-33.981070128970906
1739209676.3181217;-35.57807855764607
1739209676.31813;-33.981070128970906
1739209676.3181384;-32.816014438256545
1739209676.3181467;-45.120503652039325
1739209676.318155;-45.120503652039325
1739209676.3181632;-38.13080360867914
1739209676.3181715;-45.120503652039325
1739209676.3181798;-33.981070128970906
1739209676.3181882;-38.13080360867914
1739209676.3181965;-45.120503652039325
1739209676.3182049;-38.13080360867914
1739209676.318213;-38.13080360867914
1739209676.3182213;-38.13080360867914
1739209676.3182297;-45.120503652039325
1739209676.318238;-45.120503652039325
1739209676.3182464;-38.13080360867914
1739209676.3182547;-45.120503652039325
1739209676.3182628;-45.120503652039325
1739209676.3182712;-38.13080360867914
1739209676.3182795;-45.120503652039325
1739209676.3182878;-45.120503652039325
1739209676.3182962;-38.13080360867914
1739209676.3183043;-45.120503652039325
1739209676.3183126;-35.57807855764607
1739209676.318321;-38.13080360867914
1739209676.3183293;-45.120503652039325
1739209676.3183377;-33.981070128970906
1739209676.318346;-38.13080360867914
1739209676.3183541;-45.120503652039325
1739209676.3183625;-38.13080360867914
1739209676.3183708;-38.13080360867914
1739209676.3183792;-38.13080360867914
1739209676.3183875;-45.120503652039325
