CAN Message; 0x24:0800412a5289a320
Timestamp;Amplitude
1739209764.1175582;-38.13080360867914
1739209764.1175613;-45.120503652039325
1739209764.1175644;-45.120503652039325
1739209764.1175675;-35.57807855764607
1739209764.1175709;-38.13080360867914
1739209764.117574;-45.120503652039325
1739209764.117577;-45.120503652039325
1739209764.1175802;-35.57807855764607
1739209764.1175833;-45.120503652039325
1739209764.1175864;-45.120503652039325
1739209764.1175895;-38.13080360867914
1739209764.1175926;-38.13080360867914
1739209764.117596;-35.57807855764607
1739209764.117599;-38.13080360867914
1739209764.117602;-45.120503652039325
1739209764.1176052;-33.981070128970906
1739209764.1176083;-45.120503652039325
1739209764.1176114;-45.120503652039325
1739209764.1176145;-38.13080360867914
1739209764.1176176;-38.13080360867914
1739209764.117621;-38.13080360867914
1739209764.117624;-45.120503652039325
1739209764.1176271;-38.13080360867914
1739209764.1176302;-38.13080360867914
1739209764.1176333;-45.120503652039325
1739209764.1176364;-45.120503652039325
1739209764.1176395;-45.120503652039325
1739209764.1176426;-38.13080360867914
1739209764.117646;-38.13080360867914
1739209764.117649;-45.120503652039325
1739209764.1176522;-45.120503652039325
1739209764.1176553;-45.120503652039325
1739209764.1176584;-38.13080360867914
1739209764.1176615;-38.13080360867914
1739209764.1176646;-33.981070128970906
1739209764.1176677;-33.981070128970906
1739209764.1176708;-45.120503652039325
1739209764.117674;-45.120503652039325
1739209764.1176772;-45.120503652039325
1739209764.1176803;-38.13080360867914
1739209764.1176834;-45.120503652039325
1739209764.1176865;-35.57807855764607
1739209764.1176896;-38.13080360867914
1739209764.1176927;-38.13080360867914
1739209764.1176958;-45.120503652039325
1739209764.1176991;-38.13080360867914
1739209764.1177022;-38.13080360867914
1739209764.1177053;-45.120503652039325
1739209764.1177084;-45.120503652039325
1739209764.1177115;-33.981070128970906
1739209764.1177146;-38.13080360867914
1739209764.1177177;-45.120503652039325
1739209764.1177208;-33.981070128970906
1739209764.1177242;-45.120503652039325
1739209764.1177273;-45.120503652039325
1739209764.1177304;-45.120503652039325
1739209764.1177335;-45.120503652039325
1739209764.1177366;-38.13080360867914
1739209764.1177397;-31.141103565318915
1739209764.1177428;-33.981070128970906
1739209764.1177459;-45.120503652039325
1739209764.1177492;-32.816014438256545
1739209764.1177523;-38.13080360867914
1739209764.1177554;-45.120503652039325
1739209764.1177585;-45.120503652039325
1739209764.1177616;-35.57807855764607
1739209764.1177647;-38.13080360867914
1739209764.1177678;-38.13080360867914
1739209764.117771;-38.13080360867914
1739209764.117774;-45.120503652039325
1739209764.1177773;-45.120503652039325
1739209764.1177804;-45.120503652039325
1739209764.1177835;-45.120503652039325
1739209764.1177866;-45.120503652039325
1739209764.1177897;-38.13080360867914
1739209764.1177928;-32.816014438256545
1739209764.117796;-38.13080360867914
1739209764.117799;-45.120503652039325
1739209764.1178024;-38.13080360867914
1739209764.1178055;-35.57807855764607
1739209764.1178086;-38.13080360867914
1739209764.1178117;-45.120503652039325
1739209764.1178148;-38.13080360867914
1739209764.1178179;-30.49652367304973
1739209764.117821;-38.13080360867914
1739209764.117824;-45.120503652039325
