CAN Message; 0x150:0400e118ae2d0e3b
Timestamp;Amplitude
1739209889.6541731;-33.981070128970906
1739209889.6541748;-35.57807855764607
1739209889.6541767;-35.57807855764607
1739209889.6541784;-45.120503652039325
1739209889.65418;-38.13080360867914
1739209889.6541817;-38.13080360867914
1739209889.6541836;-38.13080360867914
1739209889.6541853;-45.120503652039325
1739209889.654187;-31.14110356531892
1739209889.6541886;-31.141103565318915
1739209889.6541905;-33.981070128970906
1739209889.6541922;-45.120503652039325
1739209889.6541939;-33.981070128970906
1739209889.6541955;-45.120503652039325
1739209889.6541975;-45.120503652039325
1739209889.6541991;-38.13080360867914
1739209889.6542008;-28.992665084841942
1739209889.6542025;-38.13080360867914
1739209889.6542044;-38.13080360867914
1739209889.654206;-38.13080360867914
1739209889.6542077;-38.13080360867914
1739209889.6542094;-35.57807855764607
1739209889.6542113;-45.120503652039325
1739209889.654213;-45.120503652039325
1739209889.6542146;-29.438486411369347
1739209889.6542163;-38.13080360867914
1739209889.6542182;-45.120503652039325
1739209889.6542199;-45.120503652039325
1739209889.6542215;-38.13080360867914
1739209889.6542232;-38.13080360867914
1739209889.654225;-38.13080360867914
1739209889.6542268;-45.120503652039325
1739209889.6542284;-38.13080360867914
1739209889.65423;-45.120503652039325
1739209889.654232;-38.13080360867914
1739209889.6542337;-38.13080360867914
1739209889.6542354;-45.120503652039325
1739209889.654237;-35.57807855764607
1739209889.6542387;-38.13080360867914
1739209889.6542406;-45.120503652039325
1739209889.6542423;-38.13080360867914
1739209889.654244;-45.120503652039325
1739209889.6542456;-45.120503652039325
1739209889.6542475;-38.13080360867914
1739209889.6542492;-38.13080360867914
1739209889.6542509;-38.13080360867914
1739209889.6542525;-45.120503652039325
1739209889.6542544;-45.120503652039325
1739209889.654256;-28.992665084841942
1739209889.6542578;-38.13080360867914
1739209889.6542594;-45.120503652039325
1739209889.6542614;-45.120503652039325
1739209889.654263;-38.13080360867914
1739209889.6542647;-45.120503652039325
1739209889.6542664;-45.120503652039325
1739209889.6542683;-32.816014438256545
1739209889.65427;-32.816014438256545
1739209889.6542716;-38.13080360867914
1739209889.6542733;-38.13080360867914
1739209889.6542752;-38.13080360867914
1739209889.6542768;-38.13080360867914
1739209889.6542785;-45.120503652039325
1739209889.6542802;-38.13080360867914
1739209889.654282;-35.57807855764607
1739209889.6542838;-31.141103565318915
1739209889.6542854;-33.981070128970906
1739209889.654287;-45.120503652039325
1739209889.654289;-35.57807855764607
1739209889.6542907;-38.13080360867914
1739209889.6542923;-45.120503652039325
1739209889.654294;-45.120503652039325
1739209889.654296;-35.57807855764607
1739209889.6542976;-38.13080360867914
1739209889.6542993;-45.120503652039325
1739209889.654301;-33.981070128970906
1739209889.6543026;-45.120503652039325
1739209889.6543045;-38.13080360867914
1739209889.6543062;-45.120503652039325
1739209889.6543078;-38.13080360867914
1739209889.6543095;-38.13080360867914
1739209889.6543114;-45.120503652039325
1739209889.654313;-45.120503652039325
1739209889.6543148;-33.981070128970906
1739209889.6543164;-30.49652367304973
1739209889.6543183;-38.13080360867914
1739209889.65432;-45.120503652039325
1739209889.6543217;-33.981070128970906
1739209889.6543233;-35.57807855764607
1739209889.6543252;-35.57807855764607
1739209889.654327;-45.120503652039325
1739209889.6543286;-45.120503652039325
1739209889.6543303;-35.57807855764607
1739209889.6543322;-35.57807855764607
1739209889.6543338;-45.120503652039325
1739209889.6543355;-38.13080360867914
1739209889.6543372;-33.981070128970906
1739209889.654339;-45.120503652039325
1739209889.6543407;-45.120503652039325
1739209889.6543424;-38.13080360867914
1739209889.654344;-35.57807855764607
1739209889.654346;-38.13080360867914
1739209889.6543477;-32.816014438256545
1739209889.6543493;-33.981070128970906
1739209889.654351;-45.120503652039325
1739209889.654353;-35.57807855764607
1739209889.6543546;-38.13080360867914
1739209889.6543562;-45.120503652039325
1739209889.654358;-38.13080360867914
1739209889.6543598;-38.13080360867914
1739209889.6543615;-45.120503652039325
1739209889.6543632;-38.13080360867914
1739209889.6543648;-35.57807855764607
1739209889.6543665;-38.13080360867914
1739209889.6543684;-45.120503652039325
1739209889.65437;-38.13080360867914
1739209889.6543717;-38.13080360867914
1739209889.6543734;-38.13080360867914
1739209889.6543753;-38.13080360867914
1739209889.654377;-38.13080360867914
1739209889.6543787;-38.13080360867914
1739209889.6543803;-45.120503652039325
1739209889.6543822;-45.120503652039325
1739209889.654384;-38.13080360867914
1739209889.6543856;-38.13080360867914
1739209889.6543872;-38.13080360867914
1739209889.6543891;-45.120503652039325
1739209889.6543908;-45.120503652039325
1739209889.6543925;-45.120503652039325
1739209889.6543941;-38.13080360867914
1739209889.654396;-45.120503652039325
1739209889.6543977;-45.120503652039325
1739209889.6543994;-45.120503652039325
1739209889.654401;-38.13080360867914
1739209889.654403;-38.13080360867914
1739209889.6544046;-45.120503652039325
1739209889.6544063;-35.57807855764607
1739209889.654408;-38.13080360867914
1739209889.65441;-33.981070128970906
1739209889.6544116;-35.57807855764607
1739209889.6544132;-38.13080360867914
1739209889.654415;-38.13080360867914
1739209889.6544168;-45.120503652039325
1739209889.6544185;-38.13080360867914
1739209889.6544201;-45.120503652039325
1739209889.6544218;-33.981070128970906
1739209889.6544237;-45.120503652039325
1739209889.6544254;-45.120503652039325
1739209889.654427;-38.13080360867914
1739209889.6544287;-38.13080360867914
1739209889.6544304;-45.120503652039325
1739209889.6544323;-38.13080360867914
1739209889.654434;-35.57807855764607
1739209889.6544356;-38.13080360867914
1739209889.6544373;-45.120503652039325
1739209889.6544392;-38.13080360867914
1739209889.6544409;-35.57807855764607
1739209889.6544425;-38.13080360867914
1739209889.6544442;-38.13080360867914
1739209889.6544461;-38.13080360867914
1739209889.6544478;-38.13080360867914
1739209889.6544495;-38.13080360867914
1739209889.6544511;-38.13080360867914
1739209889.654453;-33.981070128970906
1739209889.6544547;-38.13080360867914
1739209889.6544564;-45.120503652039325
1739209889.654458;-45.120503652039325
1739209889.65446;-38.13080360867914
1739209889.6544616;-38.13080360867914
1739209889.6544633;-38.13080360867914
1739209889.654465;-45.120503652039325
1739209889.6544669;-38.13080360867914
1739209889.6544685;-38.13080360867914
1739209889.6544702;-38.13080360867914
1739209889.6544719;-45.120503652039325
1739209889.6544738;-45.120503652039325
1739209889.6544755;-45.120503652039325
1739209889.6544771;-45.120503652039325
1739209889.6544788;-30.49652367304973
1739209889.6544807;-27.267205301931607
1739209889.6544824;-45.120503652039325
1739209889.654484;-45.120503652039325
1739209889.6544857;-33.981070128970906
1739209889.6544874;-38.13080360867914
1739209889.6544893;-45.120503652039325
1739209889.654491;-45.120503652039325
1739209889.6544926;-45.120503652039325
1739209889.6544943;-38.13080360867914
1739209889.6544962;-45.120503652039325
1739209889.6544979;-38.13080360867914
1739209889.6544995;-45.120503652039325
1739209889.6545012;-45.120503652039325
1739209889.654503;-45.120503652039325
1739209889.6545048;-38.13080360867914
1739209889.6545064;-38.13080360867914
1739209889.654508;-45.120503652039325
1739209889.65451;-38.13080360867914
1739209889.6545117;-45.120503652039325
1739209889.6545134;-35.57807855764607
1739209889.654515;-45.120503652039325
1739209889.654517;-45.120503652039325
1739209889.6545186;-38.13080360867914
1739209889.6545203;-38.13080360867914
1739209889.654522;-28.992665084841942
1739209889.6545238;-38.13080360867914
1739209889.6545255;-38.13080360867914
1739209889.6545272;-38.13080360867914
1739209889.6545289;-38.13080360867914
1739209889.6545308;-45.120503652039325
1739209889.6545324;-45.120503652039325
1739209889.654534;-38.13080360867914
1739209889.6545358;-30.49652367304973
1739209889.6545377;-45.120503652039325
1739209889.6545393;-38.13080360867914
1739209889.654541;-35.57807855764607
1739209889.6545427;-45.120503652039325
1739209889.6545446;-45.120503652039325
1739209889.6545463;-45.120503652039325
1739209889.654548;-45.120503652039325
1739209889.6545496;-28.58837851428586
1739209889.6545513;-45.120503652039325
1739209889.6545532;-38.13080360867914
1739209889.6545548;-45.120503652039325
1739209889.6545565;-38.13080360867914
1739209889.6545582;-45.120503652039325
1739209889.65456;-45.120503652039325
1739209889.6545618;-45.120503652039325
1739209889.6545634;-31.141103565318915
1739209889.654565;-38.13080360867914
1739209889.654567;-45.120503652039325
1739209889.6545687;-35.57807855764607
1739209889.6545703;-45.120503652039325
1739209889.654572;-45.120503652039325
1739209889.654574;-45.120503652039325
1739209889.6545756;-38.13080360867914
1739209889.6545773;-38.13080360867914
1739209889.654579;-45.120503652039325
1739209889.6545808;-38.13080360867914
1739209889.6545825;-45.120503652039325
1739209889.6545842;-38.13080360867914
1739209889.6545858;-45.120503652039325
1739209889.6545877;-45.120503652039325
1739209889.6545894;-38.13080360867914
1739209889.654591;-38.13080360867914
1739209889.6545928;-45.120503652039325
1739209889.6545947;-38.13080360867914
1739209889.6545963;-38.13080360867914
1739209889.654598;-33.981070128970906
1739209889.6545997;-38.13080360867914
1739209889.6546016;-38.13080360867914
1739209889.6546032;-45.120503652039325
1739209889.654605;-38.13080360867914
1739209889.6546066;-38.13080360867914
1739209889.6546085;-38.13080360867914
1739209889.6546102;-45.120503652039325
1739209889.6546118;-38.13080360867914
1739209889.6546135;-45.120503652039325
1739209889.6546152;-45.120503652039325
1739209889.654617;-38.13080360867914
1739209889.6546187;-33.981070128970906
1739209889.6546204;-38.13080360867914
1739209889.654622;-38.13080360867914
1739209889.654624;-35.57807855764607
