CAN Message; 0x1b8:0200422f54ea02f0
Timestamp;Amplitude
1739209620.9031196;-45.120503652039325
1739209620.903125;-38.13080360867914
1739209620.9031308;-38.13080360867914
1739209620.9031365;-45.120503652039325
1739209620.903142;-45.120503652039325
1739209620.9031477;-38.13080360867914
1739209620.9031534;-38.13080360867914
1739209620.9031591;-38.13080360867914
1739209620.9031646;-35.57807855764607
1739209620.9031703;-38.13080360867914
1739209620.903176;-38.13080360867914
1739209620.9031816;-38.13080360867914
1739209620.9031873;-38.13080360867914
1739209620.903193;-38.13080360867914
1739209620.9031985;-38.13080360867914
1739209620.9032042;-45.120503652039325
1739209620.90321;-45.120503652039325
1739209620.9032156;-35.57807855764607
1739209620.9032211;-38.13080360867914
1739209620.9032269;-45.120503652039325
1739209620.9032326;-45.120503652039325
1739209620.903238;-45.120503652039325
1739209620.9032438;-45.120503652039325
1739209620.9032495;-38.13080360867914
1739209620.903255;-38.13080360867914
1739209620.9032607;-38.13080360867914
1739209620.9032664;-45.120503652039325
1739209620.903272;-32.816014438256545
1739209620.9032776;-35.57807855764607
1739209620.9032834;-45.120503652039325
1739209620.903289;-45.120503652039325
1739209620.9032946;-45.120503652039325
1739209620.9033003;-38.13080360867914
1739209620.903306;-38.13080360867914
1739209620.9033115;-45.120503652039325
1739209620.9033172;-45.120503652039325
1739209620.903323;-45.120503652039325
1739209620.9033284;-45.120503652039325
1739209620.9033341;-38.13080360867914
1739209620.9033399;-45.120503652039325
1739209620.9033456;-45.120503652039325
1739209620.903351;-45.120503652039325
1739209620.9033568;-38.13080360867914
1739209620.9033625;-35.57807855764607
1739209620.903368;-38.13080360867914
1739209620.9033737;-45.120503652039325
1739209620.9033794;-33.981070128970906
1739209620.903385;-38.13080360867914
1739209620.9033906;-31.141103565318915
1739209620.9033964;-45.120503652039325
1739209620.9034019;-45.120503652039325
1739209620.9034076;-38.13080360867914
1739209620.9034133;-45.120503652039325
1739209620.903419;-45.120503652039325
1739209620.9034245;-45.120503652039325
1739209620.9034302;-45.120503652039325
1739209620.903436;-33.981070128970906
1739209620.9034414;-45.120503652039325
1739209620.9034472;-38.13080360867914
1739209620.9034529;-32.816014438256545
1739209620.9034584;-33.981070128970906
1739209620.903464;-38.13080360867914
1739209620.9034698;-45.120503652039325
1739209620.9034753;-38.13080360867914
1739209620.903481;-28.992665084841942
1739209620.9034867;-38.13080360867914
1739209620.9034925;-38.13080360867914
1739209620.903498;-45.120503652039325
1739209620.9035037;-38.13080360867914
1739209620.9035094;-38.13080360867914
1739209620.9035149;-45.120503652039325
1739209620.9035206;-45.120503652039325
1739209620.9035263;-29.438486411369347
1739209620.9035318;-38.13080360867914
1739209620.9035375;-38.13080360867914
1739209620.9035432;-45.120503652039325
1739209620.903549;-45.120503652039325
1739209620.9035544;-35.57807855764607
1739209620.9035602;-38.13080360867914
1739209620.903566;-45.120503652039325
1739209620.9035714;-31.141103565318915
1739209620.903577;-35.57807855764607
1739209620.9035828;-35.57807855764607
1739209620.9035883;-45.120503652039325
1739209620.903594;-45.120503652039325
1739209620.9035997;-38.13080360867914
1739209620.9036052;-38.13080360867914
1739209620.903611;-45.120503652039325
1739209620.9036167;-33.981070128970906
1739209620.9036224;-38.13080360867914
1739209620.9036279;-45.120503652039325
1739209620.9036336;-45.120503652039325
1739209620.9036393;-38.13080360867914
1739209620.9036448;-38.13080360867914
1739209620.9036505;-45.120503652039325
1739209620.9036562;-45.120503652039325
1739209620.9036617;-38.13080360867914
1739209620.9036674;-38.13080360867914
1739209620.9036732;-45.120503652039325
1739209620.903679;-45.120503652039325
1739209620.9036844;-45.120503652039325
1739209620.90369;-35.57807855764607
1739209620.9036958;-35.57807855764607
1739209620.9037013;-45.120503652039325
1739209620.903707;-38.13080360867914
1739209620.9037127;-35.57807855764607
1739209620.9037182;-38.13080360867914
1739209620.903724;-45.120503652039325
1739209620.9037297;-38.13080360867914
1739209620.9037352;-38.13080360867914
1739209620.903741;-45.120503652039325
1739209620.9037466;-45.120503652039325
1739209620.9037523;-38.13080360867914
1739209620.9037578;-38.13080360867914
1739209620.9037635;-45.120503652039325
1739209620.9037693;-45.120503652039325
1739209620.9037747;-38.13080360867914
1739209620.9037805;-45.120503652039325
1739209620.9037862;-45.120503652039325
1739209620.9037917;-45.120503652039325
1739209620.9037974;-38.13080360867914
1739209620.903803;-38.13080360867914
1739209620.9038088;-38.13080360867914
1739209620.9038143;-38.13080360867914
1739209620.90382;-45.120503652039325
1739209620.9038258;-35.57807855764607
1739209620.9038312;-38.13080360867914
1739209620.903837;-45.120503652039325
1739209620.9038427;-31.141103565318915
1739209620.9038482;-28.992665084841942
1739209620.903854;-45.120503652039325
1739209620.9038596;-45.120503652039325
1739209620.903865;-38.13080360867914
1739209620.9038708;-38.13080360867914
1739209620.9038765;-45.120503652039325
1739209620.9038823;-33.981070128970906
1739209620.9038877;-45.120503652039325
1739209620.9038935;-38.13080360867914
1739209620.9038992;-38.13080360867914
1739209620.9039047;-45.120503652039325
1739209620.9039104;-45.120503652039325
1739209620.9039161;-45.120503652039325
1739209620.9039216;-45.120503652039325
1739209620.9039273;-38.13080360867914
1739209620.903933;-35.57807855764607
1739209620.9039388;-31.141103565318915
1739209620.9039443;-45.120503652039325
1739209620.90395;-45.120503652039325
1739209620.9039557;-45.120503652039325
1739209620.9039612;-45.120503652039325
1739209620.903967;-38.13080360867914
1739209620.9039726;-38.13080360867914
1739209620.903978;-45.120503652039325
1739209620.9039838;-45.120503652039325
1739209620.9039896;-38.13080360867914
1739209620.903995;-38.13080360867914
1739209620.9040008;-45.120503652039325
1739209620.9040065;-38.13080360867914
1739209620.9040122;-38.13080360867914
1739209620.9040177;-38.13080360867914
1739209620.9040234;-38.13080360867914
1739209620.9040291;-35.57807855764607
1739209620.9040346;-38.13080360867914
1739209620.9040403;-38.13080360867914
1739209620.904046;-38.13080360867914
1739209620.9040515;-45.120503652039325
1739209620.9040573;-35.57807855764607
1739209620.904063;-38.13080360867914
1739209620.9040687;-45.120503652039325
1739209620.9040742;-38.13080360867914
1739209620.90408;-45.120503652039325
1739209620.9040856;-45.120503652039325
1739209620.9040911;-45.120503652039325
1739209620.9040968;-45.120503652039325
1739209620.9041026;-38.13080360867914
1739209620.904108;-45.120503652039325
1739209620.9041138;-33.981070128970906
1739209620.9041195;-45.120503652039325
1739209620.904125;-38.13080360867914
1739209620.9041307;-45.120503652039325
1739209620.9041364;-38.13080360867914
1739209620.9041421;-45.120503652039325
1739209620.9041476;-38.13080360867914
1739209620.9041533;-38.13080360867914
1739209620.904159;-45.120503652039325
1739209620.9041646;-35.57807855764607
1739209620.9041703;-45.120503652039325
1739209620.904176;-45.120503652039325
1739209620.9041815;-38.13080360867914
1739209620.9041872;-30.49652367304973
1739209620.904193;-45.120503652039325
1739209620.9041986;-45.120503652039325
1739209620.9042041;-45.120503652039325
1739209620.9042099;-45.120503652039325
1739209620.9042156;-33.981070128970906
1739209620.904221;-45.120503652039325
1739209620.9042268;-38.13080360867914
1739209620.9042325;-38.13080360867914
1739209620.904238;-33.981070128970906
1739209620.9042437;-45.120503652039325
1739209620.9042494;-38.13080360867914
1739209620.904255;-32.816014438256545
1739209620.9042606;-38.13080360867914
1739209620.9042664;-45.120503652039325
1739209620.904272;-45.120503652039325
1739209620.9042776;-33.981070128970906
1739209620.9042833;-45.120503652039325
1739209620.904289;-45.120503652039325
1739209620.9042945;-38.13080360867914
1739209620.9043002;-45.120503652039325
1739209620.904306;-38.13080360867914
1739209620.9043114;-45.120503652039325
1739209620.9043171;-45.120503652039325
1739209620.9043229;-35.57807855764607
1739209620.9043283;-38.13080360867914
1739209620.904334;-38.13080360867914
1739209620.9043398;-38.13080360867914
1739209620.9043455;-35.57807855764607
1739209620.904351;-38.13080360867914
1739209620.9043567;-38.13080360867914
1739209620.9043624;-38.13080360867914
1739209620.904368;-38.13080360867914
1739209620.9043736;-38.13080360867914
1739209620.9043794;-38.13080360867914
1739209620.9043849;-38.13080360867914
1739209620.9043906;-38.13080360867914
1739209620.9043963;-38.13080360867914
1739209620.904402;-45.120503652039325
1739209620.9044075;-45.120503652039325
1739209620.9044132;-32.816014438256545
1739209620.904419;-45.120503652039325
1739209620.9044244;-45.120503652039325
1739209620.9044302;-33.981070128970906
1739209620.9044359;-45.120503652039325
1739209620.9044414;-33.981070128970906
1739209620.904447;-45.120503652039325
1739209620.9044528;-45.120503652039325
1739209620.9044583;-38.13080360867914
