CAN Message; 0x1bb:0000e74b8ece1395
Timestamp;Amplitude
1739209875.3542316;-35.57807855764607
1739209875.3542378;-38.13080360867914
1739209875.354244;-45.120503652039325
1739209875.3542502;-33.981070128970906
1739209875.3542564;-45.120503652039325
1739209875.3542626;-45.120503652039325
1739209875.3542688;-38.13080360867914
1739209875.354275;-38.13080360867914
1739209875.3542812;-45.120503652039325
1739209875.3542874;-31.141103565318915
1739209875.3542933;-38.13080360867914
1739209875.3542995;-45.120503652039325
1739209875.3543057;-38.13080360867914
1739209875.354312;-33.981070128970906
1739209875.3543181;-35.57807855764607
1739209875.3543243;-38.13080360867914
1739209875.3543305;-35.57807855764607
1739209875.3543367;-33.981070128970906
1739209875.354343;-38.13080360867914
1739209875.3543491;-38.13080360867914
1739209875.3543553;-35.57807855764607
1739209875.3543615;-38.13080360867914
1739209875.3543677;-45.120503652039325
1739209875.354374;-38.13080360867914
1739209875.3543801;-38.13080360867914
1739209875.3543863;-38.13080360867914
1739209875.3543925;-38.13080360867914
1739209875.3543987;-38.13080360867914
1739209875.354405;-45.120503652039325
1739209875.3544111;-33.981070128970906
1739209875.354417;-38.13080360867914
1739209875.3544233;-38.13080360867914
1739209875.3544295;-45.120503652039325
1739209875.3544357;-38.13080360867914
1739209875.354442;-45.120503652039325
1739209875.354448;-45.120503652039325
1739209875.3544543;-45.120503652039325
1739209875.3544605;-38.13080360867914
1739209875.3544667;-45.120503652039325
1739209875.3544729;-45.120503652039325
1739209875.354479;-45.120503652039325
1739209875.3544853;-32.81601443825658
1739209875.3544915;-45.120503652039325
1739209875.3544977;-38.13080360867914
1739209875.3545039;-38.13080360867914
1739209875.35451;-38.13080360867914
1739209875.3545163;-45.120503652039325
1739209875.3545225;-45.120503652039325
1739209875.3545287;-38.13080360867914
1739209875.3545349;-31.141103565318915
1739209875.354541;-33.981070128970906
1739209875.354547;-45.120503652039325
1739209875.3545532;-45.120503652039325
1739209875.3545594;-33.981070128970906
1739209875.3545656;-38.13080360867914
1739209875.3545718;-38.13080360867914
1739209875.354578;-45.120503652039325
1739209875.3545842;-38.13080360867914
1739209875.3545904;-38.13080360867914
1739209875.3545966;-45.120503652039325
1739209875.3546028;-45.120503652039325
1739209875.354609;-45.120503652039325
1739209875.3546152;-45.120503652039325
1739209875.3546214;-33.981070128970906
1739209875.3546276;-32.816014438256545
1739209875.3546338;-38.13080360867914
1739209875.35464;-38.13080360867914
1739209875.3546462;-45.120503652039325
1739209875.3546524;-35.57807855764607
1739209875.3546586;-38.13080360867914
1739209875.3546648;-45.120503652039325
1739209875.3546708;-38.13080360867914
1739209875.354677;-45.120503652039325
1739209875.3546832;-38.13080360867914
1739209875.3546894;-38.13080360867914
1739209875.3546956;-45.120503652039325
1739209875.3547018;-45.120503652039325
1739209875.354708;-38.13080360867914
1739209875.3547142;-38.13080360867914
1739209875.3547204;-45.120503652039325
1739209875.3547266;-45.120503652039325
1739209875.3547328;-45.120503652039325
1739209875.354739;-38.13080360867914
1739209875.3547451;-38.13080360867914
1739209875.3547513;-45.120503652039325
1739209875.3547575;-38.13080360867914
1739209875.3547637;-38.13080360867914
1739209875.35477;-38.13080360867914
1739209875.3547761;-38.13080360867914
1739209875.3547823;-32.816014438256545
1739209875.3547885;-31.141103565318915
1739209875.3547947;-45.120503652039325
1739209875.3548007;-38.13080360867914
1739209875.354807;-38.13080360867914
1739209875.354813;-45.120503652039325
1739209875.3548193;-45.120503652039325
1739209875.3548255;-45.120503652039325
1739209875.3548317;-38.13080360867914
1739209875.354838;-45.120503652039325
1739209875.354844;-45.120503652039325
1739209875.3548503;-45.120503652039325
1739209875.3548565;-38.13080360867914
1739209875.3548627;-32.816014438256545
1739209875.354869;-45.120503652039325
1739209875.354875;-45.120503652039325
1739209875.3548813;-45.120503652039325
1739209875.3548875;-38.13080360867914
1739209875.3548937;-38.13080360867914
1739209875.3549;-38.13080360867914
1739209875.354906;-38.13080360867914
1739209875.3549123;-45.120503652039325
1739209875.3549185;-38.13080360867914
1739209875.3549244;-45.120503652039325
1739209875.3549306;-45.120503652039325
1739209875.3549368;-38.13080360867914
1739209875.354943;-45.120503652039325
1739209875.3549492;-45.120503652039325
1739209875.3549554;-38.13080360867914
1739209875.3549616;-38.13080360867914
1739209875.3549678;-45.120503652039325
1739209875.354974;-38.13080360867914
1739209875.3549802;-45.120503652039325
1739209875.3549864;-45.120503652039325
1739209875.3549926;-45.120503652039325
1739209875.3549988;-38.13080360867914
1739209875.355005;-45.120503652039325
1739209875.3550112;-38.13080360867914
1739209875.3550174;-38.13080360867914
1739209875.3550236;-45.120503652039325
1739209875.3550298;-38.13080360867914
1739209875.355036;-31.141103565318893
1739209875.3550422;-38.13080360867914
1739209875.3550484;-45.120503652039325
