CAN Message; 0x1d3:0000e1bbd4e69efa
Timestamp;Amplitude
1739209589.0482054;-30.49652367304973
1739209589.0482152;-38.13080360867914
1739209589.0482252;-38.13080360867914
1739209589.048235;-45.120503652039325
1739209589.048245;-38.13080360867914
1739209589.0482547;-38.13080360867914
1739209589.0482647;-38.13080360867914
1739209589.0482748;-45.120503652039325
1739209589.0482845;-33.981070128970906
1739209589.0482945;-30.49652367304973
1739209589.0483043;-38.13080360867914
1739209589.0483143;-45.120503652039325
1739209589.0483243;-38.13080360867914
1739209589.0483341;-38.13080360867914
1739209589.0483441;-38.13080360867914
1739209589.048354;-45.120503652039325
1739209589.048364;-35.57807855764607
1739209589.0483737;-45.120503652039325
1739209589.0483837;-38.13080360867914
1739209589.0483937;-38.13080360867914
1739209589.0484035;-45.120503652039325
1739209589.0484135;-45.120503652039325
1739209589.0484233;-45.120503652039325
1739209589.0484333;-45.120503652039325
1739209589.048443;-45.120503652039325
1739209589.048453;-45.120503652039325
1739209589.048463;-45.120503652039325
1739209589.048473;-45.120503652039325
1739209589.048483;-45.120503652039325
1739209589.0484927;-38.13080360867914
1739209589.0485027;-38.13080360867914
1739209589.0485125;-38.13080360867914
1739209589.0485225;-38.13080360867914
1739209589.0485325;-26.487275050834715
1739209589.0485423;-32.816014438256545
1739209589.0485523;-45.120503652039325
1739209589.048562;-38.13080360867914
1739209589.048572;-32.816014438256545
1739209589.048582;-38.13080360867914
1739209589.0485919;-35.57807855764607
1739209589.0486019;-33.981070128970906
1739209589.0486116;-33.981070128970956
1739209589.0486217;-45.120503652039325
1739209589.0486314;-32.816014438256545
1739209589.0486414;-45.120503652039325
1739209589.0486515;-45.120503652039325
1739209589.0486612;-38.13080360867914
1739209589.0486712;-45.120503652039325
1739209589.048681;-38.13080360867914
1739209589.048691;-29.438486411369333
1739209589.0487008;-35.57807855764607
1739209589.0487108;-45.120503652039325
1739209589.0487208;-38.13080360867914
1739209589.0487306;-38.13080360867914
1739209589.0487406;-45.120503652039325
1739209589.0487504;-45.120503652039325
1739209589.0487604;-45.120503652039325
1739209589.0487704;-45.120503652039325
1739209589.0487802;-45.120503652039325
1739209589.0487902;-45.120503652039325
1739209589.0488;-45.120503652039325
1739209589.04881;-35.57807855764607
1739209589.0488198;-35.57807855764607
1739209589.0488298;-38.13080360867914
1739209589.0488398;-38.13080360867914
1739209589.0488496;-38.13080360867914
1739209589.0488596;-38.13080360867914
1739209589.0488694;-38.13080360867914
1739209589.0488794;-38.13080360867914
1739209589.0488892;-45.120503652039325
