CAN Message; 0x62:0bff8cde83f9be49
Timestamp;Amplitude
1739209727.222501;-38.13080360867914
1739209727.2225063;-45.120503652039325
1739209727.2225115;-45.120503652039325
1739209727.2225168;-45.120503652039325
1739209727.222522;-38.13080360867914
1739209727.2225273;-35.57807855764607
1739209727.2225325;-45.120503652039325
1739209727.2225375;-38.13080360867914
1739209727.2225428;-38.13080360867914
1739209727.222548;-38.13080360867914
1739209727.2225533;-45.120503652039325
1739209727.2225585;-38.13080360867914
1739209727.2225637;-35.57807855764607
1739209727.222569;-35.57807855764607
1739209727.2225742;-38.13080360867914
1739209727.2225795;-38.13080360867914
1739209727.2225847;-38.13080360867914
1739209727.22259;-38.13080360867914
1739209727.2225952;-38.13080360867914
1739209727.2226005;-45.120503652039325
1739209727.2226057;-45.120503652039325
1739209727.222611;-33.981070128970906
1739209727.222616;-45.120503652039325
1739209727.2226212;-38.13080360867914
1739209727.2226264;-35.57807855764607
1739209727.2226317;-38.13080360867914
1739209727.222637;-45.120503652039325
1739209727.2226422;-45.120503652039325
1739209727.2226474;-38.13080360867914
1739209727.2226527;-35.57807855764607
1739209727.222658;-35.57807855764607
1739209727.2226632;-45.120503652039325
1739209727.2226684;-45.120503652039325
1739209727.2226737;-35.57807855764607
1739209727.222679;-38.13080360867914
1739209727.2226841;-45.120503652039325
1739209727.2226894;-38.13080360867914
1739209727.2226944;-45.120503652039325
1739209727.2226996;-38.13080360867914
1739209727.222705;-45.120503652039325
1739209727.2227101;-45.120503652039325
1739209727.2227154;-38.13080360867914
1739209727.2227206;-38.13080360867914
1739209727.2227259;-45.120503652039325
1739209727.222731;-45.120503652039325
1739209727.2227364;-45.120503652039325
1739209727.2227416;-38.13080360867914
1739209727.2227468;-38.13080360867914
1739209727.222752;-45.120503652039325
1739209727.2227573;-45.120503652039325
1739209727.2227626;-38.13080360867914
1739209727.2227678;-38.13080360867914
1739209727.2227728;-38.13080360867914
1739209727.222778;-45.120503652039325
1739209727.2227833;-45.120503652039325
1739209727.2227886;-38.13080360867914
1739209727.2227938;-35.57807855764607
1739209727.222799;-38.13080360867914
1739209727.2228043;-45.120503652039325
1739209727.2228096;-45.120503652039325
1739209727.2228148;-38.13080360867914
1739209727.22282;-45.120503652039325
1739209727.2228253;-45.120503652039325
1739209727.2228305;-32.816014438256545
1739209727.2228358;-45.120503652039325
1739209727.222841;-38.13080360867914
1739209727.2228463;-33.981070128970906
1739209727.2228513;-35.57807855764607
1739209727.2228565;-38.13080360867914
1739209727.2228618;-45.120503652039325
1739209727.222867;-38.13080360867914
1739209727.2228723;-35.57807855764607
1739209727.2228775;-33.981070128970906
1739209727.2228827;-31.141103565318915
1739209727.222888;-45.120503652039325
1739209727.2228932;-38.13080360867914
1739209727.2228985;-35.57807855764607
1739209727.2229037;-38.13080360867914
1739209727.222909;-38.13080360867914
1739209727.2229142;-33.981070128970906
1739209727.2229195;-38.13080360867914
1739209727.2229247;-45.120503652039325
1739209727.2229297;-38.13080360867914
1739209727.222935;-32.816014438256545
1739209727.2229402;-38.13080360867914
1739209727.2229455;-45.120503652039325
1739209727.2229507;-33.981070128970906
1739209727.222956;-32.816014438256545
1739209727.2229612;-45.120503652039325
1739209727.2229664;-38.13080360867914
1739209727.2229717;-38.13080360867914
1739209727.222977;-35.57807855764607
1739209727.2229822;-38.13080360867914
1739209727.2229874;-45.120503652039325
1739209727.2229927;-38.13080360867914
1739209727.222998;-35.57807855764607
1739209727.2230031;-32.816014438256545
1739209727.2230082;-27.8777449560314
1739209727.2230134;-45.120503652039325
1739209727.2230186;-45.120503652039325
1739209727.223024;-38.13080360867914
1739209727.2230291;-38.13080360867914
1739209727.2230344;-45.120503652039325
1739209727.2230396;-45.120503652039325
1739209727.2230449;-45.120503652039325
1739209727.22305;-38.13080360867914
1739209727.2230554;-38.13080360867914
1739209727.2230606;-38.13080360867914
1739209727.2230659;-45.120503652039325
1739209727.223071;-38.13080360867914
1739209727.2230763;-35.57807855764607
1739209727.2230816;-45.120503652039325
1739209727.2230866;-38.13080360867914
1739209727.2230918;-27.8777449560314
1739209727.223097;-45.120503652039325
1739209727.2231023;-45.120503652039325
1739209727.2231076;-38.13080360867914
1739209727.2231128;-45.120503652039325
1739209727.223118;-33.981070128970906
1739209727.2231233;-38.13080360867914
1739209727.2231286;-38.13080360867914
1739209727.2231338;-35.57807855764607
1739209727.223139;-45.120503652039325
1739209727.2231443;-45.120503652039325
1739209727.2231495;-38.13080360867914
1739209727.2231548;-33.981070128970906
1739209727.22316;-45.120503652039325
1739209727.223165;-38.13080360867914
1739209727.2231703;-38.13080360867914
1739209727.2231755;-45.120503652039325
1739209727.2231808;-38.13080360867914
1739209727.223186;-45.120503652039325
1739209727.2231913;-45.120503652039325
1739209727.2231965;-38.13080360867914
1739209727.2232018;-38.13080360867914
1739209727.223207;-38.13080360867914
1739209727.2232122;-45.120503652039325
1739209727.2232175;-31.141103565318893
1739209727.2232227;-33.981070128970906
1739209727.223228;-45.120503652039325
1739209727.2232332;-38.13080360867914
1739209727.2232385;-33.981070128970906
1739209727.2232437;-45.120503652039325
1739209727.2232487;-38.13080360867914
1739209727.223254;-38.13080360867914
1739209727.2232592;-45.120503652039325
1739209727.2232645;-45.120503652039325
1739209727.2232697;-45.120503652039325
1739209727.223275;-45.120503652039325
1739209727.2232802;-45.120503652039325
1739209727.2232854;-35.57807855764607
1739209727.2232907;-38.13080360867914
1739209727.223296;-45.120503652039325
1739209727.2233012;-45.120503652039325
1739209727.2233064;-38.13080360867914
1739209727.2233117;-38.13080360867914
1739209727.223317;-38.13080360867914
1739209727.2233222;-38.13080360867914
1739209727.2233272;-38.13080360867914
1739209727.2233324;-32.816014438256545
1739209727.2233377;-45.120503652039325
1739209727.223343;-45.120503652039325
1739209727.2233481;-38.13080360867914
1739209727.2233534;-35.57807855764607
1739209727.2233586;-38.13080360867914
1739209727.2233639;-45.120503652039325
1739209727.2233691;-45.120503652039325
1739209727.2233744;-38.13080360867914
1739209727.2233796;-38.13080360867914
1739209727.2233849;-45.120503652039325
1739209727.22339;-45.120503652039325
1739209727.2233953;-35.57807855764607
1739209727.2234006;-45.120503652039325
1739209727.2234056;-45.120503652039325
1739209727.2234108;-38.13080360867914
1739209727.223416;-35.57807855764607
1739209727.2234213;-45.120503652039325
1739209727.2234266;-45.120503652039325
1739209727.2234318;-38.13080360867914
1739209727.223437;-35.57807855764607
1739209727.2234423;-45.120503652039325
1739209727.2234476;-38.13080360867914
1739209727.2234528;-35.57807855764607
1739209727.223458;-38.13080360867914
1739209727.2234633;-38.13080360867914
1739209727.2234685;-45.120503652039325
1739209727.2234738;-33.981070128970906
1739209727.223479;-45.120503652039325
1739209727.223484;-45.120503652039325
1739209727.2234893;-45.120503652039325
1739209727.2234945;-45.120503652039325
1739209727.2234998;-35.57807855764607
1739209727.223505;-45.120503652039325
1739209727.2235103;-38.13080360867914
1739209727.2235155;-33.981070128970906
1739209727.2235208;-45.120503652039325
1739209727.223526;-38.13080360867914
1739209727.2235312;-45.120503652039325
1739209727.2235365;-38.13080360867914
1739209727.2235417;-45.120503652039325
1739209727.223547;-45.120503652039325
1739209727.2235522;-45.120503652039325
1739209727.2235575;-45.120503652039325
1739209727.2235625;-45.120503652039325
1739209727.2235677;-45.120503652039325
1739209727.223573;-45.120503652039325
1739209727.2235782;-33.981070128970906
1739209727.2235835;-45.120503652039325
1739209727.2235887;-45.120503652039325
1739209727.223594;-38.13080360867914
1739209727.2235992;-38.13080360867914
1739209727.2236044;-45.120503652039325
1739209727.2236097;-45.120503652039325
1739209727.223615;-38.13080360867914
1739209727.2236202;-45.120503652039325
1739209727.2236254;-45.120503652039325
1739209727.2236307;-45.120503652039325
1739209727.223636;-45.120503652039325
1739209727.223641;-33.981070128970906
1739209727.2236462;-45.120503652039325
1739209727.2236514;-45.120503652039325
1739209727.2236567;-38.13080360867914
1739209727.223662;-45.120503652039325
1739209727.2236671;-45.120503652039325
1739209727.2236724;-38.13080360867914
1739209727.2236776;-32.816014438256545
1739209727.2236829;-32.816014438256545
1739209727.2236881;-38.13080360867914
