CAN Message; 0x150:060074f17144f0e4
Timestamp;Amplitude
1739209868.4258182;-38.13080360867914
1739209868.4258213;-32.816014438256545
1739209868.4258244;-45.120503652039325
1739209868.4258275;-38.13080360867914
1739209868.4258306;-35.57807855764607
1739209868.4258337;-38.13080360867914
1739209868.4258368;-45.120503652039325
1739209868.4258397;-38.13080360867914
1739209868.4258428;-32.816014438256545
1739209868.4258459;-45.120503652039325
1739209868.425849;-45.120503652039325
1739209868.425852;-38.13080360867914
1739209868.4258552;-45.120503652039325
1739209868.4258583;-38.13080360867914
1739209868.4258614;-32.816014438256545
1739209868.4258645;-45.120503652039325
1739209868.4258673;-45.120503652039325
1739209868.4258704;-35.57807855764607
1739209868.4258735;-38.13080360867914
1739209868.4258766;-38.13080360867914
1739209868.4258797;-35.57807855764607
1739209868.4258828;-45.120503652039325
1739209868.425886;-45.120503652039325
1739209868.425889;-45.120503652039325
1739209868.4258919;-45.120503652039325
1739209868.425895;-45.120503652039325
1739209868.425898;-45.120503652039325
1739209868.4259012;-33.981070128970906
1739209868.4259043;-38.13080360867914
1739209868.4259074;-35.57807855764607
1739209868.4259105;-38.13080360867914
1739209868.4259136;-38.13080360867914
1739209868.4259167;-35.57807855764607
1739209868.4259195;-45.120503652039325
1739209868.4259226;-33.981070128970906
1739209868.4259257;-38.13080360867914
1739209868.4259288;-45.120503652039325
1739209868.425932;-45.120503652039325
1739209868.425935;-38.13080360867914
1739209868.4259381;-38.13080360867914
1739209868.4259412;-38.13080360867914
1739209868.425944;-38.13080360867914
1739209868.4259472;-38.13080360867914
1739209868.4259503;-35.57807855764607
1739209868.4259534;-38.13080360867914
1739209868.4259565;-38.13080360867914
1739209868.4259596;-35.57807855764607
1739209868.4259627;-38.13080360867914
1739209868.4259658;-35.57807855764607
1739209868.425969;-45.120503652039325
1739209868.4259717;-33.981070128970906
1739209868.4259748;-35.57807855764607
1739209868.425978;-45.120503652039325
1739209868.425981;-38.13080360867914
1739209868.4259841;-45.120503652039325
1739209868.4259872;-45.120503652039325
1739209868.4259903;-38.13080360867914
1739209868.4259934;-38.13080360867914
1739209868.4259963;-38.13080360867914
1739209868.4259994;-33.981070128970906
1739209868.4260025;-38.13080360867914
1739209868.4260056;-38.13080360867914
1739209868.4260087;-38.13080360867914
1739209868.4260118;-45.120503652039325
1739209868.426015;-45.120503652039325
1739209868.426018;-45.120503652039325
1739209868.426021;-33.981070128970906
1739209868.426024;-38.13080360867914
1739209868.426027;-45.120503652039325
1739209868.4260302;-45.120503652039325
1739209868.4260333;-38.13080360867914
1739209868.4260364;-38.13080360867914
1739209868.4260395;-45.120503652039325
1739209868.4260426;-38.13080360867914
1739209868.4260457;-45.120503652039325
1739209868.4260485;-38.13080360867914
1739209868.4260516;-35.57807855764607
