CAN Message; 0x62:0d1e5ac3df82548d
Timestamp;Amplitude
1739209913.5921216;-31.141103565318893
1739209913.5921295;-38.13080360867914
1739209913.5921373;-45.120503652039325
1739209913.5921452;-33.981070128970906
1739209913.592153;-33.981070128970906
1739209913.592161;-45.120503652039325
1739209913.5921688;-45.120503652039325
1739209913.5921767;-38.13080360867914
1739209913.5921845;-38.13080360867914
1739209913.5921924;-33.981070128970906
1739209913.5922003;-45.120503652039325
1739209913.5922084;-45.120503652039325
1739209913.5922163;-38.13080360867914
1739209913.5922241;-38.13080360867914
1739209913.592232;-45.120503652039325
1739209913.5922399;-45.120503652039325
1739209913.5922477;-38.13080360867914
1739209913.5922556;-38.13080360867914
1739209913.5922635;-45.120503652039325
1739209913.5922713;-38.13080360867914
1739209913.5922792;-32.816014438256545
1739209913.592287;-33.981070128970906
1739209913.592295;-38.13080360867914
1739209913.5923028;-45.120503652039325
1739209913.5923107;-45.120503652039325
1739209913.5923185;-33.981070128970906
1739209913.5923264;-45.120503652039325
1739209913.5923343;-38.13080360867914
1739209913.5923421;-45.120503652039325
1739209913.59235;-33.981070128970906
1739209913.5923579;-45.120503652039325
1739209913.5923657;-33.981070128970906
1739209913.5923736;-33.981070128970906
1739209913.5923817;-45.120503652039325
1739209913.5923896;-45.120503652039325
1739209913.5923975;-38.13080360867914
1739209913.5924053;-35.57807855764607
1739209913.5924132;-33.981070128970906
1739209913.592421;-45.120503652039325
1739209913.592429;-38.13080360867914
1739209913.5924368;-32.816014438256545
1739209913.5924447;-32.816014438256545
1739209913.5924525;-45.120503652039325
1739209913.5924604;-38.13080360867914
1739209913.5924683;-32.816014438256545
1739209913.5924761;-33.981070128970906
1739209913.592484;-45.120503652039325
1739209913.5924919;-38.13080360867914
1739209913.5924997;-38.13080360867914
1739209913.5925076;-33.981070128970906
1739209913.5925155;-45.120503652039325
1739209913.5925233;-38.13080360867914
1739209913.5925312;-38.13080360867914
1739209913.592539;-45.120503652039325
1739209913.592547;-45.120503652039325
1739209913.592555;-45.120503652039325
1739209913.592563;-38.13080360867914
1739209913.5925708;-38.13080360867914
1739209913.5925786;-45.120503652039325
1739209913.5925865;-38.13080360867914
1739209913.5925944;-25.826314394896354
1739209913.5926023;-26.991370085610722
1739209913.5926101;-45.120503652039325
1739209913.592618;-38.13080360867914
1739209913.5926259;-35.57807855764607
1739209913.5926337;-33.981070128970906
1739209913.5926416;-45.120503652039325
1739209913.5926495;-38.13080360867914
1739209913.5926573;-38.13080360867914
1739209913.5926652;-45.120503652039325
1739209913.592673;-38.13080360867914
1739209913.592681;-35.57807855764607
1739209913.5926888;-38.13080360867914
1739209913.5926967;-45.120503652039325
1739209913.5927045;-45.120503652039325
1739209913.5927124;-38.13080360867914
1739209913.5927203;-38.13080360867914
1739209913.5927284;-45.120503652039325
1739209913.5927362;-45.120503652039325
1739209913.592744;-45.120503652039325
1739209913.592752;-38.13080360867914
1739209913.5927598;-45.120503652039325
1739209913.5927677;-45.120503652039325
1739209913.5927756;-45.120503652039325
1739209913.5927835;-32.816014438256545
1739209913.5927913;-27.267205301931607
1739209913.5927992;-45.120503652039325
1739209913.592807;-38.13080360867914
1739209913.592815;-38.13080360867914
1739209913.5928228;-35.57807855764607
1739209913.5928307;-45.120503652039325
1739209913.5928385;-35.57807855764607
1739209913.5928464;-38.13080360867914
1739209913.5928543;-45.120503652039325
1739209913.5928621;-45.120503652039325
1739209913.59287;-45.120503652039325
1739209913.5928779;-38.13080360867914
1739209913.5928857;-38.13080360867914
1739209913.5928936;-38.13080360867914
1739209913.5929015;-45.120503652039325
1739209913.5929096;-35.57807855764607
1739209913.5929174;-38.13080360867914
1739209913.5929253;-45.120503652039325
1739209913.5929332;-38.13080360867914
1739209913.592941;-38.13080360867914
1739209913.592949;-45.120503652039325
1739209913.5929568;-38.13080360867914
1739209913.5929646;-38.13080360867914
1739209913.5929725;-45.120503652039325
1739209913.5929804;-32.816014438256545
1739209913.5929883;-35.57807855764607
1739209913.5929961;-38.13080360867914
1739209913.593004;-45.120503652039325
1739209913.5930119;-38.13080360867914
1739209913.5930197;-38.13080360867914
1739209913.5930276;-45.120503652039325
1739209913.5930355;-45.120503652039325
1739209913.5930433;-45.120503652039325
1739209913.5930512;-38.13080360867914
1739209913.593059;-38.13080360867914
1739209913.593067;-45.120503652039325
1739209913.5930748;-45.120503652039325
1739209913.593083;-38.13080360867914
1739209913.5930908;-38.13080360867914
1739209913.5930986;-38.13080360867914
1739209913.5931065;-45.120503652039325
1739209913.5931144;-35.57807855764607
1739209913.5931222;-45.120503652039325
1739209913.59313;-45.120503652039325
1739209913.593138;-38.13080360867914
1739209913.5931458;-38.13080360867914
1739209913.5931537;-38.13080360867914
1739209913.5931616;-45.120503652039325
1739209913.5931695;-33.981070128970906
1739209913.5931773;-45.120503652039325
1739209913.5931852;-38.13080360867914
1739209913.593193;-45.120503652039325
1739209913.593201;-38.13080360867914
1739209913.5932088;-31.141103565318893
1739209913.5932167;-45.120503652039325
1739209913.5932245;-45.120503652039325
1739209913.5932324;-45.120503652039325
1739209913.5932403;-45.120503652039325
1739209913.5932481;-45.120503652039325
1739209913.5932562;-45.120503652039325
1739209913.593264;-45.120503652039325
1739209913.593272;-38.13080360867914
1739209913.5932798;-38.13080360867914
1739209913.5932877;-45.120503652039325
1739209913.5932956;-35.57807855764607
1739209913.5933034;-35.57807855764607
1739209913.5933113;-33.981070128970906
1739209913.5933192;-45.120503652039325
1739209913.593327;-33.981070128970906
1739209913.593335;-38.13080360867914
1739209913.5933428;-45.120503652039325
1739209913.5933506;-45.120503652039325
1739209913.5933585;-35.57807855764607
1739209913.5933664;-33.981070128970906
1739209913.5933743;-45.120503652039325
1739209913.5933821;-45.120503652039325
1739209913.59339;-35.57807855764607
1739209913.5933979;-38.13080360867914
1739209913.5934057;-45.120503652039325
1739209913.5934136;-38.13080360867914
1739209913.5934215;-45.120503652039325
1739209913.5934296;-45.120503652039325
1739209913.5934374;-45.120503652039325
1739209913.5934453;-38.13080360867914
1739209913.5934532;-38.13080360867914
1739209913.593461;-45.120503652039325
1739209913.593469;-35.57807855764607
1739209913.5934768;-45.120503652039325
1739209913.5934846;-38.13080360867914
1739209913.5934925;-32.816014438256545
1739209913.5935004;-38.13080360867914
1739209913.5935082;-45.120503652039325
1739209913.593516;-38.13080360867914
1739209913.593524;-38.13080360867914
1739209913.5935318;-38.13080360867914
1739209913.5935397;-45.120503652039325
1739209913.5935476;-35.57807855764607
