CAN Message; 0x62:030a483c10f09d42
Timestamp;Amplitude
1739209824.8292425;-45.120503652039325
1739209824.8292494;-38.13080360867914
1739209824.8292565;-38.13080360867914
1739209824.8292634;-38.13080360867914
1739209824.8292706;-45.120503652039325
1739209824.8292775;-38.13080360867914
1739209824.8292847;-45.120503652039325
1739209824.8292918;-45.120503652039325
1739209824.8292987;-45.120503652039325
1739209824.829306;-35.57807855764607
1739209824.8293128;-45.120503652039325
1739209824.82932;-26.991370085610722
1739209824.829327;-32.816014438256545
1739209824.829334;-38.13080360867914
1739209824.8293412;-33.981070128970906
1739209824.829348;-35.57807855764607
1739209824.8293552;-35.57807855764607
1739209824.8293622;-38.13080360867914
1739209824.8293693;-38.13080360867914
1739209824.8293765;-45.120503652039325
1739209824.8293834;-45.120503652039325
1739209824.8293905;-38.13080360867914
1739209824.8293974;-45.120503652039325
1739209824.8294046;-45.120503652039325
1739209824.8294117;-45.120503652039325
1739209824.8294187;-45.120503652039325
1739209824.8294258;-45.120503652039325
1739209824.8294327;-45.120503652039325
1739209824.8294399;-45.120503652039325
1739209824.8294468;-45.120503652039325
1739209824.829454;-38.13080360867914
1739209824.829461;-38.13080360867914
1739209824.829468;-45.120503652039325
1739209824.8294752;-45.120503652039325
1739209824.829482;-38.13080360867914
1739209824.8294892;-30.49652367304973
1739209824.8294964;-31.141103565318915
1739209824.8295033;-45.120503652039325
1739209824.8295105;-45.120503652039325
1739209824.8295174;-32.816014438256545
1739209824.8295245;-33.981070128970906
1739209824.8295314;-45.120503652039325
1739209824.8295386;-38.13080360867914
1739209824.8295457;-45.120503652039325
1739209824.8295527;-45.120503652039325
1739209824.8295598;-38.13080360867914
1739209824.8295667;-45.120503652039325
1739209824.8295739;-45.120503652039325
1739209824.829581;-45.120503652039325
1739209824.829588;-33.981070128970906
1739209824.829595;-45.120503652039325
1739209824.829602;-33.981070128970906
1739209824.8296092;-31.141103565318915
1739209824.829616;-45.120503652039325
1739209824.8296232;-38.13080360867914
1739209824.8296304;-45.120503652039325
1739209824.8296373;-38.13080360867914
1739209824.8296444;-35.57807855764607
1739209824.8296514;-38.13080360867914
1739209824.8296585;-38.13080360867914
1739209824.8296657;-38.13080360867914
1739209824.8296726;-35.57807855764607
1739209824.8296797;-38.13080360867914
1739209824.8296866;-45.120503652039325
