CAN Message; 0x62:023d778e6edde92a
Timestamp;Amplitude
1739209847.469939;-45.120503652039325
1739209847.4699473;-45.120503652039325
1739209847.469956;-38.13080360867914
1739209847.4699645;-33.981070128970906
1739209847.4699728;-45.120503652039325
1739209847.4699814;-45.120503652039325
1739209847.46999;-38.13080360867914
1739209847.4699984;-33.981070128970956
1739209847.470007;-45.120503652039325
1739209847.4700155;-38.13080360867914
1739209847.4700239;-38.13080360867914
1739209847.4700325;-45.120503652039325
1739209847.470041;-45.120503652039325
1739209847.4700494;-45.120503652039325
1739209847.470058;-38.13080360867914
1739209847.4700665;-31.141103565318915
1739209847.470075;-35.57807855764607
1739209847.4700835;-45.120503652039325
1739209847.470092;-45.120503652039325
1739209847.4701004;-45.120503652039325
1739209847.470109;-45.120503652039325
1739209847.4701176;-45.120503652039325
1739209847.470126;-45.120503652039325
1739209847.4701345;-45.120503652039325
1739209847.470143;-38.13080360867914
1739209847.4701514;-38.13080360867914
1739209847.47016;-38.13080360867914
1739209847.4701686;-35.57807855764607
1739209847.470177;-45.120503652039325
1739209847.4701855;-38.13080360867914
1739209847.470194;-38.13080360867914
1739209847.4702024;-45.120503652039325
1739209847.470211;-45.120503652039325
1739209847.4702196;-38.13080360867914
1739209847.470228;-45.120503652039325
1739209847.4702365;-45.120503652039325
1739209847.4702451;-45.120503652039325
1739209847.4702535;-33.981070128970906
1739209847.470262;-45.120503652039325
1739209847.4702706;-33.981070128970906
1739209847.470279;-45.120503652039325
1739209847.4702876;-45.120503652039325
1739209847.4702961;-38.13080360867914
1739209847.4703045;-32.816014438256545
1739209847.470313;-45.120503652039325
1739209847.4703217;-45.120503652039325
1739209847.47033;-38.13080360867914
1739209847.4703386;-45.120503652039325
1739209847.4703472;-45.120503652039325
1739209847.4703555;-45.120503652039325
1739209847.470364;-35.57807855764607
1739209847.4703727;-38.13080360867914
1739209847.470381;-38.13080360867914
1739209847.4703896;-45.120503652039325
1739209847.4703982;-38.13080360867914
1739209847.4704065;-45.120503652039325
1739209847.470415;-38.13080360867914
1739209847.4704237;-45.120503652039325
1739209847.470432;-38.13080360867914
1739209847.4704406;-38.13080360867914
1739209847.4704492;-45.120503652039325
1739209847.4704576;-38.13080360867914
1739209847.4704661;-38.13080360867914
1739209847.4704747;-35.57807855764607
1739209847.470483;-31.141103565318915
1739209847.4704916;-45.120503652039325
1739209847.4705002;-45.120503652039325
1739209847.4705086;-45.120503652039325
1739209847.4705172;-33.981070128970906
1739209847.4705257;-45.120503652039325
1739209847.470534;-38.13080360867914
1739209847.4705427;-45.120503652039325
1739209847.4705513;-38.13080360867914
1739209847.4705596;-45.120503652039325
1739209847.4705682;-45.120503652039325
1739209847.4705768;-45.120503652039325
1739209847.470585;-38.13080360867914
1739209847.4705937;-38.13080360867914
1739209847.4706023;-45.120503652039325
1739209847.4706106;-38.13080360867914
1739209847.4706192;-38.13080360867914
1739209847.4706278;-45.120503652039325
1739209847.4706361;-38.13080360867914
1739209847.4706447;-38.13080360867914
1739209847.4706533;-31.141103565318915
1739209847.4706616;-38.13080360867914
1739209847.4706702;-45.120503652039325
1739209847.4706788;-38.13080360867914
1739209847.4706872;-33.981070128970906
1739209847.4706957;-38.13080360867914
1739209847.4707043;-45.120503652039325
1739209847.4707127;-45.120503652039325
1739209847.4707212;-38.13080360867914
1739209847.4707298;-45.120503652039325
1739209847.4707382;-38.13080360867914
1739209847.4707468;-38.13080360867914
1739209847.4707553;-32.81601443825658
1739209847.4707637;-45.120503652039325
1739209847.4707723;-45.120503652039325
1739209847.4707808;-38.13080360867914
1739209847.4707892;-45.120503652039325
1739209847.4707978;-45.120503652039325
1739209847.4708064;-35.57807855764607
1739209847.4708147;-35.57807855764607
1739209847.4708233;-35.57807855764607
1739209847.4708319;-38.13080360867914
1739209847.4708402;-45.120503652039325
1739209847.4708488;-45.120503652039325
1739209847.4708574;-45.120503652039325
1739209847.4708657;-45.120503652039325
1739209847.4708743;-38.13080360867914
1739209847.470883;-45.120503652039325
1739209847.4708912;-31.141103565318915
1739209847.4708998;-38.13080360867914
1739209847.4709084;-38.13080360867914
1739209847.4709167;-38.13080360867914
1739209847.4709253;-45.120503652039325
1739209847.470934;-45.120503652039325
1739209847.4709423;-38.13080360867914
1739209847.4709508;-45.120503652039325
1739209847.4709594;-31.141103565318943
1739209847.4709678;-45.120503652039325
1739209847.4709764;-38.13080360867914
1739209847.470985;-45.120503652039325
1739209847.4709933;-38.13080360867914
1739209847.4710019;-38.13080360867914
1739209847.4710104;-45.120503652039325
1739209847.4710188;-45.120503652039325
1739209847.4710274;-32.816014438256545
1739209847.471036;-35.57807855764607
1739209847.4710443;-45.120503652039325
1739209847.471053;-45.120503652039325
1739209847.4710615;-45.120503652039325
1739209847.4710698;-45.120503652039325
1739209847.4710784;-45.120503652039325
1739209847.471087;-45.120503652039325
1739209847.4710953;-38.13080360867914
1739209847.471104;-45.120503652039325
1739209847.4711125;-45.120503652039325
1739209847.4711208;-38.13080360867914
1739209847.4711294;-38.13080360867914
1739209847.471138;-45.120503652039325
1739209847.4711463;-38.13080360867914
1739209847.471155;-38.13080360867914
1739209847.4711635;-45.120503652039325
1739209847.4711719;-45.120503652039325
1739209847.4711804;-45.120503652039325
1739209847.471189;-45.120503652039325
1739209847.4711974;-45.120503652039325
1739209847.471206;-45.120503652039325
1739209847.4712145;-38.13080360867914
1739209847.4712229;-35.57807855764607
1739209847.4712315;-45.120503652039325
1739209847.47124;-45.120503652039325
1739209847.4712484;-38.13080360867914
1739209847.471257;-38.13080360867914
1739209847.4712656;-45.120503652039325
1739209847.471274;-45.120503652039325
1739209847.4712825;-45.120503652039325
1739209847.471291;-38.13080360867914
1739209847.4712994;-45.120503652039325
1739209847.471308;-45.120503652039325
1739209847.4713166;-33.981070128970906
1739209847.471325;-33.981070128970906
1739209847.4713335;-38.13080360867914
1739209847.471342;-45.120503652039325
1739209847.4713504;-38.13080360867914
1739209847.471359;-45.120503652039325
1739209847.4713676;-38.13080360867914
1739209847.471376;-35.57807855764607
1739209847.4713845;-33.981070128970906
1739209847.471393;-38.13080360867914
1739209847.4714015;-45.120503652039325
1739209847.47141;-45.120503652039325
1739209847.4714186;-38.13080360867914
1739209847.471427;-38.13080360867914
1739209847.4714355;-38.13080360867914
1739209847.4714441;-45.120503652039325
1739209847.4714525;-38.13080360867914
1739209847.471461;-45.120503652039325
1739209847.4714696;-38.13080360867914
1739209847.471478;-38.13080360867914
1739209847.4714866;-38.13080360867914
1739209847.4714952;-45.120503652039325
1739209847.4715035;-45.120503652039325
1739209847.471512;-33.981070128970906
1739209847.4715207;-38.13080360867914
1739209847.471529;-45.120503652039325
1739209847.4715376;-38.13080360867914
1739209847.4715462;-45.120503652039325
1739209847.4715545;-45.120503652039325
1739209847.471563;-45.120503652039325
1739209847.4715717;-38.13080360867914
1739209847.47158;-45.120503652039325
1739209847.4715886;-38.13080360867914
1739209847.4715972;-38.13080360867914
1739209847.4716055;-38.13080360867914
1739209847.4716141;-38.13080360867914
1739209847.4716227;-35.57807855764607
1739209847.471631;-35.57807855764607
1739209847.4716396;-38.13080360867914
1739209847.4716482;-38.13080360867914
1739209847.4716566;-45.120503652039325
1739209847.4716651;-45.120503652039325
1739209847.4716737;-45.120503652039325
1739209847.471682;-31.141103565318915
1739209847.4716907;-38.13080360867914
1739209847.4716992;-45.120503652039325
1739209847.4717076;-45.120503652039325
1739209847.4717162;-33.981070128970906
1739209847.4717247;-38.13080360867914
1739209847.471733;-45.120503652039325
1739209847.4717417;-45.120503652039325
1739209847.4717503;-45.120503652039325
1739209847.4717586;-38.13080360867914
1739209847.4717672;-45.120503652039325
1739209847.4717758;-33.981070128970906
1739209847.471784;-32.816014438256545
1739209847.4717927;-38.13080360867914
1739209847.4718013;-33.981070128970906
1739209847.4718096;-45.120503652039325
1739209847.4718182;-45.120503652039325
1739209847.4718268;-38.13080360867914
1739209847.4718351;-32.816014438256545
1739209847.4718437;-38.13080360867914
1739209847.4718523;-31.141103565318915
1739209847.4718606;-33.981070128970906
1739209847.4718692;-45.120503652039325
1739209847.4718778;-45.120503652039325
1739209847.4718862;-38.13080360867914
1739209847.4718947;-35.57807855764607
1739209847.4719033;-45.120503652039325
1739209847.4719117;-38.13080360867914
1739209847.4719203;-38.13080360867914
1739209847.4719288;-38.13080360867914
1739209847.4719372;-45.120503652039325
1739209847.4719458;-38.13080360867914
1739209847.4719543;-45.120503652039325
1739209847.4719627;-38.13080360867914
1739209847.4719713;-35.57807855764607
1739209847.4719799;-45.120503652039325
1739209847.4719882;-38.13080360867914
1739209847.4719968;-31.141103565318915
1739209847.4720054;-38.13080360867914
1739209847.4720137;-45.120503652039325
1739209847.4720223;-38.13080360867914
1739209847.4720309;-38.13080360867914
1739209847.4720392;-33.981070128970906
1739209847.4720478;-45.120503652039325
1739209847.4720564;-38.13080360867914
1739209847.4720647;-33.981070128970906
1739209847.4720733;-38.13080360867914
1739209847.472082;-38.13080360867914
1739209847.4720902;-33.981070128970906
1739209847.4720988;-38.13080360867914
1739209847.4721074;-45.120503652039325
1739209847.4721158;-38.13080360867914
1739209847.4721243;-33.981070128970906
1739209847.4721327;-31.141103565318915
1739209847.4721413;-38.13080360867914
1739209847.4721498;-38.13080360867914
1739209847.4721582;-45.120503652039325
1739209847.4721668;-45.120503652039325
1739209847.4721754;-45.120503652039325
1739209847.4721837;-38.13080360867914
1739209847.4721923;-32.816014438256545
1739209847.4722009;-45.120503652039325
1739209847.4722092;-45.120503652039325
1739209847.4722178;-38.13080360867914
1739209847.4722264;-38.13080360867914
1739209847.4722347;-45.120503652039325
1739209847.4722433;-45.120503652039325
1739209847.472252;-33.981070128970906
1739209847.4722602;-38.13080360867914
1739209847.4722688;-38.13080360867914
1739209847.4722774;-38.13080360867914
1739209847.4722857;-38.13080360867914
1739209847.4722943;-38.13080360867914
1739209847.472303;-38.13080360867914
1739209847.4723113;-38.13080360867914
1739209847.4723198;-38.13080360867914
1739209847.4723284;-38.13080360867914
1739209847.4723368;-33.981070128970906
1739209847.4723454;-45.120503652039325
1739209847.472354;-45.120503652039325
1739209847.4723623;-35.57807855764607
1739209847.4723709;-45.120503652039325
1739209847.4723794;-45.120503652039325
