CAN Message; 0x77:24a0c1b1f2533899
Timestamp;Amplitude
1739209896.982502;-45.120503652039325
1739209896.9825044;-45.120503652039325
1739209896.982507;-45.120503652039325
1739209896.9825096;-38.13080360867914
1739209896.9825122;-35.57807855764607
1739209896.9825146;-33.981070128970906
1739209896.9825172;-45.120503652039325
1739209896.9825199;-45.120503652039325
1739209896.9825222;-38.13080360867914
1739209896.9825249;-38.13080360867914
1739209896.9825275;-38.13080360867914
1739209896.9825299;-35.57807855764607
1739209896.9825325;-38.13080360867914
1739209896.9825351;-38.13080360867914
1739209896.9825377;-45.120503652039325
1739209896.9825401;-38.13080360867914
1739209896.9825428;-38.13080360867914
1739209896.9825454;-38.13080360867914
1739209896.9825478;-38.13080360867914
1739209896.9825504;-45.120503652039325
1739209896.982553;-45.120503652039325
1739209896.9825556;-32.816014438256545
1739209896.982558;-45.120503652039325
1739209896.9825606;-45.120503652039325
1739209896.9825633;-35.57807855764607
1739209896.9825656;-45.120503652039325
1739209896.9825683;-38.13080360867914
1739209896.982571;-38.13080360867914
1739209896.9825733;-35.57807855764607
1739209896.982576;-27.267205301931607
1739209896.9825785;-38.13080360867914
1739209896.9825811;-45.120503652039325
1739209896.9825835;-38.13080360867914
1739209896.9825861;-38.13080360867914
1739209896.9825888;-45.120503652039325
1739209896.9825912;-45.120503652039325
1739209896.9825938;-45.120503652039325
1739209896.9825964;-38.13080360867914
1739209896.9825988;-45.120503652039325
1739209896.9826014;-38.13080360867914
1739209896.982604;-38.13080360867914
1739209896.9826066;-38.13080360867914
1739209896.982609;-38.13080360867914
1739209896.9826117;-45.120503652039325
1739209896.9826143;-45.120503652039325
1739209896.9826167;-45.120503652039325
1739209896.9826193;-45.120503652039325
1739209896.982622;-38.13080360867914
1739209896.9826245;-45.120503652039325
1739209896.982627;-38.13080360867914
1739209896.9826295;-45.120503652039325
1739209896.9826322;-45.120503652039325
1739209896.9826345;-35.57807855764607
1739209896.9826372;-33.981070128970906
1739209896.9826398;-38.13080360867914
1739209896.9826422;-45.120503652039325
1739209896.9826448;-38.13080360867914
1739209896.9826474;-33.981070128970906
1739209896.98265;-33.981070128970906
1739209896.9826524;-45.120503652039325
1739209896.982655;-38.13080360867914
1739209896.9826577;-33.981070128970906
1739209896.98266;-45.120503652039325
1739209896.9826627;-38.13080360867914
1739209896.9826653;-45.120503652039325
1739209896.982668;-45.120503652039325
1739209896.9826703;-45.120503652039325
1739209896.982673;-38.13080360867914
1739209896.9826756;-45.120503652039325
1739209896.982678;-38.13080360867914
1739209896.9826806;-38.13080360867914
1739209896.9826832;-45.120503652039325
1739209896.9826856;-38.13080360867914
1739209896.9826882;-33.981070128970906
1739209896.9826908;-35.57807855764607
1739209896.9826934;-38.13080360867914
1739209896.9826958;-35.57807855764607
1739209896.9826984;-38.13080360867914
1739209896.982701;-45.120503652039325
1739209896.9827034;-45.120503652039325
1739209896.982706;-38.13080360867914
1739209896.9827087;-38.13080360867914
1739209896.9827113;-45.120503652039325
1739209896.9827137;-38.13080360867914
1739209896.9827163;-38.13080360867914
1739209896.982719;-45.120503652039325
1739209896.9827213;-45.120503652039325
1739209896.982724;-38.13080360867914
1739209896.9827266;-38.13080360867914
1739209896.982729;-38.13080360867914
1739209896.9827316;-45.120503652039325
1739209896.9827342;-38.13080360867914
