CAN Message; 0x1b8:010021a33a427793
Timestamp;Amplitude
1739209795.7060647;-45.120503652039325
1739209795.70607;-38.13080360867914
1739209795.7060754;-35.57807855764607
1739209795.706081;-38.13080360867914
1739209795.7060864;-45.120503652039325
1739209795.7060916;-45.120503652039325
1739209795.7060971;-38.13080360867914
1739209795.7061026;-45.120503652039325
1739209795.706108;-45.120503652039325
1739209795.7061133;-45.120503652039325
1739209795.7061188;-38.13080360867914
1739209795.7061243;-38.13080360867914
1739209795.7061298;-45.120503652039325
1739209795.706135;-45.120503652039325
1739209795.7061405;-38.13080360867914
1739209795.706146;-31.141103565318915
1739209795.7061515;-38.13080360867914
1739209795.7061567;-45.120503652039325
1739209795.7061622;-45.120503652039325
1739209795.7061677;-31.141103565318915
1739209795.7061732;-38.13080360867914
1739209795.7061784;-45.120503652039325
1739209795.706184;-45.120503652039325
1739209795.7061894;-45.120503652039325
1739209795.7061949;-38.13080360867914
1739209795.7062001;-38.13080360867914
1739209795.7062056;-45.120503652039325
1739209795.706211;-32.81601443825658
1739209795.7062166;-38.13080360867914
1739209795.7062218;-38.13080360867914
1739209795.7062273;-45.120503652039325
1739209795.7062328;-38.13080360867914
1739209795.7062383;-38.13080360867914
1739209795.7062435;-38.13080360867914
1739209795.706249;-45.120503652039325
1739209795.7062545;-31.141103565318915
1739209795.70626;-32.816014438256545
1739209795.7062652;-35.57807855764607
1739209795.7062707;-38.13080360867914
1739209795.7062762;-38.13080360867914
1739209795.7062817;-45.120503652039325
1739209795.706287;-45.120503652039325
1739209795.7062924;-38.13080360867914
1739209795.7062979;-32.816014438256545
1739209795.7063034;-31.141103565318915
1739209795.7063086;-38.13080360867914
1739209795.706314;-45.120503652039325
1739209795.7063196;-38.13080360867914
1739209795.706325;-38.13080360867914
1739209795.7063303;-35.57807855764607
1739209795.7063358;-45.120503652039325
1739209795.7063413;-38.13080360867914
1739209795.7063465;-35.57807855764607
1739209795.706352;-35.57807855764607
1739209795.7063575;-45.120503652039325
1739209795.706363;-45.120503652039325
1739209795.7063682;-38.13080360867914
1739209795.7063737;-45.120503652039325
1739209795.7063792;-45.120503652039325
1739209795.7063847;-45.120503652039325
1739209795.70639;-38.13080360867914
1739209795.7063954;-35.57807855764607
1739209795.7064009;-35.57807855764607
1739209795.7064064;-45.120503652039325
1739209795.7064116;-38.13080360867914
1739209795.706417;-38.13080360867914
1739209795.7064226;-38.13080360867914
1739209795.706428;-33.981070128970906
1739209795.7064333;-31.141103565318915
1739209795.7064388;-45.120503652039325
1739209795.7064443;-35.57807855764607
1739209795.7064497;-38.13080360867914
1739209795.706455;-45.120503652039325
1739209795.7064605;-38.13080360867914
1739209795.706466;-33.981070128970906
1739209795.7064714;-38.13080360867914
1739209795.7064767;-35.57807855764607
1739209795.7064822;-38.13080360867914
1739209795.7064877;-38.13080360867914
1739209795.7064931;-38.13080360867914
1739209795.7064984;-35.57807855764607
1739209795.7065039;-45.120503652039325
1739209795.7065094;-38.13080360867914
1739209795.7065148;-38.13080360867914
1739209795.70652;-31.141103565318915
1739209795.7065256;-45.120503652039325
1739209795.706531;-33.981070128970906
1739209795.7065365;-33.981070128970906
1739209795.7065418;-38.13080360867914
1739209795.7065473;-38.13080360867914
1739209795.7065527;-45.120503652039325
1739209795.7065582;-38.13080360867914
1739209795.7065635;-38.13080360867914
1739209795.706569;-38.13080360867914
1739209795.7065744;-45.120503652039325
1739209795.70658;-45.120503652039325
1739209795.7065852;-38.13080360867914
1739209795.7065907;-45.120503652039325
1739209795.7065961;-38.13080360867914
1739209795.7066016;-45.120503652039325
1739209795.7066069;-38.13080360867914
1739209795.7066123;-35.57807855764607
1739209795.7066178;-45.120503652039325
1739209795.706623;-38.13080360867914
1739209795.7066286;-38.13080360867914
1739209795.706634;-38.13080360867914
1739209795.7066395;-45.120503652039325
1739209795.7066448;-38.13080360867914
1739209795.7066503;-38.13080360867914
1739209795.7066557;-45.120503652039325
1739209795.7066612;-45.120503652039325
1739209795.7066665;-38.13080360867914
1739209795.706672;-38.13080360867914
1739209795.7066774;-38.13080360867914
1739209795.706683;-38.13080360867914
1739209795.7066882;-45.120503652039325
1739209795.7066936;-38.13080360867914
1739209795.7066991;-38.13080360867914
1739209795.7067046;-30.49652367304973
1739209795.7067099;-38.13080360867914
1739209795.7067153;-38.13080360867914
1739209795.7067208;-31.141103565318915
1739209795.7067263;-45.120503652039325
1739209795.7067316;-45.120503652039325
1739209795.706737;-38.13080360867914
1739209795.7067425;-38.13080360867914
1739209795.706748;-45.120503652039325
1739209795.7067533;-38.13080360867914
1739209795.7067587;-38.13080360867914
1739209795.7067642;-33.981070128970906
1739209795.7067697;-45.120503652039325
1739209795.706775;-45.120503652039325
1739209795.7067804;-38.13080360867914
1739209795.706786;-45.120503652039325
1739209795.7067914;-45.120503652039325
1739209795.7067966;-45.120503652039325
1739209795.7068021;-33.981070128970906
1739209795.7068076;-38.13080360867914
1739209795.706813;-45.120503652039325
1739209795.7068183;-38.13080360867914
1739209795.7068238;-32.816014438256545
1739209795.7068293;-32.816014438256545
1739209795.7068348;-45.120503652039325
1739209795.70684;-45.120503652039325
1739209795.7068455;-45.120503652039325
1739209795.706851;-33.981070128970906
1739209795.7068565;-45.120503652039325
1739209795.7068617;-45.120503652039325
1739209795.7068672;-38.13080360867914
1739209795.7068727;-45.120503652039325
1739209795.7068782;-45.120503652039325
