CAN Message; 0x98:0000f4a346b004a8
Timestamp;Amplitude
1739209654.444371;-31.141103565318915
1739209654.4443784;-38.13080360867914
1739209654.4443855;-45.120503652039325
1739209654.4443927;-45.120503652039325
1739209654.4444;-31.141103565318893
1739209654.4444072;-28.992665084841942
1739209654.4444144;-45.120503652039325
1739209654.4444218;-45.120503652039325
1739209654.444429;-35.57807855764607
1739209654.4444363;-33.981070128970906
1739209654.4444435;-45.120503652039325
1739209654.4444506;-45.120503652039325
1739209654.444458;-45.120503652039325
1739209654.4444652;-38.13080360867914
1739209654.4444723;-45.120503652039325
1739209654.4444797;-45.120503652039325
1739209654.4444869;-45.120503652039325
1739209654.444494;-38.13080360867914
1739209654.4445014;-38.13080360867914
1739209654.4445086;-38.13080360867914
1739209654.4445157;-38.13080360867914
1739209654.444523;-45.120503652039325
1739209654.4445302;-45.120503652039325
1739209654.4445374;-45.120503652039325
1739209654.4445448;-35.57807855764607
1739209654.444552;-33.981070128970906
1739209654.4445593;-45.120503652039325
1739209654.4445665;-45.120503652039325
1739209654.4445736;-32.816014438256545
1739209654.444581;-25.826314394896357
1739209654.4445882;-45.120503652039325
1739209654.4445953;-45.120503652039325
1739209654.4446027;-38.13080360867914
1739209654.4446099;-33.981070128970906
1739209654.444617;-45.120503652039325
1739209654.4446244;-38.13080360867914
1739209654.4446316;-38.13080360867914
1739209654.4446387;-38.13080360867914
1739209654.4446461;-45.120503652039325
1739209654.4446533;-38.13080360867914
1739209654.4446604;-45.120503652039325
1739209654.4446678;-45.120503652039325
1739209654.444675;-38.13080360867914
1739209654.4446824;-35.57807855764607
1739209654.4446895;-31.141103565318893
1739209654.4446967;-28.58837851428586
1739209654.444704;-45.120503652039325
1739209654.4447112;-38.13080360867914
1739209654.4447184;-35.57807855764607
1739209654.4447258;-33.981070128970906
1739209654.444733;-45.120503652039325
1739209654.44474;-45.120503652039325
1739209654.4447474;-45.120503652039325
1739209654.4447546;-45.120503652039325
1739209654.4447618;-45.120503652039325
1739209654.4447691;-45.120503652039325
1739209654.4447763;-45.120503652039325
1739209654.4447834;-45.120503652039325
1739209654.4447908;-45.120503652039325
1739209654.444798;-45.120503652039325
1739209654.4448054;-45.120503652039325
1739209654.4448125;-35.57807855764607
1739209654.4448197;-45.120503652039325
1739209654.444827;-45.120503652039325
1739209654.4448342;-45.120503652039325
1739209654.4448414;-45.120503652039325
1739209654.4448488;-38.13080360867914
1739209654.444856;-45.120503652039325
1739209654.444863;-38.13080360867914
1739209654.4448705;-28.992665084841942
1739209654.4448776;-38.13080360867914
1739209654.4448848;-38.13080360867914
1739209654.4448922;-45.120503652039325
1739209654.4448993;-38.13080360867914
1739209654.4449065;-45.120503652039325
1739209654.4449139;-38.13080360867914
1739209654.444921;-38.13080360867914
1739209654.4449282;-38.13080360867914
1739209654.4449356;-38.13080360867914
1739209654.4449427;-38.13080360867914
1739209654.44495;-38.13080360867914
1739209654.4449573;-33.981070128970906
1739209654.4449644;-45.120503652039325
1739209654.4449718;-38.13080360867914
1739209654.444979;-38.13080360867914
1739209654.444986;-45.120503652039325
1739209654.4449935;-45.120503652039325
1739209654.4450006;-45.120503652039325
1739209654.4450078;-45.120503652039325
1739209654.4450152;-45.120503652039325
1739209654.4450223;-45.120503652039325
1739209654.4450295;-45.120503652039325
1739209654.445037;-38.13080360867914
1739209654.445044;-33.981070128970906
1739209654.4450512;-38.13080360867914
1739209654.4450586;-38.13080360867914
1739209654.4450657;-38.13080360867914
1739209654.4450731;-38.13080360867914
1739209654.4450803;-45.120503652039325
1739209654.4450874;-45.120503652039325
1739209654.4450948;-38.13080360867914
1739209654.445102;-38.13080360867914
1739209654.4451091;-45.120503652039325
1739209654.4451165;-38.13080360867914
1739209654.4451237;-35.57807855764607
1739209654.4451308;-35.57807855764607
1739209654.4451382;-45.120503652039325
1739209654.4451454;-38.13080360867914
1739209654.4451525;-33.981070128970906
1739209654.44516;-38.13080360867914
1739209654.445167;-45.120503652039325
1739209654.4451742;-45.120503652039325
1739209654.4451816;-45.120503652039325
1739209654.4451888;-45.120503652039325
1739209654.4451962;-45.120503652039325
1739209654.4452033;-45.120503652039325
1739209654.4452105;-38.13080360867914
1739209654.4452178;-38.13080360867914
1739209654.445225;-38.13080360867914
1739209654.4452322;-38.13080360867914
1739209654.4452395;-33.981070128970906
1739209654.4452467;-38.13080360867914
1739209654.4452538;-38.13080360867914
1739209654.4452612;-38.13080360867914
1739209654.4452684;-38.13080360867914
1739209654.4452755;-45.120503652039325
1739209654.445283;-38.13080360867914
1739209654.44529;-38.13080360867914
1739209654.4452972;-38.13080360867914
1739209654.4453046;-35.57807855764607
1739209654.4453118;-45.120503652039325
1739209654.4453192;-45.120503652039325
1739209654.4453263;-35.57807855764607
1739209654.4453335;-38.13080360867914
1739209654.4453409;-30.49652367304973
1739209654.445348;-33.981070128970906
1739209654.4453552;-38.13080360867914
1739209654.4453626;-38.13080360867914
1739209654.4453697;-38.13080360867914
1739209654.4453769;-38.13080360867914
1739209654.4453843;-33.981070128970906
1739209654.4453914;-38.13080360867914
1739209654.4453986;-45.120503652039325
1739209654.445406;-45.120503652039325
1739209654.445413;-35.57807855764607
1739209654.4454203;-38.13080360867914
1739209654.4454277;-45.120503652039325
1739209654.4454348;-45.120503652039325
1739209654.4454422;-35.57807855764607
1739209654.4454494;-38.13080360867914
1739209654.4454565;-38.13080360867914
1739209654.445464;-38.13080360867914
1739209654.445471;-35.57807855764607
1739209654.4454782;-35.57807855764607
1739209654.4454856;-38.13080360867914
1739209654.4454927;-38.13080360867914
1739209654.4455;-38.13080360867914
1739209654.4455073;-38.13080360867914
1739209654.4455144;-38.13080360867914
1739209654.4455216;-38.13080360867914
1739209654.445529;-35.57807855764607
1739209654.4455361;-38.13080360867914
1739209654.4455433;-45.120503652039325
1739209654.4455507;-38.13080360867914
1739209654.4455578;-35.57807855764607
1739209654.4455652;-32.816014438256545
1739209654.4455724;-45.120503652039325
1739209654.4455795;-45.120503652039325
1739209654.445587;-35.57807855764607
1739209654.445594;-38.13080360867914
1739209654.4456012;-45.120503652039325
1739209654.4456086;-45.120503652039325
1739209654.4456158;-32.816014438256545
1739209654.445623;-38.13080360867914
1739209654.4456303;-29.438486411369333
1739209654.4456375;-35.57807855764607
1739209654.4456446;-45.120503652039325
1739209654.445652;-45.120503652039325
1739209654.4456592;-38.13080360867914
1739209654.4456663;-38.13080360867914
1739209654.4456737;-45.120503652039325
1739209654.4456809;-45.120503652039325
1739209654.4456882;-45.120503652039325
1739209654.4456954;-45.120503652039325
1739209654.4457026;-33.981070128970906
1739209654.44571;-45.120503652039325
1739209654.445717;-45.120503652039325
1739209654.4457242;-38.13080360867914
1739209654.4457316;-38.13080360867914
1739209654.4457388;-35.57807855764607
1739209654.445746;-45.120503652039325
1739209654.4457533;-45.120503652039325
1739209654.4457605;-33.981070128970906
1739209654.4457676;-45.120503652039325
1739209654.445775;-45.120503652039325
1739209654.4457822;-45.120503652039325
1739209654.4457893;-45.120503652039325
1739209654.4457967;-45.120503652039325
1739209654.4458039;-30.49652367304973
1739209654.4458113;-31.141103565318893
1739209654.4458184;-45.120503652039325
1739209654.4458256;-38.13080360867914
1739209654.445833;-38.13080360867914
1739209654.4458401;-38.13080360867914
1739209654.4458473;-45.120503652039325
1739209654.4458547;-33.981070128970906
1739209654.4458618;-45.120503652039325
1739209654.445869;-38.13080360867914
1739209654.4458764;-35.57807855764607
1739209654.4458835;-38.13080360867914
1739209654.4458907;-38.13080360867914
1739209654.445898;-38.13080360867914
1739209654.4459052;-38.13080360867914
1739209654.4459124;-38.13080360867914
1739209654.4459198;-38.13080360867914
1739209654.445927;-35.57807855764607
1739209654.4459343;-45.120503652039325
1739209654.4459414;-38.13080360867914
1739209654.4459486;-45.120503652039325
1739209654.445956;-45.120503652039325
1739209654.4459631;-35.57807855764607
1739209654.4459703;-35.57807855764607
1739209654.4459777;-38.13080360867914
1739209654.4459848;-45.120503652039325
1739209654.445992;-38.13080360867914
1739209654.4459994;-38.13080360867914
1739209654.4460065;-38.13080360867914
1739209654.4460137;-38.13080360867914
1739209654.446021;-38.13080360867914
1739209654.4460282;-38.13080360867914
1739209654.4460354;-45.120503652039325
1739209654.4460428;-45.120503652039325
1739209654.44605;-35.57807855764607
1739209654.446057;-38.13080360867914
1739209654.4460645;-45.120503652039325
1739209654.4460716;-45.120503652039325
1739209654.446079;-38.13080360867914
1739209654.4460862;-45.120503652039325
1739209654.4460933;-38.13080360867914
1739209654.4461007;-32.816014438256545
1739209654.4461079;-35.57807855764607
1739209654.446115;-35.57807855764607
1739209654.4461224;-45.120503652039325
1739209654.4461296;-38.13080360867914
1739209654.4461367;-45.120503652039325
1739209654.446144;-38.13080360867914
1739209654.4461513;-45.120503652039325
1739209654.4461584;-45.120503652039325
1739209654.4461658;-38.13080360867914
1739209654.446173;-38.13080360867914
1739209654.44618;-45.120503652039325
1739209654.4461875;-45.120503652039325
1739209654.4461946;-38.13080360867914
1739209654.446202;-38.13080360867914
1739209654.4462092;-38.13080360867914
1739209654.4462163;-38.13080360867914
1739209654.4462237;-35.57807855764607
1739209654.446231;-38.13080360867914
1739209654.446238;-45.120503652039325
1739209654.4462454;-45.120503652039325
1739209654.4462526;-45.120503652039325
1739209654.4462597;-38.13080360867914
1739209654.4462671;-45.120503652039325
1739209654.4462743;-45.120503652039325
1739209654.4462814;-33.981070128970906
1739209654.4462888;-45.120503652039325
1739209654.446296;-45.120503652039325
1739209654.4463031;-38.13080360867914
1739209654.4463105;-38.13080360867914
1739209654.4463177;-45.120503652039325
1739209654.446325;-38.13080360867914
1739209654.4463322;-45.120503652039325
1739209654.4463394;-45.120503652039325
1739209654.4463468;-38.13080360867914
1739209654.446354;-45.120503652039325
1739209654.446361;-45.120503652039325
1739209654.4463685;-38.13080360867914
1739209654.4463756;-35.57807855764607
1739209654.4463828;-45.120503652039325
1739209654.4463902;-38.13080360867914
1739209654.4463973;-33.981070128970906
1739209654.4464045;-45.120503652039325
1739209654.4464118;-45.120503652039325
1739209654.446419;-45.120503652039325
1739209654.4464262;-38.13080360867914
1739209654.4464335;-38.13080360867914
1739209654.4464407;-45.120503652039325
1739209654.446448;-45.120503652039325
1739209654.4464552;-38.13080360867914
1739209654.4464624;-38.13080360867914
1739209654.4464698;-45.120503652039325
1739209654.446477;-33.981070128970906
1739209654.446484;-45.120503652039325
1739209654.4464915;-45.120503652039325
1739209654.4464986;-45.120503652039325
1739209654.4465058;-45.120503652039325
1739209654.4465132;-45.120503652039325
1739209654.4465203;-38.13080360867914
1739209654.4465275;-45.120503652039325
1739209654.4465349;-38.13080360867914
1739209654.446542;-38.13080360867914
1739209654.4465492;-38.13080360867914
1739209654.4465566;-38.13080360867914
1739209654.4465637;-38.13080360867914
1739209654.446571;-33.981070128970906
1739209654.4465783;-45.120503652039325
1739209654.4465854;-38.13080360867914
1739209654.4465928;-38.13080360867914
1739209654.4466;-38.13080360867914
1739209654.446607;-38.13080360867914
1739209654.4466145;-45.120503652039325
1739209654.4466217;-45.120503652039325
1739209654.4466288;-33.981070128970956
1739209654.4466362;-38.13080360867914
1739209654.4466434;-38.13080360867914
1739209654.4466505;-45.120503652039325
1739209654.446658;-38.13080360867914
1739209654.446665;-32.816014438256545
1739209654.4466722;-45.120503652039325
1739209654.4466796;-38.13080360867914
1739209654.4466867;-26.991370085610722
1739209654.4466941;-38.13080360867914
1739209654.4467013;-45.120503652039325
1739209654.4467084;-38.13080360867914
