CAN Message; 0x1a7:0000734b8f42d3a9
Timestamp;Amplitude
1739209685.0246482;-35.57807855764607
1739209685.0246518;-28.992665084841942
1739209685.0246553;-38.13080360867914
1739209685.024659;-38.13080360867914
1739209685.0246625;-35.57807855764607
1739209685.024666;-32.816014438256545
1739209685.02467;-38.13080360867914
1739209685.0246735;-38.13080360867914
1739209685.024677;-45.120503652039325
1739209685.0246806;-31.141103565318915
1739209685.0246842;-38.13080360867914
1739209685.0246878;-38.13080360867914
1739209685.0246913;-38.13080360867914
1739209685.024695;-38.13080360867914
1739209685.0246985;-45.120503652039325
1739209685.024702;-45.120503652039325
1739209685.0247056;-38.13080360867914
1739209685.0247092;-35.57807855764607
1739209685.0247128;-45.120503652039325
1739209685.0247164;-45.120503652039325
1739209685.0247202;-38.13080360867914
1739209685.0247238;-45.120503652039325
1739209685.0247273;-45.120503652039325
1739209685.024731;-45.120503652039325
1739209685.0247345;-33.981070128970906
1739209685.024738;-28.992665084841942
1739209685.0247416;-38.13080360867914
1739209685.0247452;-45.120503652039325
1739209685.0247488;-38.13080360867914
1739209685.0247524;-38.13080360867914
1739209685.024756;-38.13080360867914
1739209685.0247595;-45.120503652039325
1739209685.024763;-38.13080360867914
1739209685.024767;-45.120503652039325
1739209685.0247705;-38.13080360867914
1739209685.024774;-38.13080360867914
1739209685.0247777;-38.13080360867914
1739209685.0247812;-33.981070128970906
1739209685.0247848;-45.120503652039325
1739209685.0247884;-45.120503652039325
1739209685.024792;-38.13080360867914
1739209685.0247955;-45.120503652039325
1739209685.024799;-45.120503652039325
1739209685.0248027;-45.120503652039325
1739209685.0248063;-32.816014438256545
1739209685.0248098;-45.120503652039325
1739209685.0248134;-45.120503652039325
1739209685.0248172;-45.120503652039325
1739209685.0248208;-38.13080360867914
1739209685.0248244;-33.981070128970906
1739209685.024828;-35.57807855764607
1739209685.0248315;-38.13080360867914
1739209685.024835;-38.13080360867914
1739209685.0248387;-33.981070128970906
1739209685.0248423;-35.57807855764607
1739209685.0248458;-38.13080360867914
1739209685.0248494;-35.57807855764607
1739209685.024853;-38.13080360867914
1739209685.0248566;-45.120503652039325
1739209685.0248601;-45.120503652039325
1739209685.024864;-45.120503652039325
1739209685.0248675;-38.13080360867914
1739209685.024871;-45.120503652039325
1739209685.0248747;-38.13080360867914
1739209685.0248783;-38.13080360867914
1739209685.0248818;-38.13080360867914
1739209685.0248854;-38.13080360867914
1739209685.024889;-38.13080360867914
1739209685.0248926;-38.13080360867914
1739209685.0248961;-38.13080360867914
1739209685.0248997;-38.13080360867914
1739209685.0249033;-45.120503652039325
1739209685.0249069;-38.13080360867914
1739209685.0249104;-38.13080360867914
1739209685.0249143;-35.57807855764607
1739209685.0249178;-38.13080360867914
1739209685.0249214;-38.13080360867914
1739209685.024925;-33.981070128970906
1739209685.0249286;-38.13080360867914
1739209685.0249321;-38.13080360867914
1739209685.0249357;-45.120503652039325
1739209685.0249393;-45.120503652039325
1739209685.0249429;-45.120503652039325
1739209685.0249465;-45.120503652039325
1739209685.02495;-45.120503652039325
1739209685.0249536;-35.57807855764607
1739209685.0249572;-45.120503652039325
1739209685.024961;-33.981070128970906
1739209685.0249646;-38.13080360867914
1739209685.0249681;-38.13080360867914
1739209685.0249717;-32.816014438256545
1739209685.0249753;-35.57807855764607
1739209685.0249789;-45.120503652039325
1739209685.0249825;-35.57807855764607
1739209685.024986;-38.13080360867914
1739209685.0249896;-45.120503652039325
1739209685.0249932;-45.120503652039325
1739209685.0249968;-38.13080360867914
