CAN Message; 0x1a7:0000fee1dc1cd597
Timestamp;Amplitude
1739209805.3169775;-32.816014438256545
1739209805.3169854;-33.981070128970906
1739209805.3169932;-33.981070128970906
1739209805.317001;-45.120503652039325
1739209805.317009;-45.120503652039325
1739209805.3170168;-38.13080360867914
1739209805.3170247;-38.13080360867914
1739209805.3170326;-45.120503652039325
1739209805.3170404;-45.120503652039325
1739209805.3170483;-38.13080360867914
1739209805.3170562;-45.120503652039325
1739209805.317064;-45.120503652039325
1739209805.317072;-32.816014438256545
1739209805.3170798;-32.816014438256545
1739209805.3170877;-45.120503652039325
1739209805.3170955;-38.13080360867914
1739209805.3171034;-45.120503652039325
1739209805.3171113;-38.13080360867914
1739209805.3171191;-38.13080360867914
1739209805.317127;-33.981070128970906
1739209805.3171349;-45.120503652039325
1739209805.3171427;-45.120503652039325
1739209805.3171506;-35.57807855764607
1739209805.3171585;-32.816014438256545
1739209805.3171663;-45.120503652039325
1739209805.3171742;-45.120503652039325
1739209805.317182;-32.816014438256545
1739209805.31719;-38.13080360867914
1739209805.3171978;-45.120503652039325
1739209805.3172057;-38.13080360867914
1739209805.3172135;-45.120503652039325
1739209805.3172214;-38.13080360867914
1739209805.3172293;-45.120503652039325
1739209805.3172371;-38.13080360867914
1739209805.317245;-38.13080360867914
1739209805.3172529;-38.13080360867914
1739209805.3172607;-45.120503652039325
1739209805.3172686;-45.120503652039325
1739209805.3172765;-28.992665084841942
1739209805.3172846;-38.13080360867914
1739209805.3172925;-38.13080360867914
1739209805.3173003;-38.13080360867914
1739209805.3173082;-31.141103565318915
1739209805.317316;-33.981070128970906
1739209805.317324;-45.120503652039325
1739209805.3173318;-45.120503652039325
1739209805.3173397;-29.438486411369333
1739209805.3173475;-32.816014438256545
1739209805.3173554;-45.120503652039325
1739209805.3173633;-45.120503652039325
1739209805.3173711;-45.120503652039325
1739209805.317379;-45.120503652039325
1739209805.3173869;-45.120503652039325
1739209805.3173947;-45.120503652039325
1739209805.3174026;-38.13080360867914
1739209805.3174105;-45.120503652039325
1739209805.3174183;-45.120503652039325
1739209805.3174262;-45.120503652039325
1739209805.317434;-45.120503652039325
1739209805.317442;-35.57807855764607
1739209805.3174498;-35.57807855764607
1739209805.3174577;-45.120503652039325
1739209805.3174655;-29.438486411369333
1739209805.3174734;-33.981070128970906
1739209805.3174813;-38.13080360867914
1739209805.3174891;-45.120503652039325
1739209805.317497;-32.816014438256545
1739209805.317505;-38.13080360867914
1739209805.3175128;-45.120503652039325
1739209805.3175206;-32.816014438256545
1739209805.3175285;-45.120503652039325
1739209805.3175364;-45.120503652039325
1739209805.3175442;-45.120503652039325
1739209805.317552;-38.13080360867914
1739209805.31756;-45.120503652039325
1739209805.3175678;-45.120503652039325
1739209805.3175757;-45.120503652039325
1739209805.3175836;-31.141103565318915
1739209805.3175914;-38.13080360867914
1739209805.3175993;-45.120503652039325
