CAN Message; 0x1d3:0000a55efe9fc831
Timestamp;Amplitude
1739209762.3082757;-38.13080360867914
1739209762.308286;-45.120503652039325
1739209762.3082964;-45.120503652039325
1739209762.3083067;-45.120503652039325
1739209762.3083172;-38.13080360867914
1739209762.3083277;-45.120503652039325
1739209762.308338;-35.57807855764607
1739209762.3083484;-30.49652367304976
1739209762.3083587;-38.13080360867914
1739209762.3083692;-38.13080360867914
1739209762.3083797;-45.120503652039325
1739209762.30839;-38.13080360867914
1739209762.3084004;-38.13080360867914
1739209762.308411;-38.13080360867914
1739209762.3084211;-45.120503652039325
1739209762.3084316;-31.141103565318915
1739209762.3084419;-32.816014438256545
1739209762.3084524;-38.13080360867914
1739209762.3084629;-38.13080360867914
1739209762.308473;-45.120503652039325
1739209762.3084836;-35.57807855764607
1739209762.3084939;-35.57807855764607
1739209762.3085043;-38.13080360867914
1739209762.3085148;-38.13080360867914
1739209762.308525;-33.981070128970906
1739209762.3085356;-38.13080360867914
1739209762.3085458;-45.120503652039325
1739209762.3085563;-45.120503652039325
1739209762.3085668;-45.120503652039325
1739209762.308577;-45.120503652039325
1739209762.3085876;-38.13080360867914
1739209762.308598;-33.981070128970906
1739209762.3086083;-38.13080360867914
1739209762.3086188;-38.13080360867914
1739209762.308629;-45.120503652039325
1739209762.3086395;-45.120503652039325
1739209762.30865;-38.13080360867914
1739209762.3086603;-38.13080360867914
1739209762.3086708;-38.13080360867914
1739209762.308681;-31.141103565318915
1739209762.3086915;-33.981070128970906
1739209762.308702;-38.13080360867914
1739209762.3087122;-38.13080360867914
1739209762.3087227;-33.981070128970906
1739209762.308733;-38.13080360867914
1739209762.3087435;-45.120503652039325
1739209762.308754;-45.120503652039325
1739209762.3087642;-38.13080360867914
1739209762.3087747;-45.120503652039325
1739209762.308785;-45.120503652039325
1739209762.3087955;-38.13080360867914
1739209762.308806;-33.981070128970906
1739209762.3088162;-45.120503652039325
1739209762.3088267;-38.13080360867914
1739209762.3088372;-45.120503652039325
1739209762.3088474;-45.120503652039325
1739209762.308858;-45.120503652039325
1739209762.3088682;-45.120503652039325
1739209762.3088787;-38.13080360867914
1739209762.3088892;-38.13080360867914
1739209762.3088994;-45.120503652039325
1739209762.30891;-45.120503652039325
1739209762.3089201;-45.120503652039325
1739209762.3089306;-33.981070128970906
1739209762.3089411;-38.13080360867914
1739209762.3089514;-38.13080360867914
1739209762.3089619;-38.13080360867914
1739209762.3089721;-45.120503652039325
1739209762.3089826;-32.816014438256545
1739209762.308993;-38.13080360867914
1739209762.3090034;-38.13080360867914
1739209762.3090138;-35.57807855764607
1739209762.309024;-38.13080360867914
1739209762.3090346;-38.13080360867914
1739209762.309045;-45.120503652039325
1739209762.3090553;-45.120503652039325
1739209762.3090658;-38.13080360867914
1739209762.3090763;-33.981070128970906
1739209762.3090866;-45.120503652039325
1739209762.309097;-45.120503652039325
1739209762.3091073;-45.120503652039325
1739209762.3091178;-45.120503652039325
1739209762.3091283;-45.120503652039325
1739209762.3091385;-38.13080360867914
1739209762.309149;-33.981070128970906
1739209762.3091593;-38.13080360867914
1739209762.3091698;-45.120503652039325
1739209762.3091803;-45.120503652039325
1739209762.3091905;-30.49652367304973
1739209762.309201;-35.57807855764607
1739209762.3092113;-45.120503652039325
1739209762.3092217;-45.120503652039325
1739209762.3092322;-35.57807855764607
1739209762.3092425;-32.816014438256545
1739209762.309253;-45.120503652039325
1739209762.3092632;-38.13080360867914
1739209762.3092737;-45.120503652039325
1739209762.3092842;-45.120503652039325
1739209762.3092945;-45.120503652039325
1739209762.309305;-45.120503652039325
1739209762.3093154;-45.120503652039325
1739209762.3093257;-45.120503652039325
1739209762.3093362;-35.57807855764607
1739209762.3093464;-38.13080360867914
1739209762.309357;-32.816014438256545
1739209762.3093674;-38.13080360867914
1739209762.3093777;-38.13080360867914
1739209762.3093882;-45.120503652039325
1739209762.3093984;-32.816014438256545
1739209762.309409;-32.816014438256545
1739209762.3094194;-38.13080360867914
1739209762.3094296;-45.120503652039325
1739209762.3094401;-38.13080360867914
1739209762.3094504;-45.120503652039325
1739209762.3094609;-45.120503652039325
1739209762.3094714;-38.13080360867914
1739209762.3094816;-45.120503652039325
1739209762.309492;-45.120503652039325
1739209762.3095026;-38.13080360867914
1739209762.3095129;-45.120503652039325
1739209762.3095233;-38.13080360867914
1739209762.3095336;-45.120503652039325
1739209762.309544;-45.120503652039325
1739209762.3095546;-45.120503652039325
1739209762.3095648;-32.816014438256545
1739209762.3095753;-32.816014438256545
1739209762.3095856;-45.120503652039325
1739209762.309596;-45.120503652039325
1739209762.3096066;-35.57807855764607
1739209762.3096168;-32.816014438256545
1739209762.3096273;-45.120503652039325
1739209762.3096375;-33.981070128970906
1739209762.309648;-45.120503652039325
1739209762.3096585;-38.13080360867914
1739209762.3096688;-45.120503652039325
1739209762.3096793;-45.120503652039325
1739209762.3096895;-45.120503652039325
1739209762.3097;-45.120503652039325
1739209762.3097105;-38.13080360867914
1739209762.3097208;-45.120503652039325
1739209762.3097312;-32.816014438256545
1739209762.3097417;-35.57807855764607
1739209762.309752;-38.13080360867914
1739209762.3097625;-45.120503652039325
1739209762.3097727;-31.141103565318893
1739209762.3097832;-27.8777449560314
1739209762.3097937;-45.120503652039325
1739209762.309804;-45.120503652039325
1739209762.3098145;-30.49652367304973
1739209762.3098247;-30.49652367304973
1739209762.3098352;-45.120503652039325
1739209762.3098457;-45.120503652039325
1739209762.309856;-38.13080360867914
1739209762.3098664;-45.120503652039325
1739209762.3098767;-45.120503652039325
1739209762.3098872;-45.120503652039325
1739209762.3098977;-38.13080360867914
1739209762.309908;-33.981070128970906
1739209762.3099184;-45.120503652039325
1739209762.309929;-45.120503652039325
1739209762.3099391;-38.13080360867914
1739209762.3099496;-45.120503652039325
1739209762.30996;-45.120503652039325
1739209762.3099704;-45.120503652039325
1739209762.3099809;-45.120503652039325
1739209762.3099911;-45.120503652039325
1739209762.3100016;-45.120503652039325
1739209762.3100119;-45.120503652039325
1739209762.3100224;-38.13080360867914
1739209762.3100328;-28.58837851428586
1739209762.310043;-45.120503652039325
1739209762.3100536;-45.120503652039325
1739209762.3100638;-38.13080360867914
1739209762.3100743;-32.816014438256545
