CAN Message; 0x39:0fada79fb1398c4e
Timestamp;Amplitude
1739209776.6019964;-38.13080360867914
1739209776.6020062;-45.120503652039325
1739209776.6020162;-45.120503652039325
1739209776.602026;-45.120503652039325
1739209776.602036;-38.13080360867914
1739209776.602046;-38.13080360867914
1739209776.6020558;-38.13080360867914
1739209776.6020658;-45.120503652039325
1739209776.6020756;-38.13080360867914
1739209776.6020856;-33.981070128970906
1739209776.6020956;-38.13080360867914
1739209776.6021054;-31.141103565318915
1739209776.6021154;-38.13080360867914
1739209776.6021252;-38.13080360867914
1739209776.6021352;-38.13080360867914
1739209776.602145;-33.981070128970906
1739209776.602155;-45.120503652039325
1739209776.602165;-45.120503652039325
1739209776.6021748;-33.981070128970906
1739209776.6021848;-32.816014438256545
1739209776.6021945;-38.13080360867914
1739209776.6022046;-38.13080360867914
1739209776.6022146;-45.120503652039325
1739209776.6022243;-33.981070128970906
1739209776.6022344;-33.981070128970906
1739209776.6022441;-45.120503652039325
1739209776.6022542;-38.13080360867914
1739209776.6022642;-31.141103565318915
1739209776.602274;-38.13080360867914
1739209776.602284;-45.120503652039325
1739209776.6022937;-35.57807855764607
1739209776.6023037;-38.13080360867914
1739209776.6023138;-38.13080360867914
1739209776.6023235;-45.120503652039325
1739209776.6023335;-45.120503652039325
1739209776.6023433;-45.120503652039325
1739209776.6023533;-38.13080360867914
1739209776.6023633;-45.120503652039325
1739209776.6023731;-45.120503652039325
1739209776.6023831;-45.120503652039325
1739209776.602393;-45.120503652039325
1739209776.602403;-38.13080360867914
1739209776.6024127;-45.120503652039325
1739209776.6024227;-38.13080360867914
1739209776.6024327;-38.13080360867914
1739209776.6024425;-38.13080360867914
1739209776.6024525;-45.120503652039325
1739209776.6024623;-45.120503652039325
1739209776.6024723;-33.981070128970906
1739209776.6024823;-45.120503652039325
1739209776.602492;-45.120503652039325
1739209776.602502;-26.991370085610722
1739209776.602512;-32.816014438256545
1739209776.602522;-45.120503652039325
1739209776.602532;-38.13080360867914
1739209776.6025417;-33.981070128970906
1739209776.6025517;-38.13080360867914
1739209776.6025615;-45.120503652039325
1739209776.6025715;-45.120503652039325
1739209776.6025815;-38.13080360867914
1739209776.6025913;-38.13080360867914
1739209776.6026013;-45.120503652039325
1739209776.602611;-45.120503652039325
1739209776.602621;-45.120503652039325
1739209776.602631;-38.13080360867914
1739209776.6026409;-38.13080360867914
1739209776.602651;-45.120503652039325
1739209776.6026607;-33.981070128970906
1739209776.6026707;-38.13080360867914
1739209776.6026804;-45.120503652039325
1739209776.6026905;-45.120503652039325
