CAN Message; 0x150:03005534f440b513
Timestamp;Amplitude
1739209887.9816825;-35.57807855764607
1739209887.981688;-35.57807855764607
1739209887.9816933;-45.120503652039325
1739209887.9816985;-38.13080360867914
1739209887.981704;-35.57807855764607
1739209887.9817092;-45.120503652039325
1739209887.9817145;-35.57807855764607
1739209887.98172;-38.13080360867914
1739209887.9817252;-45.120503652039325
1739209887.9817305;-38.13080360867914
1739209887.981736;-38.13080360867914
1739209887.9817412;-38.13080360867914
1739209887.9817467;-38.13080360867914
1739209887.981752;-38.13080360867914
1739209887.9817572;-45.120503652039325
1739209887.9817626;-35.57807855764607
1739209887.981768;-35.57807855764607
1739209887.9817731;-38.13080360867914
1739209887.9817786;-38.13080360867914
1739209887.9817839;-38.13080360867914
1739209887.981789;-38.13080360867914
1739209887.9817946;-45.120503652039325
1739209887.9817998;-45.120503652039325
1739209887.981805;-38.13080360867914
1739209887.9818106;-35.57807855764607
1739209887.9818158;-38.13080360867914
1739209887.981821;-38.13080360867914
1739209887.9818265;-33.981070128970906
1739209887.9818318;-32.816014438256545
1739209887.981837;-45.120503652039325
1739209887.9818425;-45.120503652039325
1739209887.9818478;-38.13080360867914
1739209887.981853;-31.141103565318915
1739209887.9818585;-33.981070128970906
1739209887.9818637;-45.120503652039325
1739209887.9818692;-45.120503652039325
1739209887.9818745;-45.120503652039325
1739209887.9818797;-38.13080360867914
1739209887.9818852;-45.120503652039325
1739209887.9818904;-33.981070128970906
1739209887.9818957;-33.981070128970906
1739209887.9819012;-38.13080360867914
1739209887.9819064;-45.120503652039325
1739209887.9819117;-38.13080360867914
1739209887.9819171;-35.57807855764607
1739209887.9819224;-45.120503652039325
1739209887.9819276;-45.120503652039325
1739209887.981933;-38.13080360867914
1739209887.9819384;-38.13080360867914
1739209887.9819436;-38.13080360867914
1739209887.981949;-45.120503652039325
1739209887.9819543;-45.120503652039325
1739209887.9819596;-38.13080360867914
1739209887.981965;-31.141103565318915
1739209887.9819703;-38.13080360867914
1739209887.9819756;-38.13080360867914
1739209887.981981;-35.57807855764607
1739209887.9819863;-38.13080360867914
1739209887.9819918;-45.120503652039325
1739209887.981997;-33.981070128970906
1739209887.9820023;-38.13080360867914
1739209887.9820077;-38.13080360867914
1739209887.982013;-45.120503652039325
1739209887.9820182;-45.120503652039325
1739209887.9820237;-35.57807855764607
1739209887.982029;-38.13080360867914
1739209887.9820342;-45.120503652039325
1739209887.9820397;-38.13080360867914
1739209887.982045;-38.13080360867914
1739209887.9820502;-35.57807855764607
1739209887.9820557;-38.13080360867914
1739209887.982061;-38.13080360867914
1739209887.9820662;-35.57807855764607
1739209887.9820716;-38.13080360867914
1739209887.982077;-45.120503652039325
1739209887.9820821;-45.120503652039325
1739209887.9820876;-38.13080360867914
1739209887.9820929;-38.13080360867914
1739209887.982098;-38.13080360867914
1739209887.9821036;-35.57807855764607
1739209887.9821088;-35.57807855764607
1739209887.9821143;-38.13080360867914
1739209887.9821196;-45.120503652039325
1739209887.9821248;-33.981070128970906
1739209887.9821303;-38.13080360867914
1739209887.9821355;-38.13080360867914
1739209887.9821408;-45.120503652039325
1739209887.9821463;-35.57807855764607
1739209887.9821515;-38.13080360867914
1739209887.9821568;-33.981070128970906
1739209887.9821622;-45.120503652039325
1739209887.9821675;-38.13080360867914
1739209887.9821727;-45.120503652039325
1739209887.9821782;-45.120503652039325
1739209887.9821835;-45.120503652039325
1739209887.9821887;-38.13080360867914
1739209887.9821942;-38.13080360867914
1739209887.9821994;-28.992665084841942
1739209887.9822047;-35.57807855764607
1739209887.9822102;-38.13080360867914
1739209887.9822154;-45.120503652039325
1739209887.9822206;-38.13080360867914
1739209887.9822261;-45.120503652039325
1739209887.9822314;-45.120503652039325
1739209887.9822369;-45.120503652039325
1739209887.982242;-29.438486411369354
1739209887.9822474;-38.13080360867914
1739209887.9822528;-38.13080360867914
1739209887.982258;-45.120503652039325
1739209887.9822633;-38.13080360867914
