CAN Message; 0x77:a81684432d8e59e3
Timestamp;Amplitude
1739209665.3165686;-45.120503652039325
1739209665.3165717;-33.981070128970906
1739209665.316575;-32.816014438256545
1739209665.3165784;-33.981070128970906
1739209665.3165815;-45.120503652039325
1739209665.3165848;-45.120503652039325
1739209665.3165882;-45.120503652039325
1739209665.3165913;-38.13080360867914
1739209665.3165946;-45.120503652039325
1739209665.316598;-38.13080360867914
1739209665.316601;-35.57807855764607
1739209665.3166044;-38.13080360867914
1739209665.3166077;-45.120503652039325
1739209665.3166108;-38.13080360867914
1739209665.3166142;-38.13080360867914
1739209665.3166173;-45.120503652039325
1739209665.3166206;-45.120503652039325
1739209665.316624;-33.981070128970906
1739209665.316627;-38.13080360867914
1739209665.3166304;-30.49652367304973
1739209665.3166337;-45.120503652039325
1739209665.3166368;-38.13080360867914
1739209665.3166401;-38.13080360867914
1739209665.3166435;-38.13080360867914
1739209665.3166466;-38.13080360867914
1739209665.31665;-45.120503652039325
1739209665.3166533;-38.13080360867914
1739209665.3166564;-28.992665084841942
1739209665.3166597;-45.120503652039325
1739209665.316663;-38.13080360867914
1739209665.3166661;-38.13080360867914
1739209665.3166695;-45.120503652039325
1739209665.3166728;-45.120503652039325
1739209665.316676;-45.120503652039325
1739209665.3166792;-45.120503652039325
1739209665.3166826;-32.816014438256545
1739209665.3166857;-33.981070128970906
1739209665.316689;-38.13080360867914
1739209665.3166924;-45.120503652039325
1739209665.3166955;-45.120503652039325
1739209665.3166988;-38.13080360867914
1739209665.3167021;-38.13080360867914
1739209665.3167052;-38.13080360867914
1739209665.3167086;-38.13080360867914
1739209665.3167117;-45.120503652039325
1739209665.316715;-45.120503652039325
1739209665.3167183;-45.120503652039325
1739209665.3167214;-38.13080360867914
1739209665.3167248;-35.57807855764607
1739209665.316728;-45.120503652039325
1739209665.3167312;-38.13080360867914
1739209665.3167346;-35.57807855764607
1739209665.316738;-35.57807855764607
1739209665.316741;-38.13080360867914
1739209665.3167443;-45.120503652039325
1739209665.3167477;-33.981070128970906
1739209665.3167508;-38.13080360867914
1739209665.316754;-38.13080360867914
1739209665.3167574;-45.120503652039325
1739209665.3167605;-45.120503652039325
1739209665.3167639;-32.816014438256545
1739209665.3167672;-38.13080360867914
1739209665.3167703;-45.120503652039325
1739209665.3167737;-38.13080360867914
1739209665.316777;-35.57807855764607
1739209665.31678;-38.13080360867914
1739209665.3167834;-45.120503652039325
1739209665.3167868;-33.981070128970906
1739209665.3167899;-38.13080360867914
1739209665.3167932;-45.120503652039325
1739209665.3167965;-45.120503652039325
1739209665.3167996;-38.13080360867914
1739209665.316803;-45.120503652039325
1739209665.316806;-45.120503652039325
1739209665.3168094;-45.120503652039325
1739209665.3168128;-38.13080360867914
1739209665.3168159;-38.13080360867914
1739209665.3168192;-38.13080360867914
1739209665.3168225;-45.120503652039325
1739209665.3168256;-38.13080360867914
1739209665.316829;-35.57807855764607
1739209665.3168323;-38.13080360867914
1739209665.3168354;-45.120503652039325
1739209665.3168387;-33.981070128970906
1739209665.316842;-38.13080360867914
1739209665.3168452;-38.13080360867914
1739209665.3168485;-45.120503652039325
1739209665.3168519;-45.120503652039325
1739209665.316855;-45.120503652039325
1739209665.3168583;-38.13080360867914
1739209665.3168616;-45.120503652039325
1739209665.3168647;-38.13080360867914
1739209665.316868;-38.13080360867914
1739209665.3168714;-38.13080360867914
1739209665.3168745;-45.120503652039325
1739209665.3168778;-33.981070128970906
1739209665.3168812;-35.57807855764607
1739209665.3168843;-38.13080360867914
1739209665.3168876;-38.13080360867914
1739209665.316891;-38.13080360867914
1739209665.316894;-35.57807855764607
1739209665.3168974;-38.13080360867914
1739209665.3169005;-45.120503652039325
1739209665.3169038;-45.120503652039325
1739209665.3169072;-33.981070128970906
1739209665.3169103;-35.57807855764607
1739209665.3169136;-45.120503652039325
1739209665.316917;-45.120503652039325
1739209665.31692;-45.120503652039325
1739209665.3169234;-45.120503652039325
1739209665.3169267;-45.120503652039325
1739209665.3169298;-38.13080360867914
1739209665.3169332;-33.981070128970906
1739209665.3169365;-38.13080360867914
1739209665.3169396;-38.13080360867914
1739209665.316943;-38.13080360867914
1739209665.3169463;-30.49652367304973
1739209665.3169494;-35.57807855764607
1739209665.3169527;-45.120503652039325
1739209665.316956;-38.13080360867914
1739209665.3169591;-32.816014438256545
1739209665.3169625;-38.13080360867914
1739209665.3169658;-45.120503652039325
1739209665.316969;-38.13080360867914
1739209665.3169723;-45.120503652039325
1739209665.3169756;-45.120503652039325
1739209665.3169787;-45.120503652039325
1739209665.316982;-38.13080360867914
1739209665.3169854;-38.13080360867914
1739209665.3169885;-38.13080360867914
1739209665.3169918;-45.120503652039325
1739209665.316995;-38.13080360867914
1739209665.3169982;-45.120503652039325
1739209665.3170016;-45.120503652039325
1739209665.3170047;-45.120503652039325
1739209665.317008;-38.13080360867914
1739209665.3170114;-30.49652367304973
1739209665.3170145;-38.13080360867914
1739209665.3170178;-45.120503652039325
1739209665.3170211;-45.120503652039325
1739209665.3170242;-28.58837851428586
1739209665.3170276;-33.981070128970906
1739209665.317031;-45.120503652039325
1739209665.317034;-45.120503652039325
1739209665.3170373;-38.13080360867914
1739209665.3170407;-38.13080360867914
1739209665.3170438;-45.120503652039325
1739209665.317047;-45.120503652039325
1739209665.3170505;-38.13080360867914
1739209665.3170536;-45.120503652039325
1739209665.317057;-38.13080360867914
