CAN Message; 0x1a7:00009626123811d5
Timestamp;Amplitude
1739209742.1306028;-45.120503652039325
1739209742.13061;-35.57807855764607
1739209742.1306171;-38.13080360867914
1739209742.130624;-45.120503652039325
1739209742.1306312;-35.57807855764607
1739209742.1306384;-33.981070128970906
1739209742.1306455;-32.816014438256545
1739209742.1306527;-45.120503652039325
1739209742.1306598;-38.13080360867914
1739209742.1306667;-38.13080360867914
1739209742.130674;-38.13080360867914
1739209742.130681;-45.120503652039325
1739209742.1306882;-38.13080360867914
1739209742.1306953;-32.816014438256545
1739209742.1307025;-38.13080360867914
1739209742.1307094;-45.120503652039325
1739209742.1307166;-38.13080360867914
1739209742.1307237;-35.57807855764607
1739209742.1307309;-45.120503652039325
1739209742.130738;-38.13080360867914
1739209742.1307452;-45.120503652039325
1739209742.130752;-38.13080360867914
1739209742.1307592;-33.981070128970906
1739209742.1307664;-45.120503652039325
1739209742.1307735;-45.120503652039325
1739209742.1307807;-45.120503652039325
1739209742.1307878;-45.120503652039325
1739209742.1307948;-45.120503652039325
1739209742.130802;-45.120503652039325
1739209742.130809;-45.120503652039325
1739209742.1308162;-45.120503652039325
1739209742.1308234;-45.120503652039325
1739209742.1308305;-38.13080360867914
1739209742.1308374;-45.120503652039325
1739209742.1308446;-45.120503652039325
1739209742.1308517;-45.120503652039325
1739209742.130859;-45.120503652039325
1739209742.130866;-45.120503652039325
1739209742.1308732;-45.120503652039325
1739209742.13088;-45.120503652039325
1739209742.1308873;-45.120503652039325
1739209742.1308944;-45.120503652039325
1739209742.1309016;-45.120503652039325
1739209742.1309087;-35.57807855764607
1739209742.1309159;-35.57807855764607
1739209742.1309228;-45.120503652039325
1739209742.13093;-45.120503652039325
1739209742.130937;-45.120503652039325
1739209742.1309443;-33.981070128970906
1739209742.1309514;-38.13080360867914
1739209742.1309586;-45.120503652039325
1739209742.1309655;-33.981070128970906
1739209742.1309726;-38.13080360867914
1739209742.1309798;-38.13080360867914
1739209742.130987;-38.13080360867914
1739209742.130994;-38.13080360867914
1739209742.1310012;-45.120503652039325
1739209742.1310081;-45.120503652039325
1739209742.1310153;-38.13080360867914
1739209742.1310225;-38.13080360867914
1739209742.1310296;-38.13080360867914
1739209742.1310368;-33.981070128970906
1739209742.131044;-45.120503652039325
1739209742.1310508;-38.13080360867914
1739209742.131058;-35.57807855764607
1739209742.1310651;-45.120503652039325
1739209742.1310723;-45.120503652039325
1739209742.1310794;-38.13080360867914
1739209742.1310866;-33.981070128970906
1739209742.1310935;-30.49652367304973
1739209742.1311007;-45.120503652039325
1739209742.1311078;-38.13080360867914
1739209742.131115;-31.141103565318915
1739209742.131122;-35.57807855764607
1739209742.1311293;-38.13080360867914
1739209742.1311362;-33.981070128970906
1739209742.1311433;-33.981070128970906
1739209742.1311505;-28.992665084841942
1739209742.1311576;-45.120503652039325
1739209742.1311648;-45.120503652039325
1739209742.131172;-38.13080360867914
1739209742.1311789;-33.981070128970906
1739209742.131186;-38.13080360867914
1739209742.1311932;-38.13080360867914
1739209742.1312003;-38.13080360867914
1739209742.1312075;-38.13080360867914
1739209742.1312146;-38.13080360867914
1739209742.1312215;-38.13080360867914
1739209742.1312287;-45.120503652039325
1739209742.1312358;-38.13080360867914
1739209742.131243;-35.57807855764607
1739209742.1312501;-45.120503652039325
