CAN Message; 0x1bb:000018133352eb61
Timestamp;Amplitude
1739209892.6925423;-38.13080360867914
1739209892.692547;-38.13080360867914
1739209892.692552;-33.981070128970956
1739209892.6925569;-45.120503652039325
1739209892.6925619;-38.13080360867914
1739209892.6925666;-45.120503652039325
1739209892.6925716;-45.120503652039325
1739209892.6925764;-45.120503652039325
1739209892.6925814;-38.13080360867914
1739209892.6925864;-45.120503652039325
1739209892.6925912;-31.141103565318915
1739209892.6925962;-31.141103565318893
1739209892.692601;-38.13080360867914
1739209892.692606;-45.120503652039325
1739209892.6926107;-33.981070128970906
1739209892.6926157;-35.57807855764607
1739209892.6926205;-45.120503652039325
1739209892.6926255;-45.120503652039325
1739209892.6926303;-45.120503652039325
1739209892.6926353;-38.13080360867914
1739209892.6926403;-38.13080360867914
1739209892.692645;-45.120503652039325
1739209892.69265;-38.13080360867914
1739209892.6926548;-38.13080360867914
1739209892.6926599;-38.13080360867914
1739209892.6926646;-38.13080360867914
1739209892.6926696;-35.57807855764607
1739209892.6926744;-38.13080360867914
1739209892.6926794;-38.13080360867914
1739209892.6926844;-38.13080360867914
1739209892.6926892;-38.13080360867914
1739209892.6926942;-35.57807855764607
1739209892.692699;-38.13080360867914
1739209892.692704;-45.120503652039325
1739209892.6927087;-32.816014438256545
1739209892.6927137;-26.035653463252796
1739209892.6927185;-38.13080360867914
1739209892.6927235;-45.120503652039325
1739209892.6927283;-35.57807855764607
1739209892.6927333;-32.816014438256545
1739209892.6927383;-45.120503652039325
1739209892.692743;-45.120503652039325
1739209892.692748;-45.120503652039325
1739209892.6927528;-38.13080360867914
1739209892.6927578;-45.120503652039325
1739209892.6927626;-45.120503652039325
1739209892.6927676;-45.120503652039325
1739209892.6927724;-38.13080360867914
1739209892.6927774;-38.13080360867914
1739209892.6927824;-45.120503652039325
1739209892.6927872;-38.13080360867914
1739209892.6927922;-31.141103565318893
1739209892.692797;-45.120503652039325
1739209892.692802;-45.120503652039325
1739209892.6928067;-45.120503652039325
1739209892.6928117;-45.120503652039325
1739209892.6928165;-45.120503652039325
1739209892.6928215;-45.120503652039325
1739209892.6928263;-45.120503652039325
1739209892.6928313;-45.120503652039325
1739209892.6928363;-45.120503652039325
1739209892.692841;-45.120503652039325
1739209892.692846;-45.120503652039325
1739209892.6928508;-35.57807855764607
1739209892.6928558;-45.120503652039325
1739209892.6928606;-45.120503652039325
1739209892.6928656;-38.13080360867914
1739209892.6928704;-45.120503652039325
1739209892.6928754;-38.13080360867914
1739209892.6928804;-38.13080360867914
1739209892.6928852;-45.120503652039325
1739209892.6928902;-45.120503652039325
1739209892.692895;-38.13080360867914
1739209892.6929;-45.120503652039325
1739209892.6929047;-35.57807855764607
1739209892.6929097;-35.57807855764607
1739209892.6929145;-45.120503652039325
1739209892.6929195;-45.120503652039325
1739209892.6929245;-45.120503652039325
1739209892.6929293;-38.13080360867914
1739209892.6929343;-45.120503652039325
1739209892.692939;-38.13080360867914
1739209892.692944;-45.120503652039325
1739209892.6929488;-45.120503652039325
1739209892.6929538;-35.57807855764607
1739209892.6929586;-38.13080360867914
1739209892.6929636;-38.13080360867914
1739209892.6929684;-38.13080360867914
1739209892.6929734;-38.13080360867914
1739209892.6929784;-38.13080360867914
1739209892.6929832;-45.120503652039325
1739209892.6929882;-33.981070128970906
1739209892.692993;-35.57807855764607
1739209892.692998;-35.57807855764607
1739209892.6930027;-38.13080360867914
1739209892.6930077;-45.120503652039325
1739209892.6930125;-45.120503652039325
1739209892.6930175;-38.13080360867914
1739209892.6930225;-38.13080360867914
1739209892.6930273;-45.120503652039325
1739209892.6930323;-33.981070128970906
1739209892.693037;-38.13080360867914
1739209892.693042;-38.13080360867914
1739209892.6930468;-33.981070128970906
1739209892.6930518;-33.981070128970906
1739209892.6930566;-45.120503652039325
1739209892.6930616;-38.13080360867914
1739209892.6930664;-45.120503652039325
1739209892.6930714;-38.13080360867914
1739209892.6930764;-33.981070128970906
1739209892.6930811;-38.13080360867914
1739209892.6930861;-45.120503652039325
1739209892.693091;-38.13080360867914
1739209892.693096;-38.13080360867914
1739209892.6931007;-33.981070128970906
1739209892.6931057;-45.120503652039325
1739209892.6931105;-38.13080360867914
1739209892.6931155;-38.13080360867914
1739209892.6931205;-38.13080360867914
1739209892.6931252;-45.120503652039325
1739209892.6931303;-45.120503652039325
1739209892.693135;-38.13080360867914
1739209892.69314;-45.120503652039325
1739209892.6931448;-38.13080360867914
1739209892.6931498;-33.981070128970906
1739209892.6931546;-45.120503652039325
1739209892.6931596;-45.120503652039325
1739209892.6931643;-38.13080360867914
1739209892.6931694;-35.57807855764607
1739209892.6931744;-38.13080360867914
1739209892.6931791;-45.120503652039325
1739209892.6931841;-38.13080360867914
1739209892.693189;-30.49652367304973
1739209892.693194;-35.57807855764607
1739209892.6931987;-45.120503652039325
1739209892.6932037;-45.120503652039325
1739209892.6932085;-38.13080360867914
1739209892.6932135;-38.13080360867914
1739209892.6932185;-38.13080360867914
1739209892.6932232;-45.120503652039325
1739209892.6932282;-28.58837851428586
1739209892.693233;-38.13080360867914
1739209892.693238;-38.13080360867914
1739209892.6932428;-38.13080360867914
1739209892.6932478;-38.13080360867914
1739209892.6932526;-35.57807855764607
1739209892.6932576;-45.120503652039325
1739209892.6932626;-45.120503652039325
1739209892.6932673;-38.13080360867914
1739209892.6932724;-38.13080360867914
1739209892.6932771;-45.120503652039325
1739209892.6932821;-45.120503652039325
1739209892.693287;-38.13080360867914
1739209892.693292;-38.13080360867914
1739209892.6932967;-45.120503652039325
1739209892.6933017;-45.120503652039325
