CAN Message; 0x77:855ef2c6387f06cf
Timestamp;Amplitude
1739209605.4427056;-38.13080360867914
1739209605.4427147;-45.120503652039325
1739209605.4427235;-45.120503652039325
1739209605.4427323;-28.58837851428586
1739209605.4427414;-31.141103565318893
1739209605.4427502;-45.120503652039325
1739209605.4427593;-38.13080360867914
1739209605.442768;-38.13080360867914
1739209605.442777;-45.120503652039325
1739209605.442786;-45.120503652039325
1739209605.4427948;-45.120503652039325
1739209605.4428036;-38.13080360867914
1739209605.4428127;-38.13080360867914
1739209605.4428215;-45.120503652039325
1739209605.4428306;-45.120503652039325
1739209605.4428394;-31.141103565318915
1739209605.4428482;-35.57807855764607
1739209605.4428573;-45.120503652039325
1739209605.442866;-38.13080360867914
1739209605.442875;-35.57807855764607
1739209605.442884;-38.13080360867914
1739209605.4428928;-45.120503652039325
1739209605.4429018;-38.13080360867914
1739209605.4429107;-45.120503652039325
1739209605.4429195;-38.13080360867914
1739209605.4429286;-38.13080360867914
1739209605.4429374;-45.120503652039325
1739209605.4429462;-32.816014438256545
1739209605.4429553;-38.13080360867914
1739209605.442964;-45.120503652039325
1739209605.4429731;-45.120503652039325
1739209605.442982;-38.13080360867914
1739209605.4429908;-38.13080360867914
1739209605.4429998;-45.120503652039325
1739209605.4430087;-45.120503652039325
1739209605.4430175;-45.120503652039325
1739209605.4430265;-45.120503652039325
1739209605.4430354;-33.981070128970906
1739209605.4430444;-38.13080360867914
1739209605.4430532;-45.120503652039325
1739209605.443062;-33.981070128970906
1739209605.4430711;-38.13080360867914
1739209605.44308;-45.120503652039325
1739209605.4430888;-32.816014438256545
1739209605.4430978;-35.57807855764607
1739209605.4431067;-45.120503652039325
1739209605.4431157;-45.120503652039325
1739209605.4431245;-35.57807855764607
1739209605.4431334;-33.981070128970906
1739209605.4431424;-45.120503652039325
1739209605.4431512;-38.13080360867914
1739209605.44316;-45.120503652039325
1739209605.443169;-45.120503652039325
1739209605.443178;-33.981070128970906
1739209605.443187;-38.13080360867914
1739209605.4431958;-45.120503652039325
1739209605.4432046;-45.120503652039325
1739209605.4432137;-38.13080360867914
1739209605.4432225;-45.120503652039325
1739209605.4432313;-38.13080360867914
1739209605.4432404;-38.13080360867914
1739209605.4432492;-38.13080360867914
1739209605.4432583;-38.13080360867914
1739209605.443267;-45.120503652039325
1739209605.443276;-45.120503652039325
1739209605.443285;-45.120503652039325
1739209605.4432938;-38.13080360867914
1739209605.4433026;-38.13080360867914
1739209605.4433117;-38.13080360867914
1739209605.4433205;-38.13080360867914
1739209605.4433296;-45.120503652039325
1739209605.4433384;-45.120503652039325
1739209605.4433472;-45.120503652039325
1739209605.4433563;-45.120503652039325
1739209605.443365;-45.120503652039325
1739209605.443374;-45.120503652039325
1739209605.443383;-38.13080360867914
1739209605.4433918;-38.13080360867914
1739209605.4434009;-45.120503652039325
1739209605.4434097;-45.120503652039325
1739209605.4434185;-45.120503652039325
1739209605.4434276;-38.13080360867914
1739209605.4434364;-38.13080360867914
1739209605.4434452;-38.13080360867914
1739209605.4434543;-35.57807855764607
1739209605.443463;-38.13080360867914
1739209605.4434721;-38.13080360867914
1739209605.443481;-45.120503652039325
1739209605.4434898;-38.13080360867914
1739209605.4434988;-38.13080360867914
1739209605.4435077;-45.120503652039325
1739209605.4435165;-45.120503652039325
1739209605.4435256;-38.13080360867914
1739209605.4435344;-33.981070128970906
1739209605.4435434;-38.13080360867914
1739209605.4435523;-38.13080360867914
1739209605.443561;-45.120503652039325
1739209605.4435701;-38.13080360867914
1739209605.443579;-45.120503652039325
1739209605.4435878;-45.120503652039325
1739209605.4435968;-38.13080360867914
1739209605.4436057;-33.981070128970906
1739209605.4436147;-45.120503652039325
1739209605.4436235;-45.120503652039325
1739209605.4436324;-35.57807855764607
1739209605.4436414;-38.13080360867914
1739209605.4436502;-38.13080360867914
1739209605.443659;-38.13080360867914
1739209605.4436681;-38.13080360867914
1739209605.443677;-38.13080360867914
1739209605.443686;-45.120503652039325
1739209605.4436948;-45.120503652039325
1739209605.4437037;-45.120503652039325
1739209605.4437127;-35.57807855764607
1739209605.4437215;-38.13080360867914
1739209605.4437304;-38.13080360867914
1739209605.4437394;-45.120503652039325
1739209605.4437482;-35.57807855764607
1739209605.4437573;-35.57807855764607
1739209605.443766;-45.120503652039325
1739209605.443775;-38.13080360867914
1739209605.443784;-45.120503652039325
1739209605.4437928;-45.120503652039325
1739209605.4438016;-45.120503652039325
1739209605.4438107;-38.13080360867914
1739209605.4438195;-33.981070128970906
1739209605.4438286;-38.13080360867914
1739209605.4438374;-45.120503652039325
1739209605.4438462;-38.13080360867914
1739209605.4438553;-38.13080360867914
1739209605.443864;-45.120503652039325
1739209605.443873;-45.120503652039325
1739209605.443882;-38.13080360867914
1739209605.4438908;-32.81601443825658
1739209605.4438996;-45.120503652039325
1739209605.4439087;-38.13080360867914
1739209605.4439175;-38.13080360867914
1739209605.4439266;-45.120503652039325
1739209605.4439354;-45.120503652039325
1739209605.4439442;-35.57807855764607
1739209605.4439533;-38.13080360867914
1739209605.443962;-28.992665084841942
1739209605.443971;-45.120503652039325
1739209605.44398;-38.13080360867914
1739209605.4439888;-32.816014438256545
1739209605.4439979;-38.13080360867914
1739209605.4440067;-45.120503652039325
1739209605.4440155;-33.981070128970906
1739209605.4440246;-33.981070128970906
1739209605.4440334;-32.81601443825658
1739209605.4440422;-45.120503652039325
1739209605.4440513;-45.120503652039325
1739209605.44406;-45.120503652039325
1739209605.4440691;-45.120503652039325
1739209605.444078;-38.13080360867914
1739209605.4440868;-33.981070128970906
1739209605.4440958;-38.13080360867914
1739209605.4441047;-33.981070128970906
1739209605.4441135;-38.13080360867914
1739209605.4441226;-38.13080360867914
1739209605.4441314;-35.57807855764607
1739209605.4441404;-45.120503652039325
1739209605.4441493;-45.120503652039325
1739209605.444158;-38.13080360867914
1739209605.4441671;-38.13080360867914
1739209605.444176;-45.120503652039325
1739209605.4441848;-45.120503652039325
1739209605.4441938;-38.13080360867914
1739209605.4442027;-38.13080360867914
1739209605.4442117;-38.13080360867914
1739209605.4442205;-38.13080360867914
