CAN Message; 0x150:0300a8a24089e5fd
Timestamp;Amplitude
1739209908.0932534;-45.120503652039325
1739209908.0932577;-45.120503652039325
1739209908.0932617;-45.120503652039325
1739209908.0932658;-38.13080360867914
1739209908.09327;-38.13080360867914
1739209908.093274;-45.120503652039325
1739209908.0932782;-38.13080360867914
1739209908.0932825;-35.57807855764607
1739209908.0932865;-45.120503652039325
1739209908.0932906;-35.57807855764607
1739209908.0932946;-45.120503652039325
1739209908.093299;-45.120503652039325
1739209908.093303;-33.981070128970906
1739209908.093307;-45.120503652039325
1739209908.0933113;-45.120503652039325
1739209908.0933154;-38.13080360867914
1739209908.0933194;-35.57807855764607
1739209908.0933237;-45.120503652039325
1739209908.0933278;-38.13080360867914
1739209908.0933318;-35.57807855764607
1739209908.093336;-35.57807855764607
1739209908.0933402;-38.13080360867914
1739209908.0933442;-38.13080360867914
1739209908.0933485;-33.981070128970906
1739209908.0933526;-35.57807855764607
1739209908.0933566;-38.13080360867914
1739209908.0933607;-45.120503652039325
1739209908.093365;-38.13080360867914
1739209908.093369;-38.13080360867914
1739209908.093373;-45.120503652039325
1739209908.0933774;-45.120503652039325
1739209908.0933814;-45.120503652039325
1739209908.0933855;-35.57807855764607
1739209908.0933897;-38.13080360867914
1739209908.0933938;-38.13080360867914
1739209908.0933979;-35.57807855764607
1739209908.0934021;-35.57807855764607
1739209908.0934062;-38.13080360867914
1739209908.0934103;-45.120503652039325
1739209908.0934145;-33.981070128970906
1739209908.0934186;-35.57807855764607
1739209908.0934227;-38.13080360867914
1739209908.0934267;-45.120503652039325
1739209908.093431;-45.120503652039325
1739209908.093435;-38.13080360867914
1739209908.093439;-45.120503652039325
1739209908.0934434;-45.120503652039325
1739209908.0934474;-45.120503652039325
1739209908.0934515;-35.57807855764607
1739209908.0934558;-38.13080360867914
1739209908.0934598;-45.120503652039325
1739209908.093464;-38.13080360867914
1739209908.0934682;-35.57807855764607
1739209908.0934722;-38.13080360867914
1739209908.0934763;-45.120503652039325
1739209908.0934806;-45.120503652039325
1739209908.0934846;-38.13080360867914
1739209908.0934887;-38.13080360867914
1739209908.0934927;-45.120503652039325
1739209908.093497;-38.13080360867914
1739209908.093501;-35.57807855764607
1739209908.0935051;-45.120503652039325
1739209908.0935094;-38.13080360867914
1739209908.0935135;-38.13080360867914
1739209908.0935175;-33.981070128970906
1739209908.0935218;-38.13080360867914
1739209908.093526;-45.120503652039325
1739209908.09353;-45.120503652039325
1739209908.0935342;-38.13080360867914
1739209908.0935383;-35.57807855764607
1739209908.0935423;-38.13080360867914
1739209908.0935466;-45.120503652039325
1739209908.0935507;-45.120503652039325
1739209908.0935547;-45.120503652039325
1739209908.093559;-38.13080360867914
1739209908.093563;-31.141103565318915
1739209908.0935671;-33.981070128970906
1739209908.0935712;-45.120503652039325
1739209908.0935755;-45.120503652039325
1739209908.0935795;-38.13080360867914
1739209908.0935836;-38.13080360867914
1739209908.0935879;-45.120503652039325
1739209908.093592;-45.120503652039325
1739209908.093596;-45.120503652039325
1739209908.0936003;-38.13080360867914
1739209908.0936043;-45.120503652039325
1739209908.0936084;-45.120503652039325
1739209908.0936127;-45.120503652039325
1739209908.0936167;-38.13080360867914
1739209908.0936208;-45.120503652039325
1739209908.093625;-45.120503652039325
1739209908.0936291;-35.57807855764607
1739209908.0936332;-33.981070128970906
1739209908.0936372;-45.120503652039325
1739209908.0936415;-45.120503652039325
1739209908.0936456;-35.57807855764607
1739209908.0936496;-35.57807855764607
1739209908.093654;-45.120503652039325
1739209908.093658;-45.120503652039325
1739209908.093662;-45.120503652039325
1739209908.0936663;-32.816014438256545
1739209908.0936704;-38.13080360867914
1739209908.0936744;-45.120503652039325
1739209908.0936787;-38.13080360867914
1739209908.0936828;-45.120503652039325
1739209908.0936868;-38.13080360867914
1739209908.093691;-45.120503652039325
1739209908.0936952;-45.120503652039325
1739209908.0936992;-45.120503652039325
1739209908.0937033;-38.13080360867914
1739209908.0937076;-38.13080360867914
1739209908.0937116;-38.13080360867914
1739209908.0937157;-45.120503652039325
1739209908.09372;-38.13080360867914
1739209908.093724;-45.120503652039325
1739209908.093728;-28.992665084841942
1739209908.0937324;-27.8777449560314
1739209908.0937364;-45.120503652039325
1739209908.0937405;-45.120503652039325
1739209908.0937448;-35.57807855764607
1739209908.0937488;-35.57807855764607
1739209908.0937529;-38.13080360867914
1739209908.0937572;-38.13080360867914
1739209908.0937612;-45.120503652039325
1739209908.0937653;-38.13080360867914
1739209908.0937693;-38.13080360867914
1739209908.0937736;-45.120503652039325
1739209908.0937777;-45.120503652039325
1739209908.0937817;-38.13080360867914
1739209908.093786;-38.13080360867914
1739209908.09379;-45.120503652039325
