CAN Message; 0x77:301b342c70cf04d8
Timestamp;Amplitude
1739209793.913003;-38.13080360867914
1739209793.9130092;-38.13080360867914
1739209793.9130156;-38.13080360867914
1739209793.913022;-38.13080360867914
1739209793.9130282;-45.120503652039325
1739209793.9130347;-38.13080360867914
1739209793.913041;-35.57807855764607
1739209793.9130473;-38.13080360867914
1739209793.9130538;-45.120503652039325
1739209793.91306;-45.120503652039325
1739209793.9130664;-45.120503652039325
1739209793.9130728;-38.13080360867914
1739209793.913079;-45.120503652039325
1739209793.9130855;-45.120503652039325
1739209793.913092;-38.13080360867914
1739209793.913098;-38.13080360867914
1739209793.9131045;-45.120503652039325
1739209793.913111;-38.13080360867914
1739209793.9131172;-35.57807855764607
1739209793.9131236;-38.13080360867914
1739209793.91313;-45.120503652039325
1739209793.9131362;-38.13080360867914
1739209793.9131427;-33.981070128970906
1739209793.9131489;-31.141103565318915
1739209793.9131553;-45.120503652039325
1739209793.9131618;-38.13080360867914
1739209793.913168;-38.13080360867914
1739209793.9131744;-33.981070128970906
1739209793.9131808;-45.120503652039325
1739209793.913187;-45.120503652039325
1739209793.9131935;-35.57807855764607
1739209793.9132;-33.981070128970906
1739209793.913206;-45.120503652039325
1739209793.9132125;-38.13080360867914
1739209793.913219;-45.120503652039325
1739209793.9132252;-38.13080360867914
1739209793.9132316;-33.981070128970906
1739209793.913238;-38.13080360867914
1739209793.9132442;-45.120503652039325
1739209793.9132507;-38.13080360867914
1739209793.913257;-35.57807855764607
1739209793.9132633;-45.120503652039325
1739209793.9132698;-38.13080360867914
1739209793.913276;-38.13080360867914
1739209793.9132824;-45.120503652039325
1739209793.9132888;-45.120503652039325
1739209793.913295;-45.120503652039325
1739209793.9133015;-35.57807855764607
1739209793.913308;-38.13080360867914
1739209793.913314;-45.120503652039325
1739209793.9133205;-38.13080360867914
1739209793.913327;-45.120503652039325
1739209793.9133332;-45.120503652039325
1739209793.9133396;-38.13080360867914
1739209793.913346;-33.981070128970906
1739209793.9133523;-31.141103565318915
1739209793.9133587;-32.816014438256545
1739209793.913365;-45.120503652039325
1739209793.9133713;-45.120503652039325
1739209793.9133778;-33.981070128970906
1739209793.913384;-45.120503652039325
1739209793.9133904;-38.13080360867914
1739209793.9133968;-33.981070128970906
1739209793.913403;-28.992665084841942
1739209793.9134095;-45.120503652039325
1739209793.913416;-38.13080360867914
1739209793.913422;-38.13080360867914
1739209793.9134285;-33.981070128970906
1739209793.913435;-45.120503652039325
1739209793.9134412;-38.13080360867914
1739209793.9134476;-38.13080360867914
1739209793.9134538;-28.58837851428586
1739209793.9134603;-45.120503652039325
1739209793.9134667;-38.13080360867914
1739209793.913473;-38.13080360867914
1739209793.9134793;-45.120503652039325
1739209793.9134858;-45.120503652039325
1739209793.913492;-38.13080360867914
1739209793.9134984;-35.57807855764607
1739209793.9135048;-38.13080360867914
1739209793.913511;-45.120503652039325
1739209793.9135175;-45.120503652039325
1739209793.913524;-35.57807855764607
1739209793.91353;-38.13080360867914
1739209793.9135365;-45.120503652039325
1739209793.913543;-45.120503652039325
1739209793.9135492;-38.13080360867914
1739209793.9135556;-33.981070128970906
1739209793.9135618;-38.13080360867914
1739209793.9135683;-45.120503652039325
1739209793.9135747;-38.13080360867914
1739209793.913581;-38.13080360867914
1739209793.9135873;-38.13080360867914
1739209793.9135938;-45.120503652039325
1739209793.9136;-45.120503652039325
1739209793.9136064;-28.992665084841942
1739209793.9136128;-38.13080360867914
1739209793.913619;-45.120503652039325
1739209793.9136255;-45.120503652039325
1739209793.913632;-45.120503652039325
1739209793.913638;-38.13080360867914
1739209793.9136446;-45.120503652039325
1739209793.9136508;-45.120503652039325
1739209793.9136572;-38.13080360867914
1739209793.9136636;-45.120503652039325
1739209793.9136698;-45.120503652039325
1739209793.9136763;-45.120503652039325
1739209793.9136827;-38.13080360867914
1739209793.913689;-45.120503652039325
1739209793.9136953;-45.120503652039325
1739209793.9137018;-45.120503652039325
1739209793.913708;-45.120503652039325
1739209793.9137144;-38.13080360867914
1739209793.9137208;-35.57807855764607
1739209793.913727;-38.13080360867914
1739209793.9137335;-38.13080360867914
1739209793.91374;-35.57807855764607
1739209793.913746;-38.13080360867914
1739209793.9137526;-45.120503652039325
1739209793.9137588;-38.13080360867914
1739209793.9137652;-45.120503652039325
1739209793.9137716;-45.120503652039325
1739209793.9137778;-38.13080360867914
1739209793.9137843;-45.120503652039325
1739209793.9137907;-45.120503652039325
1739209793.913797;-38.13080360867914
1739209793.9138033;-35.57807855764607
1739209793.9138098;-38.13080360867914
1739209793.913816;-45.120503652039325
1739209793.9138224;-38.13080360867914
1739209793.9138288;-38.13080360867914
1739209793.913835;-38.13080360867914
1739209793.9138415;-45.120503652039325
1739209793.9138477;-38.13080360867914
1739209793.9138541;-35.57807855764607
1739209793.9138606;-38.13080360867914
1739209793.9138668;-38.13080360867914
1739209793.9138732;-38.13080360867914
1739209793.9138796;-38.13080360867914
1739209793.9138858;-45.120503652039325
1739209793.9138923;-38.13080360867914
1739209793.9138987;-35.57807855764607
1739209793.913905;-45.120503652039325
1739209793.9139113;-45.120503652039325
1739209793.9139178;-45.120503652039325
1739209793.913924;-38.13080360867914
1739209793.9139304;-45.120503652039325
1739209793.9139369;-45.120503652039325
1739209793.913943;-45.120503652039325
1739209793.9139495;-45.120503652039325
1739209793.9139557;-45.120503652039325
1739209793.9139621;-45.120503652039325
1739209793.9139686;-32.816014438256545
1739209793.9139748;-45.120503652039325
1739209793.9139812;-45.120503652039325
1739209793.9139876;-33.981070128970906
1739209793.9139938;-30.49652367304973
1739209793.9140003;-45.120503652039325
1739209793.9140067;-45.120503652039325
1739209793.914013;-38.13080360867914
1739209793.9140193;-45.120503652039325
1739209793.9140258;-45.120503652039325
1739209793.914032;-45.120503652039325
1739209793.9140384;-38.13080360867914
1739209793.9140449;-45.120503652039325
1739209793.914051;-45.120503652039325
1739209793.9140575;-38.13080360867914
1739209793.9140637;-38.13080360867914
1739209793.9140701;-45.120503652039325
1739209793.9140766;-45.120503652039325
1739209793.9140828;-45.120503652039325
1739209793.9140892;-38.13080360867914
1739209793.9140956;-32.816014438256545
1739209793.9141018;-38.13080360867914
1739209793.9141083;-45.120503652039325
1739209793.9141147;-38.13080360867914
1739209793.914121;-25.077289914212862
1739209793.9141273;-38.13080360867914
1739209793.9141338;-45.120503652039325
1739209793.91414;-38.13080360867914
1739209793.9141464;-45.120503652039325
1739209793.9141526;-38.13080360867914
1739209793.914159;-45.120503652039325
1739209793.9141655;-38.13080360867914
1739209793.9141717;-33.981070128970956
1739209793.9141781;-45.120503652039325
1739209793.9141846;-45.120503652039325
1739209793.9141908;-45.120503652039325
1739209793.9141972;-45.120503652039325
1739209793.9142036;-38.13080360867914
1739209793.9142098;-35.57807855764607
1739209793.9142163;-35.57807855764607
1739209793.9142227;-27.8777449560314
1739209793.914229;-38.13080360867914
1739209793.9142354;-45.120503652039325
1739209793.9142418;-38.13080360867914
1739209793.914248;-35.57807855764607
1739209793.9142544;-38.13080360867914
1739209793.9142606;-38.13080360867914
1739209793.914267;-38.13080360867914
1739209793.9142735;-45.120503652039325
1739209793.9142797;-45.120503652039325
1739209793.9142861;-45.120503652039325
1739209793.9142926;-38.13080360867914
1739209793.9142988;-45.120503652039325
1739209793.9143052;-38.13080360867914
1739209793.9143116;-35.57807855764607
1739209793.9143178;-38.13080360867914
1739209793.9143243;-45.120503652039325
1739209793.9143307;-38.13080360867914
1739209793.914337;-35.57807855764607
1739209793.9143434;-38.13080360867914
1739209793.9143496;-45.120503652039325
1739209793.914356;-38.13080360867914
1739209793.9143624;-35.57807855764607
1739209793.9143686;-45.120503652039325
1739209793.914375;-31.141103565318915
1739209793.9143815;-38.13080360867914
1739209793.9143877;-45.120503652039325
1739209793.9143941;-38.13080360867914
1739209793.9144006;-45.120503652039325
1739209793.9144068;-32.816014438256545
