CAN Message; 0x1d3:0000716eef0f323e
Timestamp;Amplitude
1739209609.2915509;-38.13080360867914
1739209609.2915578;-38.13080360867914
1739209609.291565;-45.120503652039325
1739209609.2915719;-45.120503652039325
1739209609.291579;-45.120503652039325
1739209609.2915862;-38.13080360867914
1739209609.291593;-38.13080360867914
1739209609.2916002;-38.13080360867914
1739209609.2916071;-45.120503652039325
1739209609.2916143;-45.120503652039325
1739209609.2916214;-38.13080360867914
1739209609.2916284;-45.120503652039325
1739209609.2916355;-38.13080360867914
1739209609.2916424;-38.13080360867914
1739209609.2916496;-45.120503652039325
1739209609.2916567;-38.13080360867914
1739209609.2916636;-38.13080360867914
1739209609.2916708;-45.120503652039325
1739209609.2916777;-45.120503652039325
1739209609.2916849;-45.120503652039325
1739209609.291692;-38.13080360867914
1739209609.291699;-45.120503652039325
1739209609.291706;-38.13080360867914
1739209609.291713;-35.57807855764607
1739209609.2917202;-45.120503652039325
1739209609.2917273;-45.120503652039325
1739209609.2917342;-35.57807855764607
1739209609.2917414;-38.13080360867914
1739209609.2917483;-38.13080360867914
1739209609.2917554;-45.120503652039325
1739209609.2917626;-38.13080360867914
1739209609.2917695;-33.981070128970906
1739209609.2917767;-38.13080360867914
1739209609.2917836;-45.120503652039325
1739209609.2917907;-45.120503652039325
1739209609.2917979;-33.981070128970906
1739209609.2918048;-45.120503652039325
1739209609.291812;-45.120503652039325
1739209609.2918189;-35.57807855764607
1739209609.291826;-38.13080360867914
1739209609.2918332;-38.13080360867914
1739209609.29184;-45.120503652039325
1739209609.2918472;-35.57807855764607
1739209609.2918541;-33.981070128970906
1739209609.2918613;-45.120503652039325
1739209609.2918684;-45.120503652039325
1739209609.2918754;-38.13080360867914
1739209609.2918825;-38.13080360867914
1739209609.2918894;-45.120503652039325
1739209609.2918966;-38.13080360867914
1739209609.2919037;-45.120503652039325
1739209609.2919106;-45.120503652039325
1739209609.2919178;-45.120503652039325
1739209609.2919247;-45.120503652039325
1739209609.2919319;-45.120503652039325
1739209609.291939;-45.120503652039325
1739209609.291946;-38.13080360867914
1739209609.291953;-45.120503652039325
1739209609.29196;-38.13080360867914
1739209609.2919672;-38.13080360867914
1739209609.2919743;-45.120503652039325
1739209609.2919812;-45.120503652039325
1739209609.2919884;-38.13080360867914
1739209609.2919955;-32.816014438256545
1739209609.2920024;-38.13080360867914
1739209609.2920096;-45.120503652039325
1739209609.2920165;-38.13080360867914
1739209609.2920237;-35.57807855764607
1739209609.2920308;-45.120503652039325
1739209609.2920377;-45.120503652039325
1739209609.2920449;-45.120503652039325
1739209609.2920518;-45.120503652039325
1739209609.292059;-45.120503652039325
1739209609.292066;-45.120503652039325
1739209609.292073;-38.13080360867914
1739209609.2920802;-45.120503652039325
1739209609.292087;-45.120503652039325
1739209609.2920942;-45.120503652039325
1739209609.2921014;-35.57807855764607
1739209609.2921083;-35.57807855764607
1739209609.2921154;-45.120503652039325
1739209609.2921224;-45.120503652039325
1739209609.2921295;-38.13080360867914
1739209609.2921367;-35.57807855764607
1739209609.2921436;-38.13080360867914
1739209609.2921507;-38.13080360867914
1739209609.2921576;-38.13080360867914
1739209609.2921648;-45.120503652039325
1739209609.292172;-38.13080360867914
1739209609.2921789;-35.57807855764607
1739209609.292186;-45.120503652039325
1739209609.292193;-45.120503652039325
1739209609.2922;-35.57807855764607
1739209609.2922072;-35.57807855764607
1739209609.2922142;-45.120503652039325
1739209609.2922213;-45.120503652039325
1739209609.2922282;-45.120503652039325
1739209609.2922354;-45.120503652039325
1739209609.2922425;-38.13080360867914
