CAN Message; 0x150:07006c2452c63fd0
Timestamp;Amplitude
1739209874.7661579;-33.981070128970906
1739209874.76616;-35.57807855764607
1739209874.766162;-38.13080360867914
1739209874.766164;-45.120503652039325
1739209874.766166;-38.13080360867914
1739209874.7661679;-32.816014438256545
1739209874.76617;-45.120503652039325
1739209874.766172;-45.120503652039325
1739209874.766174;-45.120503652039325
1739209874.766176;-38.13080360867914
1739209874.766178;-38.13080360867914
1739209874.76618;-38.13080360867914
1739209874.766182;-38.13080360867914
1739209874.766184;-33.981070128970906
1739209874.766186;-35.57807855764607
1739209874.766188;-35.57807855764607
1739209874.76619;-38.13080360867914
1739209874.766192;-38.13080360867914
1739209874.766194;-33.981070128970906
1739209874.766196;-45.120503652039325
1739209874.766198;-38.13080360867914
1739209874.7662;-38.13080360867914
1739209874.766202;-45.120503652039325
1739209874.766204;-45.120503652039325
1739209874.766206;-45.120503652039325
1739209874.766208;-38.13080360867914
1739209874.76621;-35.57807855764607
1739209874.766212;-38.13080360867914
1739209874.7662141;-33.981070128970906
1739209874.766216;-38.13080360867914
1739209874.766218;-45.120503652039325
1739209874.76622;-45.120503652039325
1739209874.766222;-45.120503652039325
1739209874.7662241;-45.120503652039325
1739209874.766226;-33.981070128970906
1739209874.766228;-38.13080360867914
1739209874.76623;-38.13080360867914
1739209874.766232;-45.120503652039325
1739209874.7662342;-35.57807855764607
1739209874.766236;-33.981070128970906
1739209874.766238;-45.120503652039325
1739209874.7662401;-38.13080360867914
1739209874.766242;-38.13080360867914
1739209874.7662442;-45.120503652039325
1739209874.766246;-38.13080360867914
1739209874.766248;-45.120503652039325
1739209874.7662501;-38.13080360867914
1739209874.766252;-45.120503652039325
1739209874.7662542;-45.120503652039325
1739209874.766256;-45.120503652039325
1739209874.766258;-35.57807855764607
1739209874.7662601;-38.13080360867914
1739209874.766262;-45.120503652039325
1739209874.7662642;-45.120503652039325
1739209874.766266;-35.57807855764607
1739209874.766268;-35.57807855764607
1739209874.7662702;-45.120503652039325
1739209874.766272;-45.120503652039325
1739209874.7662742;-45.120503652039325
1739209874.7662761;-38.13080360867914
1739209874.766278;-38.13080360867914
1739209874.7662802;-45.120503652039325
1739209874.766282;-45.120503652039325
1739209874.766284;-45.120503652039325
1739209874.7662861;-38.13080360867914
1739209874.766288;-38.13080360867914
1739209874.7662902;-38.13080360867914
1739209874.766292;-45.120503652039325
1739209874.766294;-38.13080360867914
1739209874.7662961;-38.13080360867914
1739209874.766298;-38.13080360867914
1739209874.7663002;-45.120503652039325
1739209874.766302;-35.57807855764607
1739209874.766304;-45.120503652039325
1739209874.7663062;-38.13080360867914
1739209874.766308;-35.57807855764607
1739209874.7663102;-38.13080360867914
1739209874.7663121;-32.816014438256545
1739209874.766314;-45.120503652039325
1739209874.7663162;-38.13080360867914
1739209874.766318;-45.120503652039325
1739209874.7663202;-38.13080360867914
1739209874.7663221;-45.120503652039325
1739209874.766324;-45.120503652039325
1739209874.7663262;-38.13080360867914
1739209874.766328;-45.120503652039325
1739209874.7663302;-45.120503652039325
1739209874.7663321;-45.120503652039325
1739209874.766334;-38.13080360867914
1739209874.7663362;-45.120503652039325
1739209874.766338;-33.981070128970906
1739209874.7663403;-29.438486411369333
1739209874.7663422;-45.120503652039325
1739209874.766344;-45.120503652039325
1739209874.7663462;-35.57807855764607
1739209874.7663481;-35.57807855764607
1739209874.7663503;-38.13080360867914
1739209874.7663522;-38.13080360867914
1739209874.766354;-45.120503652039325
1739209874.7663562;-45.120503652039325
1739209874.7663581;-45.120503652039325
1739209874.7663603;-38.13080360867914
1739209874.7663622;-45.120503652039325
1739209874.766364;-45.120503652039325
1739209874.7663662;-38.13080360867914
1739209874.7663682;-38.13080360867914
1739209874.7663703;-45.120503652039325
1739209874.7663722;-45.120503652039325
1739209874.766374;-45.120503652039325
1739209874.7663763;-38.13080360867914
1739209874.7663782;-38.13080360867914
1739209874.7663803;-38.13080360867914
1739209874.7663822;-45.120503652039325
1739209874.7663841;-45.120503652039325
1739209874.7663863;-35.57807855764607
1739209874.7663882;-28.58837851428586
1739209874.7663903;-38.13080360867914
1739209874.7663922;-35.57807855764607
1739209874.7663941;-45.120503652039325
1739209874.7663963;-38.13080360867914
1739209874.7663982;-38.13080360867914
1739209874.7664003;-32.816014438256545
1739209874.7664022;-45.120503652039325
1739209874.7664042;-31.141103565318943
1739209874.7664063;-38.13080360867914
1739209874.7664082;-38.13080360867914
1739209874.7664104;-45.120503652039325
1739209874.7664123;-45.120503652039325
1739209874.7664142;-45.120503652039325
1739209874.7664163;-38.13080360867914
1739209874.7664182;-38.13080360867914
1739209874.7664204;-27.267205301931607
1739209874.7664223;-38.13080360867914
1739209874.7664242;-45.120503652039325
1739209874.7664263;-35.57807855764607
1739209874.7664282;-35.57807855764607
1739209874.7664304;-45.120503652039325
1739209874.7664323;-45.120503652039325
1739209874.7664342;-38.13080360867914
1739209874.7664363;-45.120503652039325
1739209874.7664382;-45.120503652039325
1739209874.7664404;-45.120503652039325
1739209874.7664423;-33.981070128970906
1739209874.7664442;-45.120503652039325
1739209874.7664464;-35.57807855764607
1739209874.7664483;-35.57807855764607
1739209874.7664504;-45.120503652039325
1739209874.7664523;-33.981070128970906
1739209874.7664542;-35.57807855764607
1739209874.7664564;-35.57807855764607
1739209874.7664583;-38.13080360867914
1739209874.7664604;-38.13080360867914
1739209874.7664623;-38.13080360867914
1739209874.7664642;-35.57807855764607
1739209874.7664664;-38.13080360867914
1739209874.7664683;-45.120503652039325
1739209874.7664704;-38.13080360867914
1739209874.7664723;-38.13080360867914
1739209874.7664742;-45.120503652039325
1739209874.7664764;-38.13080360867914
1739209874.7664783;-38.13080360867914
1739209874.7664804;-45.120503652039325
1739209874.7664824;-38.13080360867914
1739209874.7664843;-35.57807855764607
1739209874.7664864;-45.120503652039325
1739209874.7664883;-38.13080360867914
1739209874.7664905;-35.57807855764607
1739209874.7664924;-38.13080360867914
1739209874.7664943;-38.13080360867914
1739209874.7664964;-35.57807855764607
1739209874.7664983;-45.120503652039325
1739209874.7665005;-38.13080360867914
1739209874.7665024;-45.120503652039325
1739209874.7665043;-45.120503652039325
1739209874.7665064;-45.120503652039325
1739209874.7665083;-38.13080360867914
1739209874.7665105;-35.57807855764607
1739209874.7665124;-35.57807855764607
1739209874.7665143;-38.13080360867914
1739209874.7665164;-38.13080360867914
1739209874.7665184;-38.13080360867914
1739209874.7665205;-38.13080360867914
1739209874.7665224;-45.120503652039325
1739209874.7665243;-45.120503652039325
1739209874.7665265;-45.120503652039325
1739209874.7665284;-45.120503652039325
1739209874.7665305;-45.120503652039325
1739209874.7665324;-38.13080360867914
1739209874.7665343;-38.13080360867914
1739209874.7665365;-45.120503652039325
1739209874.7665384;-38.13080360867914
1739209874.7665405;-38.13080360867914
1739209874.7665424;-38.13080360867914
1739209874.7665443;-38.13080360867914
1739209874.7665465;-45.120503652039325
1739209874.7665484;-38.13080360867914
1739209874.7665503;-38.13080360867914
1739209874.7665524;-33.981070128970906
1739209874.7665544;-38.13080360867914
1739209874.7665565;-45.120503652039325
1739209874.7665584;-38.13080360867914
1739209874.7665603;-38.13080360867914
1739209874.7665625;-38.13080360867914
1739209874.7665644;-45.120503652039325
1739209874.7665665;-45.120503652039325
1739209874.7665684;-45.120503652039325
1739209874.7665703;-38.13080360867914
1739209874.7665725;-38.13080360867914
1739209874.7665744;-33.981070128970906
1739209874.7665765;-45.120503652039325
1739209874.7665784;-45.120503652039325
1739209874.7665803;-45.120503652039325
1739209874.7665825;-45.120503652039325
1739209874.7665844;-45.120503652039325
1739209874.7665865;-38.13080360867914
1739209874.7665884;-45.120503652039325
1739209874.7665904;-38.13080360867914
1739209874.7665925;-35.57807855764607
1739209874.7665944;-45.120503652039325
1739209874.7665966;-45.120503652039325
1739209874.7665985;-45.120503652039325
1739209874.7666004;-45.120503652039325
1739209874.7666025;-45.120503652039325
1739209874.7666044;-38.13080360867914
1739209874.7666066;-33.981070128970906
1739209874.7666085;-38.13080360867914
1739209874.7666104;-45.120503652039325
1739209874.7666125;-45.120503652039325
