CAN Message; 0x1b8:0200710181b6a1e0
Timestamp;Amplitude
1739209680.7766664;-45.120503652039325
1739209680.776669;-45.120503652039325
1739209680.7766716;-33.981070128970906
1739209680.7766745;-38.13080360867914
1739209680.7766771;-45.120503652039325
1739209680.7766798;-32.816014438256545
1739209680.7766824;-35.57807855764607
1739209680.776685;-45.120503652039325
1739209680.7766876;-45.120503652039325
1739209680.7766902;-45.120503652039325
1739209680.776693;-45.120503652039325
1739209680.7766957;-45.120503652039325
1739209680.7766984;-38.13080360867914
1739209680.776701;-45.120503652039325
1739209680.7767036;-45.120503652039325
1739209680.7767062;-45.120503652039325
1739209680.776709;-45.120503652039325
1739209680.7767117;-38.13080360867914
1739209680.7767143;-35.57807855764607
1739209680.776717;-45.120503652039325
1739209680.7767196;-45.120503652039325
1739209680.7767222;-38.13080360867914
1739209680.7767248;-38.13080360867914
1739209680.7767277;-45.120503652039325
1739209680.7767303;-38.13080360867914
1739209680.776733;-38.13080360867914
1739209680.7767355;-38.13080360867914
1739209680.7767382;-45.120503652039325
1739209680.7767408;-45.120503652039325
1739209680.7767434;-38.13080360867914
1739209680.7767463;-45.120503652039325
1739209680.776749;-38.13080360867914
1739209680.7767515;-38.13080360867914
1739209680.7767541;-35.57807855764607
1739209680.7767568;-32.816014438256545
1739209680.7767594;-45.120503652039325
1739209680.7767622;-45.120503652039325
1739209680.7767649;-45.120503652039325
1739209680.7767675;-38.13080360867914
1739209680.77677;-35.57807855764607
1739209680.7767727;-45.120503652039325
1739209680.7767754;-45.120503652039325
1739209680.776778;-38.13080360867914
1739209680.7767808;-45.120503652039325
1739209680.7767835;-45.120503652039325
1739209680.776786;-45.120503652039325
1739209680.7767887;-45.120503652039325
1739209680.7767913;-45.120503652039325
1739209680.776794;-45.120503652039325
1739209680.7767966;-45.120503652039325
1739209680.7767994;-45.120503652039325
1739209680.776802;-45.120503652039325
1739209680.7768047;-38.13080360867914
1739209680.7768073;-38.13080360867914
1739209680.77681;-38.13080360867914
1739209680.7768126;-45.120503652039325
1739209680.7768154;-38.13080360867914
1739209680.776818;-45.120503652039325
1739209680.7768207;-33.981070128970906
1739209680.7768233;-38.13080360867914
1739209680.776826;-38.13080360867914
1739209680.7768285;-45.120503652039325
1739209680.7768312;-31.141103565318915
1739209680.776834;-33.981070128970906
1739209680.7768366;-45.120503652039325
1739209680.7768393;-38.13080360867914
1739209680.7768419;-45.120503652039325
1739209680.7768445;-38.13080360867914
1739209680.7768471;-38.13080360867914
1739209680.7768497;-38.13080360867914
1739209680.7768526;-35.57807855764607
1739209680.7768552;-33.981070128970906
1739209680.7768579;-30.49652367304973
1739209680.7768605;-45.120503652039325
1739209680.776863;-45.120503652039325
1739209680.7768657;-45.120503652039325
1739209680.7768686;-38.13080360867914
1739209680.7768712;-45.120503652039325
1739209680.7768738;-31.141103565318915
1739209680.7768764;-33.981070128970906
1739209680.776879;-38.13080360867914
1739209680.7768817;-38.13080360867914
1739209680.7768843;-45.120503652039325
1739209680.7768872;-38.13080360867914
1739209680.7768898;-32.816014438256545
1739209680.7768924;-45.120503652039325
1739209680.776895;-45.120503652039325
1739209680.7768977;-33.981070128970906
1739209680.7769003;-38.13080360867914
1739209680.776903;-38.13080360867914
1739209680.7769058;-38.13080360867914
1739209680.7769084;-38.13080360867914
1739209680.776911;-35.57807855764607
1739209680.7769136;-38.13080360867914
1739209680.7769163;-35.57807855764607
1739209680.776919;-31.141103565318915
1739209680.7769215;-33.981070128970906
1739209680.7769244;-45.120503652039325
1739209680.776927;-38.13080360867914
1739209680.7769296;-45.120503652039325
1739209680.7769322;-35.57807855764607
1739209680.7769349;-38.13080360867914
1739209680.7769375;-45.120503652039325
1739209680.7769403;-33.981070128970906
1739209680.776943;-35.57807855764607
1739209680.7769456;-38.13080360867914
1739209680.7769482;-38.13080360867914
1739209680.7769508;-38.13080360867914
1739209680.7769535;-38.13080360867914
1739209680.776956;-38.13080360867914
1739209680.776959;-38.13080360867914
1739209680.7769616;-33.981070128970906
1739209680.7769642;-38.13080360867914
1739209680.7769668;-38.13080360867914
1739209680.7769694;-45.120503652039325
1739209680.776972;-32.816014438256545
1739209680.7769747;-35.57807855764607
1739209680.7769775;-45.120503652039325
1739209680.7769802;-38.13080360867914
1739209680.7769828;-38.13080360867914
1739209680.7769854;-38.13080360867914
1739209680.776988;-45.120503652039325
1739209680.7769907;-45.120503652039325
1739209680.7769935;-45.120503652039325
1739209680.7769961;-45.120503652039325
1739209680.7769988;-33.981070128970906
1739209680.7770014;-38.13080360867914
1739209680.777004;-38.13080360867914
1739209680.7770066;-45.120503652039325
1739209680.7770092;-35.57807855764607
1739209680.777012;-35.57807855764607
1739209680.7770147;-45.120503652039325
1739209680.7770174;-45.120503652039325
1739209680.77702;-45.120503652039325
1739209680.7770226;-38.13080360867914
1739209680.7770252;-45.120503652039325
1739209680.7770278;-45.120503652039325
1739209680.7770307;-32.816014438256545
1739209680.7770333;-35.57807855764607
1739209680.777036;-45.120503652039325
1739209680.7770386;-45.120503652039325
1739209680.7770412;-38.13080360867914
1739209680.7770438;-38.13080360867914
1739209680.7770467;-38.13080360867914
1739209680.7770493;-45.120503652039325
1739209680.777052;-35.57807855764607
1739209680.7770545;-35.57807855764607
1739209680.7770572;-38.13080360867914
1739209680.7770598;-35.57807855764607
1739209680.7770624;-45.120503652039325
1739209680.7770653;-45.120503652039325
1739209680.777068;-33.981070128970906
1739209680.7770705;-38.13080360867914
1739209680.7770731;-45.120503652039325
1739209680.7770758;-38.13080360867914
1739209680.7770784;-45.120503652039325
1739209680.777081;-45.120503652039325
1739209680.7770839;-45.120503652039325
1739209680.7770865;-45.120503652039325
1739209680.777089;-38.13080360867914
1739209680.7770917;-38.13080360867914
1739209680.7770944;-38.13080360867914
1739209680.777097;-38.13080360867914
1739209680.7770998;-38.13080360867914
1739209680.7771025;-38.13080360867914
1739209680.777105;-38.13080360867914
1739209680.7771077;-45.120503652039325
1739209680.7771103;-32.816014438256545
1739209680.777113;-35.57807855764607
1739209680.7771156;-38.13080360867914
1739209680.7771184;-45.120503652039325
1739209680.777121;-38.13080360867914
1739209680.7771237;-30.49652367304973
1739209680.7771263;-45.120503652039325
1739209680.777129;-45.120503652039325
1739209680.7771316;-38.13080360867914
1739209680.7771342;-45.120503652039325
1739209680.777137;-45.120503652039325
1739209680.7771397;-45.120503652039325
1739209680.7771423;-38.13080360867914
1739209680.777145;-38.13080360867914
1739209680.7771475;-38.13080360867914
1739209680.7771502;-45.120503652039325
1739209680.7771528;-38.13080360867914
1739209680.7771556;-32.816014438256545
1739209680.7771583;-45.120503652039325
1739209680.777161;-45.120503652039325
1739209680.7771635;-38.13080360867914
1739209680.7771661;-30.49652367304973
1739209680.7771688;-45.120503652039325
1739209680.7771716;-45.120503652039325
1739209680.7771742;-38.13080360867914
1739209680.7771769;-45.120503652039325
1739209680.7771795;-45.120503652039325
1739209680.777182;-35.57807855764607
1739209680.7771847;-38.13080360867914
1739209680.7771873;-45.120503652039325
1739209680.7771902;-38.13080360867914
1739209680.7771928;-45.120503652039325
1739209680.7771955;-38.13080360867914
1739209680.777198;-32.816014438256545
1739209680.7772007;-45.120503652039325
1739209680.7772033;-45.120503652039325
1739209680.777206;-32.816014438256545
1739209680.7772088;-32.816014438256545
1739209680.7772114;-38.13080360867914
1739209680.777214;-38.13080360867914
1739209680.7772167;-38.13080360867914
