CAN Message; 0x1bb:0000c2d36c42cb0e
Timestamp;Amplitude
1739209703.9301147;-45.120503652039325
1739209703.9301245;-45.120503652039325
1739209703.930134;-38.13080360867914
1739209703.9301438;-45.120503652039325
1739209703.9301534;-45.120503652039325
1739209703.9301631;-38.13080360867914
1739209703.9301727;-38.13080360867914
1739209703.9301825;-38.13080360867914
1739209703.930192;-32.816014438256545
1739209703.9302018;-35.57807855764607
1739209703.9302113;-38.13080360867914
1739209703.930221;-38.13080360867914
1739209703.9302306;-38.13080360867914
1739209703.9302404;-45.120503652039325
1739209703.93025;-38.13080360867914
1739209703.9302595;-45.120503652039325
1739209703.9302692;-38.13080360867914
1739209703.9302788;-38.13080360867914
1739209703.9302886;-45.120503652039325
1739209703.930298;-45.120503652039325
1739209703.9303079;-45.120503652039325
1739209703.9303174;-45.120503652039325
1739209703.9303272;-45.120503652039325
1739209703.9303367;-38.13080360867914
1739209703.9303465;-38.13080360867914
1739209703.930356;-45.120503652039325
1739209703.9303658;-38.13080360867914
1739209703.9303753;-45.120503652039325
1739209703.930385;-38.13080360867914
1739209703.9303946;-45.120503652039325
1739209703.9304044;-35.57807855764607
1739209703.930414;-45.120503652039325
1739209703.9304237;-32.816014438256545
1739209703.9304333;-29.438486411369333
1739209703.930443;-45.120503652039325
1739209703.9304526;-45.120503652039325
1739209703.9304624;-38.13080360867914
1739209703.930472;-45.120503652039325
1739209703.9304817;-45.120503652039325
1739209703.9304912;-45.120503652039325
1739209703.930501;-45.120503652039325
1739209703.9305105;-38.13080360867914
1739209703.9305203;-38.13080360867914
1739209703.9305298;-38.13080360867914
1739209703.9305396;-35.57807855764607
1739209703.9305491;-35.57807855764607
1739209703.930559;-45.120503652039325
1739209703.9305685;-35.57807855764607
1739209703.9305782;-45.120503652039325
1739209703.9305878;-45.120503652039325
1739209703.9305973;-38.13080360867914
1739209703.930607;-38.13080360867914
1739209703.9306166;-45.120503652039325
1739209703.9306264;-38.13080360867914
1739209703.930636;-38.13080360867914
1739209703.9306457;-38.13080360867914
1739209703.9306552;-38.13080360867914
1739209703.930665;-35.57807855764607
1739209703.9306746;-45.120503652039325
1739209703.9306843;-45.120503652039325
1739209703.9306939;-38.13080360867914
1739209703.9307036;-38.13080360867914
1739209703.9307132;-45.120503652039325
1739209703.930723;-38.13080360867914
1739209703.9307325;-45.120503652039325
1739209703.9307423;-45.120503652039325
1739209703.9307518;-33.981070128970906
1739209703.9307616;-38.13080360867914
1739209703.930771;-45.120503652039325
1739209703.930781;-35.57807855764607
1739209703.9307904;-38.13080360867914
1739209703.9308002;-45.120503652039325
1739209703.9308097;-45.120503652039325
1739209703.9308195;-45.120503652039325
1739209703.930829;-45.120503652039325
1739209703.9308388;-45.120503652039325
1739209703.9308484;-45.120503652039325
1739209703.9308581;-45.120503652039325
1739209703.9308677;-38.13080360867914
1739209703.9308774;-35.57807855764607
1739209703.930887;-45.120503652039325
1739209703.9308968;-38.13080360867914
1739209703.9309063;-38.13080360867914
1739209703.9309158;-45.120503652039325
1739209703.9309256;-38.13080360867914
1739209703.9309351;-35.57807855764607
1739209703.930945;-45.120503652039325
1739209703.9309545;-45.120503652039325
1739209703.9309642;-38.13080360867914
1739209703.9309738;-33.981070128970906
1739209703.9309835;-33.981070128970906
1739209703.930993;-45.120503652039325
1739209703.9310029;-45.120503652039325
1739209703.9310124;-45.120503652039325
1739209703.9310222;-38.13080360867914
1739209703.9310317;-45.120503652039325
1739209703.9310415;-38.13080360867914
1739209703.931051;-38.13080360867914
1739209703.9310608;-38.13080360867914
1739209703.9310703;-38.13080360867914
1739209703.93108;-38.13080360867914
1739209703.9310896;-45.120503652039325
1739209703.9310994;-45.120503652039325
1739209703.931109;-45.120503652039325
1739209703.9311187;-45.120503652039325
1739209703.9311283;-33.981070128970906
1739209703.931138;-45.120503652039325
1739209703.9311476;-45.120503652039325
1739209703.9311574;-33.981070128970906
1739209703.931167;-35.57807855764607
1739209703.9311767;-45.120503652039325
1739209703.9311862;-45.120503652039325
1739209703.931196;-45.120503652039325
1739209703.9312055;-33.981070128970906
1739209703.9312153;-33.981070128970906
1739209703.9312248;-38.13080360867914
1739209703.9312346;-38.13080360867914
1739209703.9312441;-33.981070128970906
1739209703.9312537;-32.816014438256545
1739209703.9312634;-38.13080360867914
1739209703.931273;-38.13080360867914
1739209703.9312828;-38.13080360867914
1739209703.9312923;-33.981070128970906
1739209703.931302;-45.120503652039325
1739209703.9313116;-45.120503652039325
1739209703.9313214;-45.120503652039325
1739209703.931331;-35.57807855764607
1739209703.9313407;-35.57807855764607
1739209703.9313502;-38.13080360867914
1739209703.93136;-38.13080360867914
1739209703.9313695;-33.981070128970906
1739209703.9313793;-38.13080360867914
1739209703.9313889;-38.13080360867914
1739209703.9313986;-38.13080360867914
1739209703.9314082;-38.13080360867914
1739209703.931418;-38.13080360867914
1739209703.9314275;-45.120503652039325
1739209703.9314373;-38.13080360867914
1739209703.9314468;-30.49652367304973
1739209703.9314566;-35.57807855764607
1739209703.931466;-38.13080360867914
1739209703.9314759;-38.13080360867914
1739209703.9314854;-33.981070128970906
1739209703.9314952;-45.120503652039325
1739209703.9315047;-38.13080360867914
1739209703.9315145;-32.816014438256545
1739209703.931524;-33.981070128970906
1739209703.9315338;-45.120503652039325
1739209703.9315434;-38.13080360867914
1739209703.9315531;-38.13080360867914
1739209703.9315627;-45.120503652039325
1739209703.9315724;-45.120503652039325
1739209703.931582;-33.981070128970906
1739209703.9315915;-33.981070128970906
1739209703.9316013;-38.13080360867914
1739209703.9316108;-45.120503652039325
1739209703.9316206;-38.13080360867914
1739209703.9316301;-35.57807855764607
1739209703.93164;-45.120503652039325
1739209703.9316494;-45.120503652039325
1739209703.9316592;-38.13080360867914
1739209703.9316688;-38.13080360867914
1739209703.9316785;-38.13080360867914
1739209703.931688;-45.120503652039325
1739209703.9316978;-38.13080360867914
1739209703.9317074;-33.981070128970906
1739209703.9317172;-38.13080360867914
1739209703.9317267;-38.13080360867914
1739209703.9317365;-35.57807855764607
1739209703.931746;-31.141103565318893
1739209703.9317558;-33.981070128970906
1739209703.9317653;-38.13080360867914
1739209703.931775;-38.13080360867914
1739209703.9317846;-38.13080360867914
1739209703.9317944;-38.13080360867914
1739209703.931804;-38.13080360867914
1739209703.9318137;-38.13080360867914
1739209703.9318233;-45.120503652039325
1739209703.931833;-38.13080360867914
1739209703.9318426;-45.120503652039325
1739209703.9318523;-45.120503652039325
1739209703.9318619;-45.120503652039325
1739209703.9318717;-38.13080360867914
1739209703.9318812;-32.816014438256545
1739209703.931891;-45.120503652039325
1739209703.9319005;-45.120503652039325
1739209703.93191;-38.13080360867914
1739209703.9319198;-38.13080360867914
1739209703.9319293;-45.120503652039325
1739209703.9319391;-45.120503652039325
1739209703.9319487;-45.120503652039325
1739209703.9319584;-45.120503652039325
1739209703.931968;-38.13080360867914
1739209703.9319777;-32.816014438256545
1739209703.9319873;-45.120503652039325
1739209703.931997;-45.120503652039325
1739209703.9320066;-38.13080360867914
1739209703.9320164;-38.13080360867914
1739209703.932026;-38.13080360867914
1739209703.9320357;-45.120503652039325
1739209703.9320452;-38.13080360867914
1739209703.932055;-38.13080360867914
1739209703.9320645;-35.57807855764607
1739209703.9320743;-35.57807855764607
1739209703.9320838;-45.120503652039325
1739209703.9320936;-35.57807855764607
1739209703.9321032;-38.13080360867914
1739209703.932113;-45.120503652039325
1739209703.9321225;-38.13080360867914
1739209703.9321322;-33.981070128970906
1739209703.9321418;-45.120503652039325
1739209703.9321516;-45.120503652039325
1739209703.932161;-38.13080360867914
1739209703.9321709;-38.13080360867914
1739209703.9321804;-45.120503652039325
1739209703.9321902;-45.120503652039325
1739209703.9321997;-38.13080360867914
1739209703.9322095;-35.57807855764607
1739209703.932219;-45.120503652039325
1739209703.9322288;-45.120503652039325
1739209703.9322383;-35.57807855764607
1739209703.9322479;-38.13080360867914
1739209703.9322577;-35.57807855764607
1739209703.9322672;-38.13080360867914
1739209703.932277;-45.120503652039325
1739209703.9322865;-38.13080360867914
1739209703.9322963;-32.816014438256545
1739209703.9323058;-29.438486411369333
1739209703.9323156;-38.13080360867914
1739209703.9323251;-45.120503652039325
1739209703.932335;-45.120503652039325
1739209703.9323444;-33.981070128970906
1739209703.9323542;-45.120503652039325
1739209703.9323637;-45.120503652039325
1739209703.9323735;-45.120503652039325
1739209703.932383;-38.13080360867914
1739209703.9323928;-38.13080360867914
1739209703.9324024;-45.120503652039325
1739209703.9324121;-45.120503652039325
1739209703.9324217;-45.120503652039325
1739209703.9324315;-45.120503652039325
1739209703.932441;-45.120503652039325
1739209703.9324508;-38.13080360867914
1739209703.9324603;-28.58837851428586
1739209703.93247;-38.13080360867914
1739209703.9324796;-45.120503652039325
1739209703.9324894;-38.13080360867914
1739209703.932499;-38.13080360867914
1739209703.9325087;-38.13080360867914
1739209703.9325182;-35.57807855764607
1739209703.932528;-45.120503652039325
1739209703.9325376;-33.981070128970956
1739209703.9325473;-38.13080360867914
1739209703.9325569;-45.120503652039325
1739209703.9325664;-45.120503652039325
1739209703.9325762;-45.120503652039325
1739209703.9325857;-33.981070128970906
1739209703.9325955;-38.13080360867914
1739209703.932605;-35.57807855764607
1739209703.9326148;-38.13080360867914
1739209703.9326243;-45.120503652039325
1739209703.932634;-38.13080360867914
1739209703.9326437;-38.13080360867914
1739209703.9326534;-38.13080360867914
1739209703.932663;-45.120503652039325
1739209703.9326727;-45.120503652039325
1739209703.9326823;-45.120503652039325
