CAN Message; 0x98:00003f8553383e26
Timestamp;Amplitude
1739209787.500459;-38.13080360867914
1739209787.5004642;-33.981070128970906
1739209787.5004697;-45.120503652039325
1739209787.500475;-45.120503652039325
1739209787.5004802;-45.120503652039325
1739209787.5004854;-38.13080360867914
1739209787.5004907;-38.13080360867914
1739209787.5004961;-45.120503652039325
1739209787.5005014;-33.981070128970906
1739209787.5005066;-38.13080360867914
1739209787.500512;-38.13080360867914
1739209787.5005171;-35.57807855764607
1739209787.5005224;-38.13080360867914
1739209787.5005279;-45.120503652039325
1739209787.500533;-38.13080360867914
1739209787.5005383;-45.120503652039325
1739209787.5005436;-45.120503652039325
1739209787.5005488;-45.120503652039325
1739209787.5005543;-38.13080360867914
1739209787.5005596;-38.13080360867914
1739209787.5005648;-32.816014438256545
1739209787.50057;-33.981070128970906
1739209787.5005753;-38.13080360867914
1739209787.5005808;-38.13080360867914
1739209787.500586;-38.13080360867914
1739209787.5005913;-35.57807855764607
1739209787.5005965;-38.13080360867914
1739209787.5006018;-38.13080360867914
1739209787.500607;-45.120503652039325
1739209787.5006125;-35.57807855764607
1739209787.5006177;-35.57807855764607
1739209787.500623;-38.13080360867914
1739209787.5006282;-38.13080360867914
1739209787.5006335;-45.120503652039325
1739209787.500639;-45.120503652039325
1739209787.5006442;-45.120503652039325
1739209787.5006495;-38.13080360867914
1739209787.5006547;-33.981070128970906
1739209787.50066;-45.120503652039325
1739209787.5006654;-45.120503652039325
1739209787.5006707;-45.120503652039325
1739209787.500676;-35.57807855764607
1739209787.5006812;-38.13080360867914
1739209787.5006864;-45.120503652039325
1739209787.5006917;-45.120503652039325
1739209787.5006971;-45.120503652039325
1739209787.5007024;-38.13080360867914
1739209787.5007076;-45.120503652039325
1739209787.5007129;-45.120503652039325
1739209787.500718;-45.120503652039325
1739209787.5007236;-45.120503652039325
1739209787.5007288;-45.120503652039325
1739209787.500734;-38.13080360867914
1739209787.5007393;-32.816014438256545
1739209787.5007446;-38.13080360867914
1739209787.50075;-45.120503652039325
1739209787.5007553;-38.13080360867914
1739209787.5007606;-32.816014438256545
1739209787.5007658;-38.13080360867914
1739209787.500771;-38.13080360867914
1739209787.5007763;-38.13080360867914
1739209787.5007818;-38.13080360867914
1739209787.500787;-45.120503652039325
1739209787.5007923;-33.981070128970906
1739209787.5007975;-45.120503652039325
1739209787.5008028;-45.120503652039325
1739209787.5008082;-38.13080360867914
1739209787.5008135;-38.13080360867914
1739209787.5008187;-38.13080360867914
1739209787.500824;-33.981070128970956
1739209787.5008292;-45.120503652039325
1739209787.5008347;-35.57807855764607
1739209787.50084;-35.57807855764607
1739209787.5008452;-38.13080360867914
1739209787.5008504;-45.120503652039325
1739209787.5008557;-45.120503652039325
1739209787.5008612;-35.57807855764607
1739209787.5008664;-25.826314394896354
1739209787.5008717;-35.57807855764607
1739209787.500877;-38.13080360867914
1739209787.5008821;-33.981070128970906
1739209787.5008874;-32.816014438256545
1739209787.5008929;-45.120503652039325
1739209787.5008981;-38.13080360867914
1739209787.5009034;-38.13080360867914
1739209787.5009086;-33.981070128970956
1739209787.5009139;-38.13080360867914
1739209787.5009193;-35.57807855764607
1739209787.5009246;-38.13080360867914
1739209787.5009298;-45.120503652039325
1739209787.500935;-45.120503652039325
1739209787.5009403;-45.120503652039325
