CAN Message; 0x98:000044bc4cc11e9d
Timestamp;Amplitude
1739209631.7876563;-38.13080360867914
1739209631.7876616;-38.13080360867914
1739209631.7876666;-38.13080360867914
1739209631.7876718;-45.120503652039325
1739209631.7876768;-33.981070128970906
1739209631.787682;-38.13080360867914
1739209631.787687;-45.120503652039325
1739209631.787692;-45.120503652039325
1739209631.7876973;-33.981070128970906
1739209631.7877023;-35.57807855764607
1739209631.7877076;-45.120503652039325
1739209631.7877126;-45.120503652039325
1739209631.7877178;-45.120503652039325
1739209631.7877228;-33.981070128970906
1739209631.787728;-38.13080360867914
1739209631.787733;-45.120503652039325
1739209631.787738;-45.120503652039325
1739209631.7877433;-45.120503652039325
1739209631.7877483;-45.120503652039325
1739209631.7877536;-45.120503652039325
1739209631.7877586;-33.981070128970906
1739209631.7877638;-45.120503652039325
1739209631.7877688;-38.13080360867914
1739209631.787774;-45.120503652039325
1739209631.787779;-31.141103565318915
1739209631.787784;-29.438486411369333
1739209631.7877893;-45.120503652039325
1739209631.7877944;-38.13080360867914
1739209631.7877996;-38.13080360867914
1739209631.7878046;-35.57807855764607
1739209631.7878098;-45.120503652039325
1739209631.7878149;-38.13080360867914
1739209631.7878199;-45.120503652039325
1739209631.787825;-45.120503652039325
1739209631.78783;-38.13080360867914
1739209631.7878354;-45.120503652039325
1739209631.7878404;-38.13080360867914
1739209631.7878456;-45.120503652039325
1739209631.7878506;-45.120503652039325
1739209631.7878556;-45.120503652039325
1739209631.7878609;-38.13080360867914
1739209631.7878659;-32.816014438256545
1739209631.7878711;-45.120503652039325
1739209631.7878761;-45.120503652039325
1739209631.7878814;-33.981070128970906
1739209631.7878864;-35.57807855764607
1739209631.7878916;-38.13080360867914
1739209631.7878966;-38.13080360867914
1739209631.7879016;-38.13080360867914
1739209631.787907;-32.816014438256545
1739209631.787912;-45.120503652039325
1739209631.7879171;-45.120503652039325
1739209631.7879221;-45.120503652039325
1739209631.7879274;-45.120503652039325
1739209631.7879324;-45.120503652039325
1739209631.7879376;-45.120503652039325
1739209631.7879426;-45.120503652039325
1739209631.7879477;-45.120503652039325
1739209631.787953;-38.13080360867914
1739209631.787958;-45.120503652039325
1739209631.7879632;-38.13080360867914
1739209631.7879682;-38.13080360867914
1739209631.7879734;-45.120503652039325
1739209631.7879784;-38.13080360867914
1739209631.7879834;-35.57807855764607
1739209631.7879887;-29.438486411369333
1739209631.7879937;-38.13080360867914
1739209631.787999;-45.120503652039325
1739209631.788004;-45.120503652039325
1739209631.7880092;-38.13080360867914
1739209631.7880142;-38.13080360867914
1739209631.7880192;-32.816014438256545
1739209631.7880244;-45.120503652039325
1739209631.7880294;-33.981070128970956
1739209631.7880347;-38.13080360867914
1739209631.7880397;-38.13080360867914
1739209631.788045;-45.120503652039325
1739209631.78805;-45.120503652039325
1739209631.7880552;-45.120503652039325
1739209631.7880602;-38.13080360867914
1739209631.7880652;-33.981070128970906
1739209631.7880704;-27.8777449560314
1739209631.7880754;-38.13080360867914
1739209631.7880807;-45.120503652039325
1739209631.7880857;-38.13080360867914
1739209631.788091;-35.57807855764607
1739209631.788096;-38.13080360867914
1739209631.7881012;-45.120503652039325
1739209631.7881062;-45.120503652039325
1739209631.7881112;-45.120503652039325
1739209631.7881165;-38.13080360867914
1739209631.7881215;-38.13080360867914
1739209631.7881267;-45.120503652039325
1739209631.7881317;-45.120503652039325
1739209631.788137;-32.816014438256545
1739209631.788142;-35.57807855764607
1739209631.788147;-38.13080360867914
1739209631.7881522;-45.120503652039325
1739209631.7881572;-45.120503652039325
1739209631.7881625;-38.13080360867914
1739209631.7881675;-38.13080360867914
1739209631.7881727;-45.120503652039325
1739209631.7881777;-45.120503652039325
1739209631.7881827;-45.120503652039325
1739209631.788188;-45.120503652039325
1739209631.788193;-45.120503652039325
1739209631.7881982;-38.13080360867914
1739209631.7882032;-45.120503652039325
1739209631.7882085;-38.13080360867914
1739209631.7882135;-45.120503652039325
1739209631.7882187;-38.13080360867914
1739209631.7882237;-35.57807855764607
1739209631.7882288;-35.57807855764607
1739209631.788234;-38.13080360867914
1739209631.788239;-45.120503652039325
1739209631.7882442;-45.120503652039325
1739209631.7882493;-45.120503652039325
1739209631.7882545;-45.120503652039325
1739209631.7882595;-45.120503652039325
1739209631.7882648;-45.120503652039325
1739209631.7882698;-45.120503652039325
1739209631.7882748;-28.992665084841942
1739209631.78828;-31.141103565318915
1739209631.788285;-45.120503652039325
1739209631.7882903;-38.13080360867914
1739209631.7882953;-33.981070128970906
1739209631.7883005;-35.57807855764607
1739209631.7883055;-38.13080360867914
1739209631.7883105;-38.13080360867914
1739209631.7883158;-35.57807855764607
1739209631.7883208;-45.120503652039325
1739209631.788326;-38.13080360867914
1739209631.788331;-33.981070128970906
1739209631.7883363;-38.13080360867914
1739209631.7883413;-45.120503652039325
1739209631.7883463;-45.120503652039325
1739209631.7883515;-38.13080360867914
1739209631.7883565;-38.13080360867914
1739209631.7883618;-38.13080360867914
1739209631.7883668;-45.120503652039325
1739209631.788372;-45.120503652039325
1739209631.788377;-45.120503652039325
1739209631.7883823;-38.13080360867914
1739209631.7883873;-45.120503652039325
1739209631.7883923;-45.120503652039325
1739209631.7883976;-45.120503652039325
1739209631.7884026;-45.120503652039325
1739209631.7884078;-45.120503652039325
1739209631.7884128;-45.120503652039325
1739209631.788418;-45.120503652039325
1739209631.788423;-38.13080360867914
1739209631.7884283;-45.120503652039325
1739209631.7884333;-38.13080360867914
1739209631.7884383;-35.57807855764607
1739209631.7884436;-38.13080360867914
1739209631.7884486;-45.120503652039325
1739209631.7884538;-45.120503652039325
1739209631.7884588;-38.13080360867914
