CAN Message; 0x1bb:0000d9e7fd7e232c
Timestamp;Amplitude
1739209679.3440084;-33.981070128970906
1739209679.3440194;-38.13080360867914
1739209679.3440301;-38.13080360867914
1739209679.344041;-45.120503652039325
1739209679.3440518;-45.120503652039325
1739209679.3440628;-45.120503652039325
1739209679.3440735;-45.120503652039325
1739209679.3440843;-38.13080360867914
1739209679.3440952;-45.120503652039325
1739209679.344106;-45.120503652039325
1739209679.344117;-35.57807855764607
1739209679.3441277;-45.120503652039325
1739209679.3441384;-38.13080360867914
1739209679.3441494;-35.57807855764607
1739209679.34416;-38.13080360867914
1739209679.344171;-38.13080360867914
1739209679.3441818;-38.13080360867914
1739209679.3441927;-33.981070128970906
1739209679.3442035;-45.120503652039325
1739209679.3442142;-33.981070128970906
1739209679.3442252;-28.992665084841942
1739209679.344236;-33.981070128970906
1739209679.3442469;-45.120503652039325
1739209679.3442576;-45.120503652039325
1739209679.3442683;-33.981070128970906
1739209679.3442793;-45.120503652039325
1739209679.34429;-38.13080360867914
1739209679.344301;-38.13080360867914
1739209679.3443117;-32.81601443825658
1739209679.3443227;-45.120503652039325
1739209679.3443334;-45.120503652039325
1739209679.3443441;-45.120503652039325
1739209679.344355;-45.120503652039325
1739209679.3443658;-45.120503652039325
1739209679.3443768;-38.13080360867914
1739209679.3443875;-38.13080360867914
1739209679.3443983;-28.992665084841942
1739209679.3444092;-45.120503652039325
1739209679.34442;-38.13080360867914
1739209679.344431;-38.13080360867914
1739209679.3444417;-38.13080360867914
1739209679.3444526;-38.13080360867914
1739209679.3444633;-38.13080360867914
1739209679.344474;-45.120503652039325
1739209679.344485;-45.120503652039325
1739209679.3444958;-45.120503652039325
1739209679.3445067;-45.120503652039325
1739209679.3445175;-38.13080360867914
1739209679.3445282;-45.120503652039325
1739209679.3445392;-38.13080360867914
1739209679.34455;-45.120503652039325
1739209679.3445609;-45.120503652039325
1739209679.3445716;-45.120503652039325
1739209679.3445826;-38.13080360867914
1739209679.3445933;-38.13080360867914
1739209679.344604;-38.13080360867914
1739209679.344615;-45.120503652039325
1739209679.3446257;-45.120503652039325
1739209679.3446367;-35.57807855764607
1739209679.3446474;-38.13080360867914
1739209679.3446581;-30.49652367304973
1739209679.344669;-38.13080360867914
1739209679.3446798;-38.13080360867914
1739209679.3446908;-38.13080360867914
1739209679.3447015;-38.13080360867914
1739209679.3447125;-45.120503652039325
1739209679.3447232;-35.57807855764607
1739209679.344734;-38.13080360867914
1739209679.344745;-33.981070128970956
1739209679.3447556;-45.120503652039325
1739209679.3447666;-33.981070128970906
1739209679.3447773;-45.120503652039325
1739209679.344788;-38.13080360867914
1739209679.344799;-32.816014438256545
1739209679.3448098;-45.120503652039325
1739209679.3448207;-45.120503652039325
1739209679.3448315;-25.252786309376837
1739209679.3448424;-33.981070128970906
1739209679.3448532;-45.120503652039325
1739209679.344864;-38.13080360867914
1739209679.3448749;-38.13080360867914
1739209679.3448856;-38.13080360867914
1739209679.3448966;-45.120503652039325
1739209679.3449073;-35.57807855764607
1739209679.344918;-45.120503652039325
1739209679.344929;-45.120503652039325
1739209679.3449397;-38.13080360867914
1739209679.3449507;-38.13080360867914
1739209679.3449614;-45.120503652039325
1739209679.3449724;-38.13080360867914
1739209679.344983;-38.13080360867914
1739209679.3449938;-45.120503652039325
1739209679.3450048;-28.21854285175415
