CAN Message; 0x98:0000124aa0b3fa77
Timestamp;Amplitude
1739209645.1414263;-45.120503652039325
1739209645.1414282;-38.13080360867914
1739209645.1414301;-35.57807855764607
1739209645.1414318;-45.120503652039325
1739209645.1414337;-45.120503652039325
1739209645.1414356;-45.120503652039325
1739209645.1414375;-38.13080360867914
1739209645.1414394;-45.120503652039325
1739209645.1414413;-38.13080360867914
1739209645.141443;-45.120503652039325
1739209645.141445;-45.120503652039325
1739209645.1414468;-45.120503652039325
1739209645.1414487;-38.13080360867914
1739209645.1414506;-38.13080360867914
1739209645.1414526;-45.120503652039325
1739209645.1414542;-45.120503652039325
1739209645.1414561;-45.120503652039325
1739209645.141458;-45.120503652039325
1739209645.14146;-38.13080360867914
1739209645.1414618;-38.13080360867914
1739209645.1414638;-45.120503652039325
1739209645.1414657;-45.120503652039325
1739209645.1414673;-45.120503652039325
1739209645.1414692;-45.120503652039325
1739209645.1414711;-38.13080360867914
1739209645.141473;-38.13080360867914
1739209645.141475;-38.13080360867914
1739209645.1414769;-45.120503652039325
1739209645.1414785;-38.13080360867914
1739209645.1414804;-38.13080360867914
1739209645.1414824;-45.120503652039325
1739209645.1414843;-45.120503652039325
1739209645.1414862;-38.13080360867914
1739209645.141488;-38.13080360867914
1739209645.1414897;-45.120503652039325
1739209645.1414917;-45.120503652039325
1739209645.1414936;-38.13080360867914
1739209645.1414955;-35.57807855764607
1739209645.1414974;-38.13080360867914
1739209645.1414993;-45.120503652039325
1739209645.1415012;-45.120503652039325
1739209645.1415029;-45.120503652039325
1739209645.1415048;-38.13080360867914
1739209645.1415067;-38.13080360867914
1739209645.1415086;-38.13080360867914
1739209645.1415105;-45.120503652039325
1739209645.1415124;-38.13080360867914
1739209645.141514;-45.120503652039325
1739209645.141516;-38.13080360867914
1739209645.1415179;-32.816014438256545
1739209645.1415198;-38.13080360867914
1739209645.1415217;-38.13080360867914
1739209645.1415236;-38.13080360867914
1739209645.1415253;-30.49652367304973
1739209645.1415272;-38.13080360867914
1739209645.141529;-45.120503652039325
1739209645.141531;-38.13080360867914
1739209645.141533;-45.120503652039325
1739209645.1415348;-45.120503652039325
1739209645.1415367;-45.120503652039325
1739209645.1415384;-38.13080360867914
1739209645.1415403;-45.120503652039325
1739209645.1415422;-38.13080360867914
1739209645.141544;-38.13080360867914
1739209645.141546;-38.13080360867914
1739209645.141548;-32.816014438256545
1739209645.1415496;-45.120503652039325
1739209645.1415515;-45.120503652039325
1739209645.1415534;-38.13080360867914
1739209645.1415553;-32.816014438256545
1739209645.1415572;-45.120503652039325
1739209645.1415591;-45.120503652039325
1739209645.1415608;-45.120503652039325
1739209645.1415627;-45.120503652039325
1739209645.1415646;-45.120503652039325
1739209645.1415665;-45.120503652039325
1739209645.1415684;-45.120503652039325
1739209645.1415703;-45.120503652039325
1739209645.1415722;-45.120503652039325
1739209645.141574;-45.120503652039325
1739209645.1415758;-38.13080360867914
1739209645.1415777;-35.57807855764607
1739209645.1415796;-38.13080360867914
1739209645.1415815;-45.120503652039325
1739209645.1415834;-45.120503652039325
1739209645.141585;-32.816014438256545
1739209645.141587;-38.13080360867914
1739209645.141589;-45.120503652039325
1739209645.1415908;-38.13080360867914
1739209645.1415927;-35.57807855764607
1739209645.1415946;-38.13080360867914
1739209645.1415963;-45.120503652039325
1739209645.1415982;-45.120503652039325
1739209645.1416001;-45.120503652039325
1739209645.141602;-38.13080360867914
1739209645.141604;-38.13080360867914
1739209645.1416059;-38.13080360867914
1739209645.1416075;-45.120503652039325
1739209645.1416094;-45.120503652039325
1739209645.1416113;-35.57807855764607
1739209645.1416132;-38.13080360867914
1739209645.1416152;-35.57807855764607
1739209645.141617;-45.120503652039325
1739209645.141619;-38.13080360867914
1739209645.1416206;-38.13080360867914
