CAN Message; 0x77:e356d0424adaa71c
Timestamp;Amplitude
1739209587.8263252;-38.13080360867914
1739209587.8263333;-38.13080360867914
1739209587.8263412;-45.120503652039325
1739209587.826349;-38.13080360867914
1739209587.826357;-45.120503652039325
1739209587.826365;-38.13080360867914
1739209587.8263729;-45.120503652039325
1739209587.8263807;-33.981070128970906
1739209587.8263888;-27.8777449560314
1739209587.8263967;-45.120503652039325
1739209587.8264046;-45.120503652039325
1739209587.8264124;-38.13080360867914
1739209587.8264205;-33.981070128970906
1739209587.8264284;-38.13080360867914
1739209587.8264363;-45.120503652039325
1739209587.8264444;-45.120503652039325
1739209587.8264523;-33.981070128970956
1739209587.8264601;-38.13080360867914
1739209587.8264682;-38.13080360867914
1739209587.826476;-45.120503652039325
1739209587.826484;-45.120503652039325
1739209587.8264918;-38.13080360867914
1739209587.8265;-38.13080360867914
1739209587.8265078;-35.57807855764607
1739209587.8265157;-27.8777449560314
1739209587.8265238;-38.13080360867914
1739209587.8265316;-38.13080360867914
1739209587.8265395;-45.120503652039325
1739209587.8265474;-38.13080360867914
1739209587.8265555;-38.13080360867914
1739209587.8265634;-38.13080360867914
1739209587.8265712;-38.13080360867914
1739209587.8265793;-45.120503652039325
1739209587.8265872;-38.13080360867914
1739209587.826595;-45.120503652039325
1739209587.826603;-45.120503652039325
1739209587.826611;-45.120503652039325
1739209587.826619;-45.120503652039325
1739209587.8266268;-38.13080360867914
1739209587.826635;-38.13080360867914
1739209587.8266428;-38.13080360867914
1739209587.8266506;-38.13080360867914
1739209587.8266587;-45.120503652039325
1739209587.8266666;-45.120503652039325
1739209587.8266745;-45.120503652039325
1739209587.8266823;-45.120503652039325
1739209587.8266904;-45.120503652039325
1739209587.8266983;-38.13080360867914
1739209587.8267062;-32.816014438256545
1739209587.8267143;-33.981070128970906
1739209587.8267221;-45.120503652039325
1739209587.82673;-38.13080360867914
1739209587.8267379;-32.816014438256545
1739209587.826746;-45.120503652039325
1739209587.8267539;-38.13080360867914
1739209587.8267617;-38.13080360867914
1739209587.8267698;-45.120503652039325
1739209587.8267777;-45.120503652039325
1739209587.8267856;-45.120503652039325
1739209587.8267934;-38.13080360867914
1739209587.8268015;-45.120503652039325
1739209587.8268094;-38.13080360867914
1739209587.8268173;-35.57807855764607
1739209587.8268254;-35.57807855764607
1739209587.8268332;-35.57807855764607
