CAN Message; 0x39:03ae485dba87fba2
Timestamp;Amplitude
1739209766.745796;-45.120503652039325
1739209766.7458122;-45.120503652039325
1739209766.7458284;-38.13080360867914
1739209766.7458448;-35.57807855764607
1739209766.745861;-38.13080360867914
1739209766.7458773;-45.120503652039325
1739209766.7458935;-33.981070128970906
1739209766.7459097;-38.13080360867914
1739209766.745926;-38.13080360867914
1739209766.7459424;-45.120503652039325
1739209766.7459586;-45.120503652039325
1739209766.7459748;-35.57807855764607
1739209766.745991;-45.120503652039325
1739209766.7460072;-45.120503652039325
1739209766.7460234;-33.981070128970906
1739209766.7460396;-32.816014438256545
1739209766.746056;-38.13080360867914
1739209766.7460723;-45.120503652039325
1739209766.7460885;-38.13080360867914
1739209766.7461047;-38.13080360867914
1739209766.746121;-45.120503652039325
1739209766.7461371;-45.120503652039325
1739209766.7461536;-38.13080360867914
1739209766.7461698;-35.57807855764607
1739209766.746186;-38.13080360867914
1739209766.7462022;-45.120503652039325
1739209766.7462184;-38.13080360867914
1739209766.7462347;-45.120503652039325
1739209766.746251;-45.120503652039325
1739209766.7462673;-45.120503652039325
1739209766.7462835;-45.120503652039325
1739209766.7462997;-38.13080360867914
1739209766.746316;-38.13080360867914
1739209766.7463322;-45.120503652039325
1739209766.7463484;-38.13080360867914
1739209766.7463648;-38.13080360867914
1739209766.746381;-45.120503652039325
1739209766.7463973;-45.120503652039325
1739209766.7464135;-33.981070128970906
1739209766.7464297;-32.816014438256545
1739209766.746446;-38.13080360867914
1739209766.7464623;-38.13080360867914
1739209766.7464786;-38.13080360867914
1739209766.7464948;-38.13080360867914
1739209766.746511;-38.13080360867914
1739209766.7465272;-38.13080360867914
1739209766.7465434;-38.13080360867914
1739209766.7465596;-38.13080360867914
1739209766.746576;-45.120503652039325
1739209766.7465923;-45.120503652039325
1739209766.7466085;-38.13080360867914
1739209766.7466247;-38.13080360867914
1739209766.746641;-35.57807855764607
1739209766.7466571;-45.120503652039325
1739209766.7466736;-31.141103565318915
1739209766.7466898;-31.141103565318915
1739209766.746706;-45.120503652039325
1739209766.7467222;-45.120503652039325
1739209766.7467384;-33.981070128970906
1739209766.7467546;-33.981070128970906
1739209766.7467709;-45.120503652039325
1739209766.7467873;-38.13080360867914
1739209766.7468035;-45.120503652039325
1739209766.7468197;-45.120503652039325
1739209766.746836;-38.13080360867914
1739209766.7468522;-45.120503652039325
1739209766.7468684;-45.120503652039325
1739209766.7468848;-31.141103565318915
1739209766.746901;-35.57807855764607
1739209766.7469172;-35.57807855764607
1739209766.7469335;-38.13080360867914
1739209766.7469497;-45.120503652039325
1739209766.746966;-45.120503652039325
1739209766.746982;-45.120503652039325
1739209766.7469985;-45.120503652039325
1739209766.7470148;-45.120503652039325
1739209766.747031;-38.13080360867914
1739209766.7470472;-38.13080360867914
1739209766.7470634;-29.438486411369333
1739209766.7470796;-28.58837851428586
1739209766.747096;-38.13080360867914
1739209766.7471123;-45.120503652039325
1739209766.7471285;-38.13080360867914
1739209766.7471447;-38.13080360867914
1739209766.747161;-45.120503652039325
1739209766.7471771;-32.816014438256545
1739209766.7471936;-38.13080360867914
1739209766.7472098;-45.120503652039325
1739209766.747226;-38.13080360867914
1739209766.7472422;-38.13080360867914
1739209766.7472584;-45.120503652039325
1739209766.7472746;-45.120503652039325
1739209766.7472908;-38.13080360867914
1739209766.7473073;-38.13080360867914
1739209766.7473235;-45.120503652039325
1739209766.7473397;-45.120503652039325
1739209766.747356;-38.13080360867914
1739209766.7473722;-35.57807855764607
1739209766.7473884;-38.13080360867914
1739209766.7474048;-45.120503652039325
1739209766.747421;-35.57807855764607
1739209766.7474372;-45.120503652039325
