CAN Message; 0x62:09c29a93879bfdec
Timestamp;Amplitude
1739209606.930367;-45.120503652039325
1739209606.9303725;-45.120503652039325
1739209606.9303777;-45.120503652039325
1739209606.9303832;-45.120503652039325
1739209606.9303885;-45.120503652039325
1739209606.930394;-32.816014438256545
1739209606.9303992;-33.981070128970956
1739209606.9304044;-26.487275050834715
1739209606.93041;-29.438486411369333
1739209606.9304152;-38.13080360867914
1739209606.9304206;-31.141103565318893
1739209606.930426;-38.13080360867914
1739209606.9304311;-35.57807855764607
1739209606.9304366;-31.141103565318915
1739209606.9304419;-38.13080360867914
1739209606.9304473;-32.816014438256545
1739209606.9304526;-27.8777449560314
1739209606.930458;-32.816014438256545
1739209606.9304633;-25.826314394896354
1739209606.9304686;-27.877744956031417
1739209606.930474;-45.120503652039325
1739209606.9304793;-26.991370085610736
1739209606.9304848;-31.141103565318915
1739209606.93049;-31.141103565318915
1739209606.9304955;-38.13080360867914
1739209606.9305007;-38.13080360867914
1739209606.930506;-45.120503652039325
1739209606.9305115;-30.49652367304973
1739209606.9305167;-35.57807855764607
1739209606.9305222;-38.13080360867914
1739209606.9305274;-35.57807855764607
1739209606.930533;-22.175841390423358
1739209606.9305382;-26.991370085610722
1739209606.9305434;-45.120503652039325
1739209606.930549;-28.58837851428586
1739209606.9305542;-31.141103565318915
1739209606.9305596;-26.991370085610722
1739209606.9305649;-29.438486411369333
1739209606.9305701;-45.120503652039325
1739209606.9305756;-45.120503652039325
1739209606.9305809;-45.120503652039325
1739209606.9305863;-45.120503652039325
1739209606.9305916;-32.81601443825658
1739209606.930597;-29.438486411369354
1739209606.9306023;-23.38864096791655
1739209606.9306076;-33.981070128970906
1739209606.930613;-28.992665084841942
1739209606.9306183;-33.981070128970906
1739209606.9306238;-38.13080360867914
1739209606.930629;-35.57807855764607
1739209606.9306345;-45.120503652039325
1739209606.9306397;-35.57807855764607
1739209606.930645;-33.981070128970906
1739209606.9306505;-35.57807855764607
1739209606.9306557;-32.816014438256545
1739209606.9306612;-32.816014438256545
1739209606.9306664;-30.49652367304976
1739209606.930672;-38.13080360867914
1739209606.9306772;-45.120503652039325
1739209606.9306824;-45.120503652039325
1739209606.930688;-45.120503652039325
1739209606.9306931;-45.120503652039325
1739209606.9306986;-38.13080360867914
1739209606.9307039;-32.816014438256545
1739209606.9307091;-38.13080360867914
1739209606.9307146;-35.57807855764607
1739209606.9307199;-45.120503652039325
1739209606.9307253;-26.991370085610736
1739209606.9307306;-26.487275050834725
1739209606.930736;-26.991370085610768
