CAN Message; 0x24:00cdea5768e00e7e
Timestamp;Amplitude
1739209791.1178749;-38.13080360867914
1739209791.1178813;-33.981070128970906
1739209791.117888;-45.120503652039325
1739209791.1178944;-45.120503652039325
1739209791.117901;-38.13080360867914
1739209791.1179078;-35.57807855764607
1739209791.1179142;-45.120503652039325
1739209791.1179209;-45.120503652039325
1739209791.1179276;-38.13080360867914
1739209791.117934;-38.13080360867914
1739209791.1179407;-30.49652367304973
1739209791.117947;-35.57807855764607
1739209791.1179538;-45.120503652039325
1739209791.1179605;-38.13080360867914
1739209791.117967;-38.13080360867914
1739209791.1179736;-45.120503652039325
1739209791.1179802;-38.13080360867914
1739209791.1179867;-45.120503652039325
1739209791.1179934;-45.120503652039325
1739209791.1179998;-45.120503652039325
1739209791.1180065;-45.120503652039325
1739209791.1180131;-45.120503652039325
1739209791.1180196;-32.816014438256545
1739209791.1180263;-32.816014438256545
1739209791.118033;-45.120503652039325
1739209791.1180394;-45.120503652039325
1739209791.118046;-32.816014438256545
1739209791.1180525;-38.13080360867914
1739209791.1180592;-45.120503652039325
1739209791.1180658;-45.120503652039325
1739209791.1180723;-45.120503652039325
1739209791.118079;-38.13080360867914
1739209791.1180856;-45.120503652039325
1739209791.118092;-45.120503652039325
1739209791.1180987;-38.13080360867914
1739209791.1181052;-38.13080360867914
1739209791.1181118;-45.120503652039325
1739209791.1181185;-45.120503652039325
1739209791.118125;-35.57807855764607
1739209791.1181316;-45.120503652039325
1739209791.1181383;-45.120503652039325
1739209791.1181448;-38.13080360867914
1739209791.1181514;-38.13080360867914
1739209791.1181579;-45.120503652039325
1739209791.1181645;-45.120503652039325
1739209791.1181712;-45.120503652039325
1739209791.1181777;-32.816014438256545
1739209791.1181843;-38.13080360867914
1739209791.1181908;-45.120503652039325
1739209791.1181974;-38.13080360867914
1739209791.118204;-35.57807855764607
1739209791.1182106;-38.13080360867914
1739209791.1182172;-45.120503652039325
1739209791.118224;-38.13080360867914
1739209791.1182303;-38.13080360867914
1739209791.118237;-38.13080360867914
1739209791.1182435;-45.120503652039325
1739209791.1182501;-45.120503652039325
1739209791.1182568;-45.120503652039325
1739209791.1182632;-38.13080360867914
1739209791.11827;-35.57807855764607
1739209791.1182766;-45.120503652039325
1739209791.118283;-45.120503652039325
1739209791.1182897;-38.13080360867914
1739209791.1182961;-45.120503652039325
1739209791.1183028;-45.120503652039325
1739209791.1183095;-35.57807855764607
1739209791.118316;-38.13080360867914
1739209791.1183226;-45.120503652039325
1739209791.1183293;-33.981070128970906
1739209791.1183357;-45.120503652039325
1739209791.1183424;-33.981070128970906
1739209791.1183488;-35.57807855764607
1739209791.1183555;-38.13080360867914
1739209791.1183622;-45.120503652039325
1739209791.1183686;-38.13080360867914
1739209791.1183753;-38.13080360867914
1739209791.118382;-45.120503652039325
1739209791.1183884;-38.13080360867914
1739209791.118395;-38.13080360867914
1739209791.1184015;-45.120503652039325
1739209791.1184082;-38.13080360867914
1739209791.1184149;-45.120503652039325
1739209791.1184213;-33.981070128970906
1739209791.118428;-45.120503652039325
1739209791.1184344;-45.120503652039325
1739209791.118441;-35.57807855764607
1739209791.1184478;-45.120503652039325
1739209791.1184542;-45.120503652039325
1739209791.118461;-38.13080360867914
1739209791.1184676;-38.13080360867914
1739209791.118474;-38.13080360867914
1739209791.1184807;-35.57807855764607
1739209791.1184871;-33.981070128970906
1739209791.1184938;-38.13080360867914
1739209791.1185005;-33.981070128970906
1739209791.118507;-32.816014438256545
1739209791.1185136;-38.13080360867914
1739209791.1185203;-38.13080360867914
1739209791.1185267;-38.13080360867914
1739209791.1185334;-38.13080360867914
1739209791.1185398;-38.13080360867914
1739209791.1185465;-45.120503652039325
1739209791.1185532;-31.141103565318915
1739209791.1185596;-28.992665084841942
1739209791.1185663;-38.13080360867914
1739209791.118573;-38.13080360867914
1739209791.1185794;-38.13080360867914
1739209791.118586;-33.981070128970906
1739209791.1185925;-45.120503652039325
1739209791.1185992;-45.120503652039325
1739209791.1186059;-31.141103565318915
1739209791.1186123;-32.816014438256545
1739209791.118619;-38.13080360867914
1739209791.1186256;-35.57807855764607
1739209791.118632;-45.120503652039325
1739209791.1186388;-38.13080360867914
1739209791.1186452;-38.13080360867914
1739209791.1186519;-35.57807855764607
1739209791.1186585;-33.981070128970906
1739209791.118665;-33.981070128970906
1739209791.1186717;-38.13080360867914
1739209791.1186783;-38.13080360867914
1739209791.1186848;-45.120503652039325
1739209791.1186914;-38.13080360867914
1739209791.118698;-33.981070128970906
1739209791.1187046;-45.120503652039325
1739209791.1187112;-35.57807855764607
1739209791.1187177;-33.981070128970906
1739209791.1187243;-38.13080360867914
1739209791.1187308;-38.13080360867914
1739209791.1187375;-32.816014438256545
1739209791.1187441;-45.120503652039325
1739209791.1187506;-45.120503652039325
1739209791.1187572;-33.981070128970906
1739209791.118764;-33.981070128970906
1739209791.1187704;-32.81601443825658
1739209791.118777;-33.981070128970906
1739209791.1187835;-33.981070128970906
1739209791.1187901;-38.13080360867914
1739209791.1187968;-38.13080360867914
1739209791.1188033;-38.13080360867914
1739209791.11881;-38.13080360867914
1739209791.1188166;-38.13080360867914
1739209791.118823;-28.992665084841942
1739209791.1188297;-38.13080360867914
1739209791.1188362;-45.120503652039325
1739209791.1188428;-45.120503652039325
1739209791.1188495;-45.120503652039325
1739209791.118856;-45.120503652039325
1739209791.1188626;-38.13080360867914
1739209791.1188693;-45.120503652039325
1739209791.1188757;-45.120503652039325
1739209791.1188824;-45.120503652039325
1739209791.1188889;-45.120503652039325
1739209791.1188955;-45.120503652039325
1739209791.1189022;-38.13080360867914
1739209791.1189086;-35.57807855764607
1739209791.1189153;-38.13080360867914
1739209791.118922;-45.120503652039325
1739209791.1189284;-35.57807855764607
1739209791.118935;-45.120503652039325
1739209791.1189415;-45.120503652039325
1739209791.1189482;-38.13080360867914
1739209791.118955;-45.120503652039325
1739209791.1189613;-38.13080360867914
1739209791.118968;-45.120503652039325
1739209791.1189747;-45.120503652039325
1739209791.1189811;-35.57807855764607
1739209791.1189878;-45.120503652039325
1739209791.1189942;-45.120503652039325
1739209791.119001;-38.13080360867914
1739209791.1190076;-38.13080360867914
1739209791.119014;-45.120503652039325
1739209791.1190207;-38.13080360867914
1739209791.1190271;-38.13080360867914
1739209791.1190338;-45.120503652039325
1739209791.1190405;-35.57807855764607
1739209791.119047;-38.13080360867914
1739209791.1190536;-45.120503652039325
1739209791.1190603;-33.981070128970906
1739209791.1190667;-32.816014438256545
1739209791.1190734;-38.13080360867914
1739209791.1190798;-38.13080360867914
1739209791.1190865;-33.981070128970906
1739209791.1190932;-45.120503652039325
1739209791.1190996;-45.120503652039325
1739209791.1191063;-38.13080360867914
1739209791.119113;-35.57807855764607
1739209791.1191194;-45.120503652039325
1739209791.119126;-38.13080360867914
1739209791.1191325;-38.13080360867914
1739209791.1191392;-45.120503652039325
1739209791.1191459;-45.120503652039325
1739209791.1191523;-45.120503652039325
1739209791.119159;-38.13080360867914
1739209791.1191657;-35.57807855764607
1739209791.119172;-38.13080360867914
1739209791.1191788;-45.120503652039325
1739209791.1191852;-45.120503652039325
1739209791.119192;-32.816014438256545
1739209791.1191986;-35.57807855764607
1739209791.119205;-45.120503652039325
1739209791.1192117;-45.120503652039325
1739209791.1192183;-38.13080360867914
1739209791.1192248;-38.13080360867914
1739209791.1192315;-45.120503652039325
1739209791.119238;-45.120503652039325
1739209791.1192446;-45.120503652039325
1739209791.1192513;-45.120503652039325
1739209791.1192577;-45.120503652039325
1739209791.1192644;-45.120503652039325
1739209791.119271;-45.120503652039325
1739209791.1192775;-38.13080360867914
1739209791.1192842;-38.13080360867914
1739209791.1192906;-45.120503652039325
1739209791.1192973;-45.120503652039325
1739209791.119304;-38.13080360867914
1739209791.1193104;-35.57807855764607
1739209791.119317;-32.816014438256545
1739209791.1193235;-45.120503652039325
1739209791.1193302;-45.120503652039325
1739209791.1193368;-38.13080360867914
1739209791.1193433;-45.120503652039325
1739209791.11935;-38.13080360867914
1739209791.1193566;-38.13080360867914
1739209791.119363;-38.13080360867914
1739209791.1193697;-38.13080360867914
1739209791.1193762;-32.816014438256545
1739209791.1193829;-38.13080360867914
1739209791.1193895;-45.120503652039325
1739209791.119396;-32.816014438256545
1739209791.1194026;-38.13080360867914
1739209791.1194093;-31.141103565318915
1739209791.1194158;-38.13080360867914
1739209791.1194224;-33.981070128970906
1739209791.1194289;-45.120503652039325
1739209791.1194355;-45.120503652039325
1739209791.1194422;-32.816014438256545
1739209791.1194487;-38.13080360867914
1739209791.1194553;-45.120503652039325
1739209791.119462;-45.120503652039325
1739209791.1194685;-45.120503652039325
1739209791.1194751;-45.120503652039325
1739209791.1194816;-38.13080360867914
1739209791.1194882;-45.120503652039325
1739209791.119495;-45.120503652039325
1739209791.1195014;-45.120503652039325
1739209791.119508;-38.13080360867914
1739209791.1195147;-45.120503652039325
1739209791.1195211;-45.120503652039325
1739209791.1195278;-45.120503652039325
1739209791.1195343;-35.57807855764607
1739209791.119541;-33.981070128970906
1739209791.1195476;-45.120503652039325
1739209791.119554;-45.120503652039325
1739209791.1195607;-45.120503652039325
1739209791.1195672;-33.981070128970906
1739209791.1195738;-35.57807855764607
1739209791.1195805;-38.13080360867914
1739209791.119587;-45.120503652039325
1739209791.1195936;-38.13080360867914
1739209791.1196003;-45.120503652039325
1739209791.1196067;-45.120503652039325
1739209791.1196134;-38.13080360867914
1739209791.1196198;-32.816014438256545
1739209791.1196265;-38.13080360867914
1739209791.1196332;-38.13080360867914
1739209791.1196396;-45.120503652039325
1739209791.1196463;-38.13080360867914
1739209791.119653;-45.120503652039325
1739209791.1196594;-33.981070128970906
1739209791.119666;-45.120503652039325
1739209791.1196725;-33.981070128970906
1739209791.1196792;-38.13080360867914
1739209791.119686;-45.120503652039325
1739209791.1196923;-38.13080360867914
1739209791.119699;-38.13080360867914
1739209791.1197057;-38.13080360867914
1739209791.119712;-35.57807855764607
1739209791.1197188;-45.120503652039325
1739209791.1197252;-45.120503652039325
1739209791.119732;-45.120503652039325
1739209791.1197386;-38.13080360867914
1739209791.119745;-38.13080360867914
1739209791.1197517;-45.120503652039325
1739209791.1197584;-38.13080360867914
1739209791.1197648;-38.13080360867914
1739209791.1197715;-45.120503652039325
1739209791.119778;-31.141103565318915
1739209791.1197846;-33.981070128970906
1739209791.1197913;-33.981070128970906
1739209791.1197977;-38.13080360867914
1739209791.1198044;-38.13080360867914
1739209791.119811;-38.13080360867914
1739209791.1198175;-38.13080360867914
1739209791.1198242;-45.120503652039325
1739209791.1198306;-35.57807855764607
1739209791.1198373;-33.981070128970906
1739209791.119844;-45.120503652039325
1739209791.1198504;-45.120503652039325
1739209791.119857;-45.120503652039325
