CAN Message; 0x1b8:0100182ba63a8397
Timestamp;Amplitude
1739209778.0343025;-33.981070128970906
1739209778.0343072;-38.13080360867914
1739209778.0343118;-33.981070128970906
1739209778.0343165;-33.981070128970906
1739209778.034321;-38.13080360867914
1739209778.0343256;-38.13080360867914
1739209778.0343304;-45.120503652039325
1739209778.034335;-35.57807855764607
1739209778.0343394;-38.13080360867914
1739209778.0343442;-38.13080360867914
1739209778.0343487;-38.13080360867914
1739209778.0343535;-45.120503652039325
1739209778.034358;-38.13080360867914
1739209778.0343626;-38.13080360867914
1739209778.0343673;-38.13080360867914
1739209778.0343719;-31.141103565318915
1739209778.0343766;-33.981070128970906
1739209778.0343812;-38.13080360867914
1739209778.0343857;-45.120503652039325
1739209778.0343904;-38.13080360867914
1739209778.034395;-38.13080360867914
1739209778.0343995;-45.120503652039325
1739209778.0344043;-45.120503652039325
1739209778.0344088;-45.120503652039325
1739209778.0344136;-45.120503652039325
1739209778.034418;-38.13080360867914
1739209778.0344226;-38.13080360867914
1739209778.0344274;-38.13080360867914
1739209778.034432;-45.120503652039325
1739209778.0344367;-45.120503652039325
1739209778.0344412;-38.13080360867914
1739209778.0344458;-38.13080360867914
1739209778.0344505;-33.981070128970906
1739209778.034455;-38.13080360867914
1739209778.0344596;-45.120503652039325
1739209778.0344644;-38.13080360867914
1739209778.034469;-45.120503652039325
1739209778.0344737;-38.13080360867914
1739209778.0344782;-45.120503652039325
1739209778.0344827;-33.981070128970906
1739209778.0344875;-31.141103565318915
1739209778.034492;-38.13080360867914
1739209778.0344968;-38.13080360867914
1739209778.0345013;-45.120503652039325
1739209778.0345058;-31.141103565318893
1739209778.0345106;-33.981070128970906
1739209778.0345151;-45.120503652039325
1739209778.0345197;-33.981070128970906
1739209778.0345244;-33.981070128970906
1739209778.034529;-45.120503652039325
1739209778.0345337;-45.120503652039325
1739209778.0345383;-45.120503652039325
1739209778.0345428;-45.120503652039325
1739209778.0345476;-38.13080360867914
1739209778.034552;-45.120503652039325
1739209778.0345569;-45.120503652039325
1739209778.0345614;-45.120503652039325
1739209778.034566;-45.120503652039325
1739209778.0345707;-38.13080360867914
1739209778.0345752;-38.13080360867914
1739209778.0345798;-38.13080360867914
1739209778.0345845;-45.120503652039325
1739209778.034589;-45.120503652039325
1739209778.0345938;-45.120503652039325
1739209778.0345984;-45.120503652039325
1739209778.0346029;-33.981070128970906
1739209778.0346076;-45.120503652039325
1739209778.0346122;-45.120503652039325
1739209778.034617;-45.120503652039325
1739209778.0346215;-45.120503652039325
1739209778.034626;-45.120503652039325
1739209778.0346308;-45.120503652039325
1739209778.0346353;-33.981070128970906
1739209778.0346398;-38.13080360867914
1739209778.0346446;-38.13080360867914
1739209778.0346491;-38.13080360867914
1739209778.034654;-33.981070128970906
1739209778.0346584;-38.13080360867914
1739209778.034663;-38.13080360867914
1739209778.0346677;-45.120503652039325
1739209778.0346723;-38.13080360867914
1739209778.034677;-38.13080360867914
1739209778.0346816;-45.120503652039325
1739209778.034686;-38.13080360867914
1739209778.0346909;-38.13080360867914
1739209778.0346954;-38.13080360867914
1739209778.0347;-45.120503652039325
1739209778.0347047;-38.13080360867914
1739209778.0347092;-38.13080360867914
1739209778.034714;-45.120503652039325
1739209778.0347185;-35.57807855764607
1739209778.034723;-35.57807855764607
1739209778.0347278;-38.13080360867914
1739209778.0347323;-45.120503652039325
1739209778.034737;-45.120503652039325
1739209778.0347416;-45.120503652039325
1739209778.0347462;-45.120503652039325
1739209778.034751;-45.120503652039325
1739209778.0347555;-45.120503652039325
1739209778.03476;-45.120503652039325
1739209778.0347648;-38.13080360867914
1739209778.0347693;-38.13080360867914
1739209778.034774;-45.120503652039325
1739209778.0347786;-38.13080360867914
1739209778.0347831;-32.816014438256545
1739209778.034788;-38.13080360867914
1739209778.0347924;-38.13080360867914
1739209778.0347972;-35.57807855764607
1739209778.0348017;-38.13080360867914
1739209778.0348063;-45.120503652039325
1739209778.034811;-38.13080360867914
1739209778.0348155;-38.13080360867914
1739209778.03482;-45.120503652039325
1739209778.0348248;-45.120503652039325
