CAN Message; 0x1d3:000097d8bbef1a7c
Timestamp;Amplitude
1739209808.4815402;-45.120503652039325
1739209808.4815493;-45.120503652039325
1739209808.4815583;-38.13080360867914
1739209808.4815674;-38.13080360867914
1739209808.4815767;-45.120503652039325
1739209808.4815857;-38.13080360867914
1739209808.4815948;-38.13080360867914
1739209808.4816039;-45.120503652039325
1739209808.481613;-45.120503652039325
1739209808.481622;-38.13080360867914
1739209808.481631;-27.267205301931607
1739209808.48164;-38.13080360867914
1739209808.4816492;-38.13080360867914
1739209808.4816582;-35.57807855764607
1739209808.4816675;-35.57807855764607
1739209808.4816766;-45.120503652039325
1739209808.4816856;-45.120503652039325
1739209808.4816947;-38.13080360867914
1739209808.4817038;-32.81601443825658
1739209808.4817128;-45.120503652039325
1739209808.4817219;-45.120503652039325
1739209808.481731;-38.13080360867914
1739209808.48174;-45.120503652039325
1739209808.481749;-38.13080360867914
1739209808.4817584;-35.57807855764607
1739209808.4817674;-45.120503652039325
1739209808.4817765;-45.120503652039325
1739209808.4817855;-38.13080360867914
1739209808.4817946;-38.13080360867914
1739209808.4818037;-45.120503652039325
1739209808.4818127;-38.13080360867914
1739209808.4818218;-45.120503652039325
1739209808.4818308;-45.120503652039325
1739209808.48184;-45.120503652039325
1739209808.4818492;-33.981070128970906
1739209808.4818583;-32.816014438256545
1739209808.4818673;-45.120503652039325
1739209808.4818764;-45.120503652039325
1739209808.4818854;-38.13080360867914
1739209808.4818945;-33.981070128970906
1739209808.4819036;-38.13080360867914
1739209808.4819126;-45.120503652039325
1739209808.4819217;-38.13080360867914
1739209808.4819307;-38.13080360867914
1739209808.48194;-38.13080360867914
1739209808.481949;-45.120503652039325
1739209808.4819582;-45.120503652039325
1739209808.4819672;-45.120503652039325
1739209808.4819763;-38.13080360867914
1739209808.4819853;-45.120503652039325
1739209808.4819944;-38.13080360867914
1739209808.4820035;-35.57807855764607
1739209808.4820125;-45.120503652039325
1739209808.4820216;-38.13080360867914
1739209808.4820309;-38.13080360867914
1739209808.48204;-45.120503652039325
1739209808.482049;-45.120503652039325
1739209808.482058;-45.120503652039325
1739209808.482067;-38.13080360867914
1739209808.4820762;-33.981070128970906
1739209808.4820852;-38.13080360867914
1739209808.4820943;-45.120503652039325
1739209808.4821033;-38.13080360867914
1739209808.4821124;-35.57807855764607
1739209808.4821217;-45.120503652039325
1739209808.4821308;-38.13080360867914
1739209808.4821398;-38.13080360867914
1739209808.482149;-45.120503652039325
1739209808.482158;-45.120503652039325
1739209808.482167;-45.120503652039325
1739209808.482176;-38.13080360867914
1739209808.4821851;-45.120503652039325
1739209808.4821942;-45.120503652039325
1739209808.4822032;-45.120503652039325
1739209808.4822125;-38.13080360867914
1739209808.4822216;-33.981070128970906
1739209808.4822307;-33.981070128970906
1739209808.4822397;-33.981070128970906
1739209808.4822488;-31.141103565318943
1739209808.4822578;-23.38864096791655
1739209808.482267;-26.991370085610736
1739209808.482276;-32.816014438256545
1739209808.482285;-25.62660358559016
1739209808.482294;-45.120503652039325
1739209808.4823034;-45.120503652039325
1739209808.4823124;-31.141103565318915
1739209808.4823215;-38.13080360867914
1739209808.4823306;-38.13080360867914
1739209808.4823396;-33.981070128970906
1739209808.4823487;-35.57807855764607
1739209808.4823577;-27.267205301931607
1739209808.4823668;-24.292649948874775
1739209808.4823759;-26.03565346325281
1739209808.482385;-30.49652367304973
1739209808.4823942;-28.58837851428586
1739209808.4824033;-31.141103565318915
1739209808.4824123;-45.120503652039325
1739209808.4824214;-31.141103565318915
1739209808.4824305;-33.981070128970906
1739209808.4824395;-32.816014438256545
1739209808.4824486;-38.13080360867914
1739209808.4824576;-38.13080360867914
1739209808.4824667;-33.981070128970906
1739209808.4824758;-25.826314394896357
1739209808.482485;-27.267205301931607
1739209808.482494;-35.57807855764607
1739209808.4825032;-33.981070128970906
1739209808.4825122;-38.13080360867914
1739209808.4825213;-33.981070128970906
1739209808.4825304;-29.438486411369333
1739209808.4825394;-38.13080360867914
1739209808.4825485;-45.120503652039325
1739209808.4825575;-45.120503652039325
