CAN Message; 0x98:0000e7c8f7f52f0f
Timestamp;Amplitude
1739209653.867717;-38.13080360867914
1739209653.8677194;-45.120503652039325
1739209653.8677218;-45.120503652039325
1739209653.8677244;-45.120503652039325
1739209653.8677268;-45.120503652039325
1739209653.8677292;-45.120503652039325
1739209653.8677316;-45.120503652039325
1739209653.867734;-45.120503652039325
1739209653.8677363;-33.981070128970906
1739209653.867739;-38.13080360867914
1739209653.8677413;-38.13080360867914
1739209653.8677437;-35.57807855764607
1739209653.867746;-38.13080360867914
1739209653.8677485;-45.120503652039325
1739209653.867751;-45.120503652039325
1739209653.8677535;-35.57807855764607
1739209653.867756;-38.13080360867914
1739209653.8677583;-45.120503652039325
1739209653.8677607;-38.13080360867914
1739209653.867763;-45.120503652039325
1739209653.8677654;-38.13080360867914
1739209653.8677678;-45.120503652039325
1739209653.8677704;-45.120503652039325
1739209653.8677728;-35.57807855764607
1739209653.8677752;-38.13080360867914
1739209653.8677776;-45.120503652039325
1739209653.86778;-45.120503652039325
1739209653.8677824;-38.13080360867914
1739209653.867785;-38.13080360867914
1739209653.8677874;-45.120503652039325
1739209653.8677897;-45.120503652039325
1739209653.8677921;-45.120503652039325
1739209653.8677945;-45.120503652039325
1739209653.867797;-45.120503652039325
1739209653.8677995;-38.13080360867914
1739209653.867802;-45.120503652039325
1739209653.8678043;-38.13080360867914
1739209653.8678067;-32.816014438256545
1739209653.867809;-38.13080360867914
1739209653.8678114;-35.57807855764607
1739209653.8678138;-38.13080360867914
1739209653.8678164;-35.57807855764607
1739209653.8678188;-38.13080360867914
1739209653.8678212;-45.120503652039325
1739209653.8678236;-45.120503652039325
1739209653.867826;-38.13080360867914
1739209653.8678284;-38.13080360867914
1739209653.867831;-45.120503652039325
1739209653.8678334;-38.13080360867914
1739209653.8678358;-35.57807855764607
1739209653.8678381;-38.13080360867914
1739209653.8678405;-45.120503652039325
1739209653.867843;-32.816014438256545
1739209653.8678455;-32.816014438256545
1739209653.867848;-45.120503652039325
1739209653.8678503;-45.120503652039325
1739209653.8678527;-38.13080360867914
1739209653.867855;-38.13080360867914
1739209653.8678575;-38.13080360867914
1739209653.8678598;-45.120503652039325
1739209653.8678625;-45.120503652039325
1739209653.8678648;-45.120503652039325
1739209653.8678672;-45.120503652039325
1739209653.8678696;-45.120503652039325
1739209653.867872;-45.120503652039325
1739209653.8678744;-35.57807855764607
1739209653.867877;-35.57807855764607
1739209653.8678794;-45.120503652039325
1739209653.8678818;-33.981070128970906
1739209653.8678842;-33.981070128970906
1739209653.8678865;-38.13080360867914
1739209653.867889;-38.13080360867914
1739209653.8678916;-38.13080360867914
1739209653.867894;-38.13080360867914
1739209653.8678963;-38.13080360867914
1739209653.8678987;-38.13080360867914
1739209653.867901;-45.120503652039325
1739209653.8679035;-45.120503652039325
1739209653.8679059;-38.13080360867914
1739209653.8679085;-45.120503652039325
1739209653.8679109;-38.13080360867914
1739209653.8679132;-45.120503652039325
1739209653.8679156;-38.13080360867914
1739209653.867918;-45.120503652039325
1739209653.8679204;-45.120503652039325
1739209653.867923;-33.981070128970906
1739209653.8679254;-45.120503652039325
1739209653.8679278;-45.120503652039325
1739209653.8679302;-38.13080360867914
1739209653.8679326;-38.13080360867914
1739209653.867935;-45.120503652039325
1739209653.8679376;-45.120503652039325
1739209653.86794;-45.120503652039325
1739209653.8679423;-45.120503652039325
1739209653.8679447;-45.120503652039325
1739209653.867947;-45.120503652039325
1739209653.8679495;-45.120503652039325
1739209653.867952;-45.120503652039325
1739209653.8679545;-45.120503652039325
1739209653.8679569;-38.13080360867914
1739209653.8679593;-38.13080360867914
1739209653.8679616;-45.120503652039325
1739209653.867964;-38.13080360867914
1739209653.8679664;-45.120503652039325
1739209653.867969;-38.13080360867914
1739209653.8679714;-38.13080360867914
1739209653.8679738;-45.120503652039325
1739209653.8679762;-33.981070128970906
1739209653.8679786;-45.120503652039325
1739209653.867981;-45.120503652039325
1739209653.8679836;-38.13080360867914
1739209653.867986;-45.120503652039325
1739209653.8679883;-45.120503652039325
1739209653.8679907;-45.120503652039325
1739209653.867993;-45.120503652039325
1739209653.8679955;-38.13080360867914
1739209653.8679981;-38.13080360867914
1739209653.8680005;-45.120503652039325
1739209653.868003;-33.981070128970906
1739209653.8680053;-38.13080360867914
1739209653.8680077;-32.816014438256545
1739209653.86801;-38.13080360867914
1739209653.8680124;-45.120503652039325
1739209653.868015;-35.57807855764607
1739209653.8680174;-33.981070128970906
1739209653.8680198;-45.120503652039325
1739209653.8680222;-45.120503652039325
1739209653.8680246;-45.120503652039325
1739209653.868027;-45.120503652039325
1739209653.8680296;-45.120503652039325
1739209653.868032;-38.13080360867914
1739209653.8680344;-38.13080360867914
1739209653.8680367;-38.13080360867914
1739209653.8680391;-45.120503652039325
1739209653.8680415;-45.120503652039325
1739209653.8680441;-45.120503652039325
1739209653.8680465;-45.120503652039325
1739209653.868049;-38.13080360867914
1739209653.8680513;-38.13080360867914
1739209653.8680537;-38.13080360867914
1739209653.868056;-35.57807855764607
1739209653.8680584;-29.438486411369333
1739209653.868061;-45.120503652039325
1739209653.8680634;-35.57807855764607
1739209653.8680658;-45.120503652039325
1739209653.8680682;-38.13080360867914
1739209653.8680706;-38.13080360867914
1739209653.868073;-38.13080360867914
1739209653.8680756;-33.981070128970906
1739209653.868078;-38.13080360867914
1739209653.8680804;-45.120503652039325
1739209653.8680828;-45.120503652039325
1739209653.8680851;-45.120503652039325
1739209653.8680875;-45.120503652039325
1739209653.8680902;-38.13080360867914
1739209653.8680925;-35.57807855764607
1739209653.868095;-45.120503652039325
1739209653.8680973;-28.21854285175415
1739209653.8680997;-35.57807855764607
1739209653.868102;-45.120503652039325
1739209653.8681045;-45.120503652039325
1739209653.868107;-35.57807855764607
1739209653.8681095;-45.120503652039325
1739209653.8681118;-45.120503652039325
1739209653.8681142;-38.13080360867914
1739209653.8681166;-38.13080360867914
1739209653.868119;-45.120503652039325
1739209653.8681216;-45.120503652039325
1739209653.868124;-38.13080360867914
1739209653.8681264;-45.120503652039325
1739209653.8681288;-45.120503652039325
1739209653.8681312;-38.13080360867914
1739209653.8681335;-38.13080360867914
1739209653.8681362;-32.816014438256545
1739209653.8681386;-35.57807855764607
1739209653.868141;-45.120503652039325
1739209653.8681433;-38.13080360867914
1739209653.8681457;-35.57807855764607
1739209653.868148;-38.13080360867914
1739209653.8681505;-38.13080360867914
1739209653.868153;-45.120503652039325
1739209653.8681555;-45.120503652039325
1739209653.8681579;-45.120503652039325
1739209653.8681602;-38.13080360867914
1739209653.8681626;-38.13080360867914
1739209653.868165;-45.120503652039325
1739209653.8681676;-45.120503652039325
1739209653.86817;-45.120503652039325
1739209653.8681724;-45.120503652039325
1739209653.8681748;-27.8777449560314
1739209653.8681772;-31.141103565318915
1739209653.8681796;-45.120503652039325
1739209653.8681822;-38.13080360867914
1739209653.8681846;-32.816014438256545
1739209653.868187;-33.981070128970906
1739209653.8681893;-45.120503652039325
1739209653.8681917;-38.13080360867914
1739209653.868194;-45.120503652039325
1739209653.8681965;-38.13080360867914
1739209653.868199;-38.13080360867914
1739209653.8682015;-35.57807855764607
1739209653.8682039;-38.13080360867914
1739209653.8682063;-45.120503652039325
1739209653.8682086;-38.13080360867914
1739209653.868211;-38.13080360867914
1739209653.8682137;-30.49652367304973
1739209653.868216;-27.267205301931607
1739209653.8682184;-45.120503652039325
1739209653.8682208;-45.120503652039325
1739209653.8682232;-38.13080360867914
1739209653.8682256;-38.13080360867914
1739209653.8682282;-45.120503652039325
1739209653.8682306;-45.120503652039325
1739209653.868233;-38.13080360867914
1739209653.8682353;-38.13080360867914
1739209653.8682377;-45.120503652039325
1739209653.86824;-38.13080360867914
1739209653.8682425;-38.13080360867914
1739209653.8682451;-45.120503652039325
1739209653.8682475;-45.120503652039325
1739209653.86825;-38.13080360867914
1739209653.8682523;-31.141103565318893
1739209653.8682547;-28.992665084841942
1739209653.868257;-45.120503652039325
1739209653.8682597;-35.57807855764607
1739209653.868262;-35.57807855764607
1739209653.8682644;-33.981070128970906
1739209653.8682668;-45.120503652039325
1739209653.8682692;-38.13080360867914
1739209653.8682716;-38.13080360867914
1739209653.8682742;-38.13080360867914
1739209653.8682766;-45.120503652039325
1739209653.868279;-45.120503652039325
1739209653.8682814;-45.120503652039325
1739209653.8682837;-45.120503652039325
1739209653.8682861;-45.120503652039325
1739209653.8682885;-45.120503652039325
1739209653.8682911;-35.57807855764607
1739209653.8682935;-38.13080360867914
1739209653.868296;-45.120503652039325
1739209653.8682983;-38.13080360867914
1739209653.8683007;-35.57807855764607
1739209653.868303;-35.57807855764607
1739209653.8683057;-38.13080360867914
1739209653.868308;-45.120503652039325
