CAN Message; 0x39:005292c4c82cf453
Timestamp;Amplitude
1739209896.0739;-45.120503652039325
1739209896.0739086;-25.252786309376837
1739209896.0739172;-24.438645034577675
1739209896.073926;-38.13080360867914
1739209896.0739346;-31.141103565318943
1739209896.0739431;-45.120503652039325
1739209896.0739517;-30.49652367304973
1739209896.0739603;-33.981070128970906
1739209896.073969;-33.981070128970906
1739209896.0739777;-38.13080360867914
1739209896.0739863;-45.120503652039325
1739209896.0739949;-45.120503652039325
1739209896.0740035;-35.57807855764607
1739209896.074012;-28.58837851428586
1739209896.0740206;-25.077289914212862
1739209896.0740292;-24.74623867263306
1739209896.074038;-22.002965041481755
1739209896.0740466;-21.021172418726344
1739209896.0740552;-45.120503652039325
1739209896.0740638;-33.981070128970906
1739209896.0740724;-45.120503652039325
1739209896.074081;-38.13080360867914
1739209896.0740898;-45.120503652039325
1739209896.0740983;-45.120503652039325
1739209896.074107;-38.13080360867914
1739209896.0741155;-38.13080360867914
1739209896.074124;-26.991370085610754
1739209896.0741327;-26.991370085610722
1739209896.0741415;-25.252786309376837
1739209896.07415;-20.511525224473814
1739209896.0741587;-35.57807855764607
1739209896.0741673;-31.141103565318915
1739209896.0741758;-28.992665084841942
1739209896.0741844;-31.141103565318893
1739209896.074193;-38.13080360867914
1739209896.0742018;-33.981070128970906
1739209896.0742104;-35.57807855764607
1739209896.074219;-32.816014438256545
1739209896.0742276;-27.267205301931607
1739209896.0742362;-27.267205301931607
1739209896.0742447;-45.120503652039325
1739209896.0742536;-45.120503652039325
1739209896.0742621;-30.49652367304973
1739209896.0742707;-31.141103565318915
1739209896.0742793;-45.120503652039325
1739209896.074288;-38.13080360867914
1739209896.0742965;-38.13080360867914
1739209896.074305;-38.13080360867914
1739209896.0743139;-22.448786368009156
1739209896.0743225;-33.981070128970906
1739209896.074331;-31.141103565318943
1739209896.0743396;-27.877744956031414
1739209896.0743482;-24.746238672633048
1739209896.0743568;-22.740042620751332
1739209896.0743656;-22.740042620751332
1739209896.0743742;-31.141103565318915
1739209896.0743828;-33.981070128970906
1739209896.0743914;-45.120503652039325
1739209896.0744;-35.57807855764607
1739209896.0744085;-33.981070128970906
1739209896.074417;-33.981070128970906
1739209896.074426;-45.120503652039325
1739209896.0744345;-28.992665084841942
1739209896.074443;-27.267205301931607
1739209896.0744517;-31.14110356531892
1739209896.0744603;-25.826314394896354
1739209896.0744689;-23.50682362968953
1739209896.0744777;-33.981070128970906
1739209896.0744863;-33.981070128970906
1739209896.0744948;-45.120503652039325
1739209896.0745034;-45.120503652039325
1739209896.074512;-38.13080360867914
1739209896.0745206;-38.13080360867914
1739209896.0745292;-45.120503652039325
1739209896.074538;-45.120503652039325
1739209896.0745466;-38.13080360867914
1739209896.0745552;-38.13080360867914
1739209896.0745637;-38.13080360867914
1739209896.0745723;-45.120503652039325
1739209896.074581;-45.120503652039325
1739209896.0745897;-38.13080360867914
1739209896.0745983;-33.981070128970906
1739209896.074607;-45.120503652039325
1739209896.0746155;-38.13080360867914
1739209896.074624;-32.816014438256545
1739209896.0746326;-45.120503652039325
1739209896.0746415;-45.120503652039325
1739209896.07465;-33.981070128970906
1739209896.0746586;-33.981070128970906
1739209896.0746672;-28.992665084841942
1739209896.0746758;-45.120503652039325
1739209896.0746844;-38.13080360867914
1739209896.074693;-32.816014438256545
1739209896.0747018;-33.981070128970906
1739209896.0747104;-45.120503652039325
1739209896.074719;-38.13080360867914
1739209896.0747275;-33.981070128970906
1739209896.074736;-32.816014438256545
1739209896.0747447;-45.120503652039325
1739209896.0747535;-38.13080360867914
1739209896.074762;-35.57807855764607
1739209896.0747707;-38.13080360867914
1739209896.0747793;-45.120503652039325
1739209896.0747879;-33.981070128970906
1739209896.0747964;-33.981070128970906
1739209896.074805;-31.141103565318915
1739209896.0748138;-45.120503652039325
1739209896.0748224;-33.981070128970906
1739209896.074831;-38.13080360867914
1739209896.0748396;-38.13080360867914
1739209896.0748482;-45.120503652039325
1739209896.0748568;-45.120503652039325
1739209896.0748656;-38.13080360867914
1739209896.0748742;-45.120503652039325
1739209896.0748827;-45.120503652039325
1739209896.0748913;-38.13080360867914
1739209896.0749;-35.57807855764607
1739209896.0749085;-38.13080360867914
1739209896.074917;-45.120503652039325
1739209896.074926;-38.13080360867914
1739209896.0749345;-35.57807855764607
1739209896.074943;-38.13080360867914
1739209896.0749516;-45.120503652039325
1739209896.0749602;-38.13080360867914
1739209896.0749688;-35.57807855764607
1739209896.0749776;-45.120503652039325
1739209896.0749862;-45.120503652039325
1739209896.0749948;-38.13080360867914
1739209896.0750034;-38.13080360867914
1739209896.075012;-33.981070128970906
1739209896.0750206;-38.13080360867914
1739209896.0750291;-38.13080360867914
1739209896.075038;-32.816014438256545
1739209896.0750465;-38.13080360867914
1739209896.0750551;-45.120503652039325
1739209896.0750637;-45.120503652039325
1739209896.0750723;-38.13080360867914
1739209896.0750809;-38.13080360867914
1739209896.0750897;-45.120503652039325
1739209896.0750983;-38.13080360867914
1739209896.0751069;-32.816014438256545
1739209896.0751154;-45.120503652039325
1739209896.075124;-45.120503652039325
1739209896.0751326;-45.120503652039325
1739209896.0751414;-35.57807855764607
1739209896.07515;-45.120503652039325
1739209896.0751586;-45.120503652039325
1739209896.0751672;-38.13080360867914
1739209896.0751758;-38.13080360867914
1739209896.0751843;-45.120503652039325
1739209896.075193;-45.120503652039325
1739209896.0752017;-45.120503652039325
1739209896.0752103;-45.120503652039325
1739209896.075219;-45.120503652039325
1739209896.0752275;-33.981070128970906
1739209896.075236;-31.141103565318893
1739209896.0752447;-38.13080360867914
1739209896.0752535;-38.13080360867914
1739209896.075262;-25.077289914212862
1739209896.0752707;-33.981070128970906
1739209896.0752792;-20.954098578656478
1739209896.0752878;-26.991370085610722
1739209896.0752964;-38.13080360867914
1739209896.075305;-35.57807855764607
1739209896.0753138;-31.141103565318915
1739209896.0753224;-25.25278630937684
1739209896.075331;-28.588378514285886
1739209896.0753396;-32.816014438256545
1739209896.0753481;-31.141103565318915
1739209896.0753567;-33.981070128970906
1739209896.0753655;-27.267205301931607
1739209896.0753741;-31.14110356531892
1739209896.0753827;-35.57807855764607
1739209896.0753913;-38.13080360867914
1739209896.0753999;-29.438486411369333
1739209896.0754085;-27.267205301931607
1739209896.075417;-23.75329798047522
1739209896.0754259;-27.877744956031414
1739209896.0754344;-26.035653463252796
1739209896.075443;-33.981070128970906
1739209896.0754516;-26.487275050834725
1739209896.0754602;-45.120503652039325
1739209896.0754688;-30.49652367304976
1739209896.0754776;-31.141103565318915
1739209896.0754862;-32.81601443825658
1739209896.0754948;-29.438486411369333
1739209896.0755033;-29.438486411369333
1739209896.075512;-25.252786309376837
1739209896.0755205;-32.816014438256545
1739209896.0755293;-28.992665084841942
1739209896.075538;-33.981070128970906
1739209896.0755465;-35.57807855764607
1739209896.075555;-24.292649948874775
1739209896.0755637;-25.62660358559016
1739209896.0755723;-27.8777449560314
1739209896.0755808;-29.438486411369333
1739209896.0755897;-28.992665084841942
1739209896.0755982;-33.981070128970906
1739209896.0756068;-33.981070128970956
1739209896.0756154;-26.991370085610722
1739209896.075624;-23.50682362968953
1739209896.0756326;-45.120503652039325
1739209896.0756414;-45.120503652039325
1739209896.07565;-45.120503652039325
1739209896.0756586;-33.981070128970956
1739209896.0756671;-30.49652367304973
1739209896.0756757;-31.141103565318893
1739209896.0756843;-26.991370085610722
1739209896.075693;-24.292649948874775
1739209896.0757017;-30.49652367304973
1739209896.0757103;-27.8777449560314
1739209896.0757189;-33.981070128970906
1739209896.0757275;-33.981070128970906
1739209896.075736;-32.816014438256545
1739209896.0757446;-33.981070128970906
1739209896.0757535;-26.991370085610747
1739209896.075762;-45.120503652039325
1739209896.0757706;-31.141103565318915
1739209896.0757792;-27.267205301931607
1739209896.0757878;-33.981070128970956
1739209896.0757964;-31.141103565318915
1739209896.075805;-25.252786309376837
1739209896.0758138;-26.991370085610722
1739209896.0758224;-30.49652367304976
1739209896.075831;-33.981070128970906
