CAN Message; 0x1bb:00001dc37b2cd0d5
Timestamp;Amplitude
1739209702.9030774;-45.120503652039325
1739209702.9030795;-38.13080360867914
1739209702.9030817;-45.120503652039325
1739209702.9030838;-45.120503652039325
1739209702.903086;-35.57807855764607
1739209702.903088;-38.13080360867914
1739209702.9030902;-45.120503652039325
1739209702.9030924;-45.120503652039325
1739209702.9030948;-45.120503652039325
1739209702.903097;-45.120503652039325
1739209702.903099;-45.120503652039325
1739209702.9031012;-45.120503652039325
1739209702.9031034;-45.120503652039325
1739209702.9031055;-45.120503652039325
1739209702.9031076;-38.13080360867914
1739209702.9031098;-38.13080360867914
1739209702.903112;-45.120503652039325
1739209702.903114;-38.13080360867914
1739209702.9031162;-38.13080360867914
1739209702.9031184;-38.13080360867914
1739209702.9031205;-45.120503652039325
1739209702.9031227;-38.13080360867914
1739209702.9031248;-32.816014438256545
1739209702.903127;-38.13080360867914
1739209702.903129;-45.120503652039325
1739209702.9031312;-38.13080360867914
1739209702.9031336;-33.981070128970906
1739209702.9031358;-45.120503652039325
1739209702.903138;-45.120503652039325
1739209702.90314;-45.120503652039325
1739209702.9031422;-45.120503652039325
1739209702.9031444;-38.13080360867914
1739209702.9031465;-45.120503652039325
1739209702.9031487;-45.120503652039325
1739209702.9031508;-38.13080360867914
1739209702.903153;-33.981070128970906
1739209702.903155;-38.13080360867914
1739209702.9031572;-38.13080360867914
1739209702.9031594;-35.57807855764607
1739209702.9031615;-38.13080360867914
1739209702.9031637;-38.13080360867914
1739209702.9031658;-35.57807855764607
1739209702.903168;-45.120503652039325
1739209702.9031703;-38.13080360867914
1739209702.9031725;-38.13080360867914
1739209702.9031746;-45.120503652039325
1739209702.9031768;-45.120503652039325
1739209702.903179;-45.120503652039325
1739209702.903181;-38.13080360867914
1739209702.9031832;-33.981070128970906
1739209702.9031854;-35.57807855764607
1739209702.9031875;-38.13080360867914
1739209702.9031897;-45.120503652039325
1739209702.9031918;-45.120503652039325
1739209702.903194;-45.120503652039325
1739209702.903196;-38.13080360867914
1739209702.9031982;-32.816014438256545
1739209702.9032004;-38.13080360867914
1739209702.9032025;-45.120503652039325
1739209702.9032047;-33.981070128970906
1739209702.903207;-38.13080360867914
1739209702.9032092;-38.13080360867914
1739209702.9032114;-38.13080360867914
1739209702.9032135;-45.120503652039325
1739209702.9032156;-45.120503652039325
1739209702.9032178;-45.120503652039325
1739209702.90322;-45.120503652039325
1739209702.903222;-45.120503652039325
1739209702.9032242;-45.120503652039325
1739209702.9032264;-38.13080360867914
1739209702.9032285;-45.120503652039325
1739209702.9032307;-38.13080360867914
1739209702.9032328;-35.57807855764607
1739209702.903235;-45.120503652039325
1739209702.903237;-35.57807855764607
1739209702.9032393;-38.13080360867914
1739209702.9032414;-38.13080360867914
1739209702.9032435;-45.120503652039325
1739209702.903246;-38.13080360867914
1739209702.903248;-33.981070128970906
1739209702.9032502;-45.120503652039325
1739209702.9032524;-45.120503652039325
1739209702.9032545;-45.120503652039325
1739209702.9032567;-45.120503652039325
1739209702.9032588;-45.120503652039325
1739209702.903261;-45.120503652039325
1739209702.903263;-45.120503652039325
1739209702.9032652;-35.57807855764607
1739209702.9032674;-38.13080360867914
1739209702.9032695;-38.13080360867914
1739209702.9032717;-38.13080360867914
1739209702.9032738;-45.120503652039325
1739209702.903276;-38.13080360867914
1739209702.903278;-38.13080360867914
1739209702.9032803;-45.120503652039325
1739209702.9032826;-31.141103565318915
1739209702.9032848;-38.13080360867914
1739209702.903287;-38.13080360867914
1739209702.903289;-45.120503652039325
1739209702.9032912;-38.13080360867914
1739209702.9032934;-32.816014438256545
1739209702.9032955;-33.981070128970906
1739209702.9032977;-45.120503652039325
1739209702.9032998;-38.13080360867914
1739209702.903302;-45.120503652039325
1739209702.903304;-38.13080360867914
1739209702.9033062;-45.120503652039325
1739209702.9033084;-38.13080360867914
1739209702.9033105;-38.13080360867914
1739209702.9033127;-38.13080360867914
1739209702.9033148;-45.120503652039325
1739209702.903317;-38.13080360867914
1739209702.9033194;-38.13080360867914
1739209702.9033215;-45.120503652039325
1739209702.9033237;-38.13080360867914
1739209702.9033258;-45.120503652039325
1739209702.903328;-45.120503652039325
1739209702.90333;-45.120503652039325
1739209702.9033322;-33.981070128970906
1739209702.9033344;-31.141103565318915
1739209702.9033365;-33.981070128970906
1739209702.9033387;-38.13080360867914
1739209702.9033408;-45.120503652039325
1739209702.903343;-38.13080360867914
1739209702.903345;-45.120503652039325
1739209702.9033473;-38.13080360867914
1739209702.9033494;-35.57807855764607
1739209702.9033515;-31.141103565318915
1739209702.9033537;-31.141103565318915
1739209702.9033558;-38.13080360867914
1739209702.9033582;-45.120503652039325
1739209702.9033604;-45.120503652039325
1739209702.9033625;-33.981070128970956
1739209702.9033647;-45.120503652039325
1739209702.9033668;-45.120503652039325
1739209702.903369;-45.120503652039325
1739209702.903371;-45.120503652039325
1739209702.9033732;-38.13080360867914
1739209702.9033754;-38.13080360867914
1739209702.9033775;-38.13080360867914
1739209702.9033797;-38.13080360867914
1739209702.9033818;-38.13080360867914
1739209702.903384;-45.120503652039325
1739209702.903386;-45.120503652039325
1739209702.9033883;-38.13080360867914
1739209702.9033904;-35.57807855764607
1739209702.9033926;-45.120503652039325
1739209702.903395;-38.13080360867914
1739209702.903397;-32.816014438256545
1739209702.9033992;-45.120503652039325
1739209702.9034014;-45.120503652039325
1739209702.9034035;-33.981070128970906
1739209702.9034057;-33.981070128970906
1739209702.9034078;-33.981070128970906
1739209702.90341;-38.13080360867914
1739209702.903412;-38.13080360867914
1739209702.9034142;-45.120503652039325
1739209702.9034164;-45.120503652039325
1739209702.9034185;-38.13080360867914
1739209702.9034207;-45.120503652039325
1739209702.9034228;-38.13080360867914
1739209702.903425;-38.13080360867914
1739209702.9034271;-38.13080360867914
1739209702.9034293;-45.120503652039325
1739209702.9034317;-35.57807855764607
1739209702.9034338;-38.13080360867914
1739209702.903436;-45.120503652039325
1739209702.903438;-38.13080360867914
1739209702.9034402;-45.120503652039325
1739209702.9034424;-38.13080360867914
1739209702.9034445;-38.13080360867914
1739209702.9034467;-45.120503652039325
1739209702.9034488;-45.120503652039325
1739209702.903451;-45.120503652039325
1739209702.903453;-38.13080360867914
1739209702.9034553;-45.120503652039325
1739209702.9034574;-45.120503652039325
1739209702.9034595;-45.120503652039325
1739209702.9034617;-38.13080360867914
1739209702.9034638;-45.120503652039325
1739209702.903466;-38.13080360867914
1739209702.9034681;-38.13080360867914
1739209702.9034705;-45.120503652039325
